
[00:00:00.000 --> 00:00:02.340]  今天和大家分享的聖經是
[00:00:02.340 --> 00:00:06.540]  《路加福音》二十四章十三至三十五節
[00:00:06.540 --> 00:00:08.440]  讓我們在聆聽上帝說話之前
[00:00:08.440 --> 00:00:10.920]  我們再次的祈禱
[00:00:10.920 --> 00:00:12.320]  新恩主我多謝祢
[00:00:12.320 --> 00:00:13.660]  祢今天讓我有機會
[00:00:13.660 --> 00:00:15.220]  在這裏和兩塊紀念禮拜
[00:00:15.220 --> 00:00:18.800]  和我們師妹一同去敬拜祢
[00:00:18.800 --> 00:00:21.060]  主我們心裏面可能仍然
[00:00:21.060 --> 00:00:23.800]  為世務所纏繞
[00:00:23.800 --> 00:00:26.480]  我們心裏面可能仍然有牽掛的人
[00:00:26.480 --> 00:00:28.480]  或者牽掛的事
[00:00:28.480 --> 00:00:30.840]  主願祢幫助我們
[00:00:30.840 --> 00:00:33.240]  讓我們的心敞開
[00:00:33.240 --> 00:00:35.920]  被聖靈充滿
[00:00:35.920 --> 00:00:38.080]  親愛的聖靈我們願祢來
[00:00:38.080 --> 00:00:39.800]  圍繞我們中間
[00:00:39.800 --> 00:00:41.860]  也圍繞在家裏
[00:00:41.860 --> 00:00:43.660]  或者他們工作的地方
[00:00:43.660 --> 00:00:44.840]  用網絡的方式
[00:00:44.840 --> 00:00:47.600]  和我們一同去敬拜的弟兄姊妹
[00:00:47.600 --> 00:00:49.560]  願孩子口中的言語
[00:00:49.560 --> 00:00:51.760]  中弟兄姊妹的心思意念
[00:00:51.760 --> 00:00:54.040]  在你面前同夢如立
[00:00:54.040 --> 00:00:55.080]  我們的祈禱
[00:00:55.080 --> 00:00:59.240]  和主耶穌基督的聖名祈求 阿們
[00:00:59.240 --> 00:01:00.560]  今天和大家看的聖經
[00:01:00.560 --> 00:01:01.840]  是剛才一起讀過
[00:01:01.840 --> 00:01:06.080]  在《路加福音》24章13至35節
[00:01:06.080 --> 00:01:10.400]  這段聖經其實是中間劏開的
[00:01:10.400 --> 00:01:13.760]  24章前面告訴我們一個事實
[00:01:13.760 --> 00:01:15.760]  就是耶穌已經復活了
[00:01:15.760 --> 00:01:16.840]  耶穌復活的事
[00:01:16.840 --> 00:01:19.400]  其實在第9至12節
[00:01:19.400 --> 00:01:23.000]  這個消息也傳開了
[00:01:23.000 --> 00:01:25.440]  在這裏有9至12節的經文
[00:01:25.440 --> 00:01:27.120]  如果大家可以看看
[00:01:27.120 --> 00:01:28.480]  告訴我們
[00:01:28.480 --> 00:01:30.240]  耶穌復活了
[00:01:30.240 --> 00:01:31.840]  今天我們唱詩歌說
[00:01:31.840 --> 00:01:32.640]  耶穌復活了
[00:01:32.640 --> 00:01:35.200]  我們多數都是很雀躍
[00:01:35.200 --> 00:01:36.960]  但是不知道為什麼
[00:01:36.960 --> 00:01:39.120]  在當時的人
[00:01:39.120 --> 00:01:42.280]  他們的心不是那麼雀躍的
[00:01:42.280 --> 00:01:44.960]  他們有很多疑惑
[00:01:44.960 --> 00:01:47.520]  甚至在這段聖經裏面的第11節
[00:01:47.520 --> 00:01:50.280]  那些使徒以為那些婦女是亂說
[00:01:50.280 --> 00:01:53.080]  是胡言
