
[00:00:00.000 --> 00:00:03.940]  今天我們的題目就是公民責任
[00:00:03.940 --> 00:00:06.560]  公民責任
[00:00:06.560 --> 00:00:09.340]  《馬達福音》第五章十三至十六節
[00:00:09.340 --> 00:00:13.900]  以及《肥勒比書》第三章第二十節
[00:00:13.900 --> 00:00:15.900]  就告訴我們
[00:00:15.900 --> 00:00:18.800]  我們是有雙重的國籍
[00:00:18.800 --> 00:00:20.420]  我們基督徒有雙重的國籍
[00:00:20.420 --> 00:00:22.560]  我們一方面是天上的國民
[00:00:22.560 --> 00:00:25.700]  另一方面我們在地上居住
[00:00:25.700 --> 00:00:29.400]  我們成為一個地方或者一個國家的國民
[00:00:29.400 --> 00:00:30.740]  既然是這樣的時候
[00:00:30.740 --> 00:00:32.560]  我們有一個雙重的國籍
[00:00:32.560 --> 00:00:34.360]  究竟我們有什麼責任呢?
[00:00:34.360 --> 00:00:38.040]  特別我們很接近總統選舉
[00:00:38.040 --> 00:00:40.840]  加上今天我們還有十天的時間
[00:00:40.840 --> 00:00:42.600]  我們就會有總統的選舉
[00:00:42.600 --> 00:00:44.680]  究竟我們怎樣可以履行呢?
[00:00:44.680 --> 00:00:46.680]  我們做天上的公民
[00:00:46.680 --> 00:00:49.080]  但是居住在地上
[00:00:49.080 --> 00:00:51.080]  也成為地上的公民
[00:00:51.080 --> 00:00:52.100]  有什麼責任呢?
[00:00:52.100 --> 00:00:53.640]  究竟我們可以做些什麼?
[00:00:53.640 --> 00:00:56.300]  所以大家來看看《馬達福音》
[00:00:56.300 --> 00:00:59.560]  第五章十三節至十六節
[00:00:59.560 --> 00:01:02.840]  還有《肥勒比書》第三章第二十節
[00:01:02.840 --> 00:01:04.620]  那裡是這樣說的
[00:01:04.620 --> 00:01:07.300]  「你們是世上的炎炎熱失了味
[00:01:07.300 --> 00:01:09.440]  怎能叫它再咸呢?
[00:01:09.440 --> 00:01:10.640]  以後無用
[00:01:10.640 --> 00:01:13.540]  不過雕在外面被人踐踏了
[00:01:13.540 --> 00:01:15.580]  你們是世上的光
[00:01:15.580 --> 00:01:19.100]  成造在山上是不能隱藏的
[00:01:19.100 --> 00:01:22.460]  人點燈不放在鬥底下
[00:01:22.460 --> 00:01:25.920]  是放在燈台上就照亮一家的人
[00:01:25.920 --> 00:01:29.440]  你們的光也當這樣照在人前
[00:01:29.440 --> 00:01:31.860]  叫他們看見你們的好行為
[00:01:31.860 --> 00:01:36.380]  便將榮耀歸給你們在天上的父」
[00:01:36.380 --> 00:01:39.000]  在這裡《肥勒比書》第三章二十節
[00:01:39.000 --> 00:01:41.720]  也說到我們另外還有一個身份
[00:01:41.720 --> 00:01:43.720]  我們的身份就是天上的公民
[00:01:43.720 --> 00:01:45.980]  「然而我們是天上的公民
[00:01:45.980 --> 00:01:48.840]  我們一心等候著我們的救主
[00:01:48.840 --> 00:01:52.780]  就是主耶穌基督從天上降臨」
[00:01:52.780 --> 00:01:55.940]  上個星期趙牧師在這裡分享
[00:01:55.940 --> 00:01:59.240]  在這裡說的是美國的危機
[00:01:59.240 --> 00:02:02.400]  他也提到很多的例子
[00:02:02.400 --> 00:02:07.160]  告訴我們其實我們今天生活在美國的國度裡面
[00:02:07.160 --> 00:02:10.780]  很多東西是很反對基督徒
[00:02:10.780 --> 00:02:12.440]  很多東西是很反對基督教
[00:02:12.440 --> 00:02:14.180]  很反對十誡
[00:02:14.180 --> 00:02:17.600]  很反對聖經的原則
[00:02:17.600 --> 00:02:20.800]  就算是連神這個字
[00:02:20.800 --> 00:02:26.360]  當你要提出來的時候都會有很多反對的聲音
[00:02:26.360 --> 00:02:28.040]  再舉多一個例子
[00:02:28.040 --> 00:02:34.000]  在威斯康辛州
[00:02:34.000 --> 00:02:36.480]  有一個八歲的女孩子
[00:02:36.480 --> 00:02:41.380]  她想在情人節里說一個愛的信息
[00:02:41.380 --> 00:02:44.180]  她想說耶穌愛你
[00:02:44.180 --> 00:02:46.700]  Jesus loves you
[00:02:46.700 --> 00:02:49.860]  但當她老師知道她要說這句話的時候
[00:02:49.860 --> 00:02:52.380]  她就阻止了這個八歲的小朋友
[00:02:52.380 --> 00:02:53.700]  就說她不能夠說
[00:02:53.700 --> 00:02:54.960]  你說別的東西都可以
[00:02:54.960 --> 00:02:55.860]  你可以愛你的狗
[00:02:55.860 --> 00:02:57.340]  你可以愛你的貓
[00:02:57.340 --> 00:03:01.360]  但是你不能夠說耶穌愛你
[00:03:01.360 --> 00:03:04.840]  最後那個八歲小朋友的家長
[00:03:04.840 --> 00:03:06.660]  是要告到法院
[00:03:06.660 --> 00:03:08.660]  法院最後就批訴你可以說
[00:03:08.660 --> 00:03:10.860]  但是那個時候已經是過了
[00:03:10.860 --> 00:03:12.500]  過了情人節
[00:03:12.500 --> 00:03:16.020]  還有一個在科羅拉多州
[00:03:16.020 --> 00:03:18.260]  有一個游泳的教練
[00:03:18.260 --> 00:03:28.660]  他被拒絕去租用城市裡面的游泳池
[00:03:28.660 --> 00:03:33.460]  原因是他和一些學生
[00:03:33.460 --> 00:03:37.580]  分享過耶穌基督的信息
[00:03:37.580 --> 00:03:41.740]  所以我們今天在國度裡面
[00:03:41.740 --> 00:03:45.620]  基督教的信仰是被壓迫的
[00:03:45.620 --> 00:03:47.820]  別的宗教就可以
[00:03:47.820 --> 00:03:49.000]  你會覺得很奇怪
[00:03:49.000 --> 00:03:50.700]  有很多人就算
[00:03:50.700 --> 00:03:53.660]  比如說你是新來的移民
[00:03:53.660 --> 00:03:58.460]  覺得美國不是基督教國家嗎?
[00:03:58.460 --> 00:04:01.280]  其實基督教在這個國家裡面
[00:04:01.280 --> 00:04:03.660]  越來越受到很大的壓力
[00:04:03.660 --> 00:04:04.860]  很大的逼迫
[00:04:04.860 --> 00:04:06.060]  別的宗教
[00:04:06.060 --> 00:04:07.660]  回教、佛教、道教
[00:04:07.660 --> 00:04:09.860]  你可以隨便提
[00:04:09.860 --> 00:04:12.300]  但是基督徒一出來
[00:04:12.300 --> 00:04:18.500]  只講神這個詞都會受到很多的考驗
[00:04:18.500 --> 00:04:20.340]  有一個組織叫做
[00:04:20.340 --> 00:04:23.060]  Freedom from Religion Foundation
