
[00:00:00.000 --> 00:00:06.220]  今天我們要講的都是不想太多瓜葛
[00:00:06.220 --> 00:00:09.220]  其實每一天我們知道很多人都想
[00:00:09.220 --> 00:00:11.980]  那個Facebook去找一些朋友啊
[00:00:11.980 --> 00:00:14.020]  看一下像片,對不對?
[00:00:14.020 --> 00:00:15.200]  有沒有?有啊
[00:00:15.200 --> 00:00:19.160]  看了好的,Like一下,很好
[00:00:19.160 --> 00:00:24.860]  但其實Facebook是沒有官方中文名稱的
[00:00:24.860 --> 00:00:30.100]  在中國大陸呢,他們叫念譜
[00:00:30.100 --> 00:00:32.800]  在台灣呢,叫念書
[00:00:32.800 --> 00:00:38.480]  在香港呢,叫面書
[00:00:38.480 --> 00:00:43.520]  我知道,在馬來西亞呢,叫面紙書
[00:00:43.520 --> 00:00:47.260]  所以沒有官方的中文名稱
[00:00:47.260 --> 00:00:50.860]  所以大家都叫Facebook,簡單很多
[00:00:50.860 --> 00:00:54.300]  但是在其他不同的中國的地方啊,香港啊
[00:00:54.300 --> 00:00:55.420]  不同的名字
[00:00:55.420 --> 00:00:57.560]  那無論什麼名字呢
[00:00:57.560 --> 00:01:03.760]  Facebook都已經是網上邪教的一個熱點了
[00:01:03.760 --> 00:01:05.740]  但是在這個邪教當中呢
[00:01:05.740 --> 00:01:08.340]  其實真的有不少的瓜葛
[00:01:08.340 --> 00:01:14.620]  甚至可能會有一些恩怨情仇的事情發生
[00:01:14.620 --> 00:01:16.040]  有沒有聽過?
[00:01:16.040 --> 00:01:20.080]  去年呢,就有五個Facebook的用戶
[00:01:20.080 --> 00:01:25.920]  他在Facebook上面抱怨供著量太多了
[00:01:25.920 --> 00:01:30.160]  不公平啊,敲詞供著沒錢
[00:01:30.160 --> 00:01:35.000]  可是給他們的上司,他的老闆知道
[00:01:35.000 --> 00:01:39.740]  最後呢,以供著效率低
[00:01:39.740 --> 00:01:47.280]  還有破壞供著和海為理由,擊退他們
[00:01:47.280 --> 00:01:51.480]  上年的事情,今年呢更慘
[00:01:51.480 --> 00:01:55.880]  有一個男生因為在Facebook裡頭
[00:01:55.880 --> 00:02:01.320]  發表對七級部門的私人言論
[00:02:01.320 --> 00:02:04.960]  被裁定要向七級道歉
[00:02:04.960 --> 00:02:08.460]  還有將近60天
[00:02:08.460 --> 00:02:10.000]  哇,很慘
[00:02:10.000 --> 00:02:13.900]  不要在Facebook上面亂寫東西
[00:02:13.900 --> 00:02:16.880]  更有趣的呢,就是上幾個月
[00:02:16.880 --> 00:02:25.140]  在Colombia有兩個笨仔打劫網吧
[00:02:25.140 --> 00:02:28.820]  去網吧打劫
[00:02:28.820 --> 00:02:33.820]  他們呢,搶劫成功
[00:02:33.820 --> 00:02:38.800]  但是呢,警方來到那個現場的時候就發現
[00:02:38.800 --> 00:02:43.300]  他們忍不住打劫之前Login Facebook
[00:02:43.300 --> 00:02:45.640]  卻沒有Logout
[00:02:45.640 --> 00:02:48.600]  有登錄,沒有登出
[00:02:48.600 --> 00:02:51.880]  那很簡單了,找到他的地址就在他的地址
[00:02:51.880 --> 00:02:55.880]  叮咚,我們來抓你
[00:02:55.880 --> 00:02:58.320]  兩個笨仔
[00:02:58.320 --> 00:03:03.280]  你聽到這些新聞呢,你可能覺得很好笑
[00:03:03.280 --> 00:03:07.960]  但是如果你是當中的當事人
[00:03:07.960 --> 00:03:12.100]  你可能不想在Facebook裡頭有什麼瓜葛
[00:03:12.100 --> 00:03:14.820]  不想有太多的瓜葛
[00:03:14.820 --> 00:03:19.160]  其實呢,我們跟人群建立關係的時候呢
[00:03:19.160 --> 00:03:24.840]  難免是有一些狗錢,有一些傷害的事
[00:03:24.840 --> 00:03:27.540]  有一些你不Like,真的是不Like
[00:03:27.540 --> 00:03:29.880]  不是好像Facebook什麼都Like
[00:03:29.880 --> 00:03:33.040]  那你今天來到這裡崇拜
[00:03:33.040 --> 00:03:37.560]  雖然那個是我們集體的崇拜
[00:03:37.560 --> 00:03:42.120]  但是你不需要跟你旁邊的人太多的接觸
[00:03:42.120 --> 00:03:43.900]  太多的溝通對不對
[00:03:43.900 --> 00:03:50.560]  所以,你不需要吧
[00:03:50.560 --> 00:03:54.680]  可能你每個禮拜坐在你旁邊的人你都不太認識
[00:03:54.680 --> 00:03:56.400]  你來這裡敬拜的時候呢
[00:03:56.400 --> 00:04:01.440]  我希望你旁邊坐著有一個人
[00:04:01.440 --> 00:04:04.540]  常常你旁邊是有一個人
[00:04:04.540 --> 00:04:07.440]  我們要一起來敬拜神的時候
[00:04:07.440 --> 00:04:12.480]  我們可以在敬拜之前我跟各位打個交互
[00:04:12.480 --> 00:04:16.060]  不如我們現在跟你旁邊的人打個交互好不好
[00:04:16.060 --> 00:04:18.120]  你跟他說很簡單,你好
[00:04:18.120 --> 00:04:24.280]  願神祝福你,願神祝福你,好不好
[00:04:24.280 --> 00:04:28.320]  那很好啊,這樣我們有一些瓜葛嘛
[00:04:28.320 --> 00:04:32.720]  不是沒有瓜葛的,不怕太多瓜葛
[00:04:32.720 --> 00:04:36.800]  那隨著Facebook跟那個Smartphone出現以後呢
