
[00:00:00.000 --> 00:00:03.300]  很開心能夠跟大家一起敬拜
[00:00:03.300 --> 00:00:06.340]  這個口罩也是遮蓋了我的笑容
[00:00:06.340 --> 00:00:08.060]  但是我是開心的
[00:00:08.060 --> 00:00:09.660]  近日呢
[00:00:09.660 --> 00:00:11.780]  不是很多香港人開心而已
[00:00:11.780 --> 00:00:13.380]  也不怪大家了
[00:00:13.380 --> 00:00:16.740]  因爲經過幾個月的社會運動還沒完
[00:00:16.740 --> 00:00:22.120]  又來了這個新型冠狀病毒引起的肺炎
[00:00:22.120 --> 00:00:27.620]  其實不僅是香港有點亂
[00:00:27.620 --> 00:00:29.740]  其實整個世界都亂了
[00:00:29.740 --> 00:00:34.220]  過去幾十年從未見過這個世界這麼動亂
[00:00:34.220 --> 00:00:41.260]  美國剛剛搞完想彈劾總統的談成
[00:00:41.260 --> 00:00:43.260]  英國又脫歐
[00:00:43.260 --> 00:00:46.780]  中國和美國的角力剛剛開始
[00:00:46.780 --> 00:00:48.100]  還有很長一段時間
[00:00:48.100 --> 00:00:50.940]  中東一向都這麼亂
[00:00:50.940 --> 00:00:55.740]  你知不知道澳大利亞的山火燒得很嚴重
[00:00:55.740 --> 00:00:58.740]  還有幾個地方都地震
[00:00:58.740 --> 00:01:03.220]  非洲的蝗蟲都不知道怎麼辦
[00:01:03.220 --> 00:01:05.860]  面對這樣的情形
[00:01:05.860 --> 00:01:10.220]  香港人真是人心惶惶
[00:01:10.220 --> 00:01:11.780]  方寸大連
[00:01:11.780 --> 00:01:15.700]  到處都搶購口罩、日用品
[00:01:15.700 --> 00:01:17.260]  都沒試過有人打劫
[00:01:17.260 --> 00:01:19.020]  竟然連廁紙都拿了
[00:01:19.020 --> 00:01:21.860]  這個真是香港第一次
[00:01:21.860 --> 00:01:23.740]  在這樣的情況下
[00:01:23.740 --> 00:01:27.460]  我們基督徒如何去面對目前的處境
[00:01:27.460 --> 00:01:31.220]  聖經如何教導我們應對
[00:01:31.220 --> 00:01:34.700]  神的話有沒有什麼鼓勵和安慰
[00:01:34.700 --> 00:01:37.340]  是適合我們這個年代的呢
[00:01:37.340 --> 00:01:40.460]  今天我要跟大家講到末日
[00:01:40.460 --> 00:01:43.460]  即是末日的時候
[00:01:43.460 --> 00:01:45.460]  這個世界如何終結
[00:01:45.460 --> 00:01:46.940]  爲什麼要這樣講呢
[00:01:46.940 --> 00:01:49.140]  因爲當我們看到遠景
[00:01:49.140 --> 00:01:52.060]  我們在近況就容易處理
[00:01:52.060 --> 00:01:53.540]  我小時候開車
[00:01:53.540 --> 00:01:56.300]  我十八歲開始在加拿大學車
[00:01:56.300 --> 00:01:59.700]  我發現開車一定要看遠
[00:01:59.700 --> 00:02:02.300]  如果看近車就搖擺
[00:02:02.300 --> 00:02:04.300]  看遠車就定了
[00:02:04.300 --> 00:02:05.540]  我們人生都是這樣
[00:02:05.540 --> 00:02:06.540]  基督徒都是這樣
[00:02:06.540 --> 00:02:08.820]  當我們看遠的時候
[00:02:08.820 --> 00:02:10.580]  我們就心裏安定
[00:02:10.580 --> 00:02:12.980]  所以今天我要跟大家看很遠很遠
[00:02:12.980 --> 00:02:13.780]  多遠啊
[00:02:13.780 --> 00:02:16.300]  看到世界末日的時候是怎樣的
[00:02:16.300 --> 00:02:21.100]  這個是對神的話
[00:02:21.100 --> 00:02:24.100]  是對你一個安慰提醒
[00:02:24.100 --> 00:02:26.100]  叫你心定的
[00:02:26.100 --> 00:02:29.100]  我們今天就看
[00:02:29.100 --> 00:02:33.100]  《啓示錄》第十九章十一節
[00:02:33.100 --> 00:02:36.100]  一直到第二十章第四節
[00:02:36.100 --> 00:02:39.100]  首先我講一下《啓示錄》的背景
[00:02:39.100 --> 00:02:41.100]  用幾分鐘談一談
[00:02:41.100 --> 00:02:45.100]  這本書是仕途約翰在年老的時候寫的
[00:02:45.100 --> 00:02:48.100]  寫公元大約九十五年
[00:02:48.100 --> 00:02:50.100]  那時候約翰大概九十歲
[00:02:50.100 --> 00:02:52.100]  或者還老一點
[00:02:52.100 --> 00:02:57.100]  他被羅馬政府放逐到一個島上
[00:02:57.100 --> 00:02:59.100]  一個摩島
[00:02:59.100 --> 00:03:03.100]  在那裏寫完新約聖經的最後一卷書
[00:03:03.100 --> 00:03:05.100]  那時候開始
[00:03:05.100 --> 00:03:09.100]  羅馬帝國就強迫人民
[00:03:09.100 --> 00:03:13.100]  拜羅馬皇帝
[00:03:13.100 --> 00:03:16.100]  如果不拜就要斬頭
