
[00:00:00.000 --> 00:00:04.660]  很開心又回來收集《浸信會》跟大家傳講神的話語
[00:00:04.660 --> 00:00:08.060]  我以前有機會在美國讀神學
[00:00:08.060 --> 00:00:11.660]  我兒子和女兒都是在美國讀書
[00:00:11.660 --> 00:00:14.200]  我讀書的時候,他們讀幼稚園
[00:00:14.200 --> 00:00:17.600]  有機會,又不是我女兒那一班
[00:00:17.600 --> 00:00:20.500]  聽到美國一些頗搞笑的故事
[00:00:20.500 --> 00:00:25.860]  說到聖誕節要做聖誕的畫劇
[00:00:25.860 --> 00:00:28.800]  做這個白雪公主的畫劇
[00:00:28.800 --> 00:00:31.760]  有人問:誰想做白雪公主?
[00:00:31.760 --> 00:00:33.060]  那又怎樣?
[00:00:33.060 --> 00:00:34.400]  每個人都舉手
[00:00:34.400 --> 00:00:37.360]  然後有人抽到做七個小偉人
[00:00:37.360 --> 00:00:38.260]  然後就哭了
[00:00:38.260 --> 00:00:39.940]  「我不做小偉人!」
[00:00:39.940 --> 00:00:42.360]  「我要做白雪公主!」
[00:00:42.360 --> 00:00:44.700]  最終那個畫劇是怎樣做呢?
[00:00:44.700 --> 00:00:46.700]  就是全部都是什麼?
[00:00:46.700 --> 00:00:49.500]  全部都是白雪公主在台上跳過圈
[00:00:49.500 --> 00:00:50.700]  轉過圈、跳過舞
[00:00:50.700 --> 00:00:54.060]  然後就完結了這個白雪公主的故事
[00:00:54.060 --> 00:00:59.140]  美國人和美國文化和中國文化有很大的不同
[00:00:59.140 --> 00:01:01.900]  他們是喜歡揀做主角的
[00:01:01.900 --> 00:01:04.860]  我們中國人喜歡揀什麼角色?
[00:01:04.860 --> 00:01:06.800]  我們很有趣的
[00:01:06.800 --> 00:01:09.000]  我們後面的位置比較多人坐
[00:01:09.000 --> 00:01:11.300]  前面的位置比較少
[00:01:11.300 --> 00:01:13.060]  很多時候在揀做主角的角色中
[00:01:13.060 --> 00:01:16.540]  他們就選擇做這個小偉人就好了
[00:01:16.540 --> 00:01:17.860]  不如先考考大家
[00:01:17.860 --> 00:01:18.800]  有沒有人覺得呢?
[00:01:18.800 --> 00:01:21.460]  你要舉手的,我給你三個選擇
[00:01:21.460 --> 00:01:23.100]  你隨便選一個
[00:01:23.100 --> 00:01:26.300]  第一個就是教會沒有了你,是不行的
[00:01:26.300 --> 00:01:27.340]  你是主角
[00:01:27.340 --> 00:01:29.700]  教會沒有了你,是不行的
[00:01:29.700 --> 00:01:30.640]  第二個
[00:01:30.640 --> 00:01:32.940]  就是你也是一些中流等柱
[00:01:32.940 --> 00:01:33.900]  都很努力
[00:01:33.900 --> 00:01:36.140]  忠心在崗位裡面釋放
[00:01:36.140 --> 00:01:38.100]  第三個其實都是閒角
[00:01:38.100 --> 00:01:40.060]  是可有可無的
[00:01:40.060 --> 00:01:40.900]  好,第一個
[00:01:40.900 --> 00:01:42.740]  有沒有?
[00:01:42.740 --> 00:01:44.460]  沒有啊
[00:01:44.460 --> 00:01:46.340]  牧師給了一些提示
[00:01:46.340 --> 00:01:48.560]  不准舉手
[00:01:48.560 --> 00:01:50.100]  沒有了你,是不行的
[00:01:50.100 --> 00:01:51.940]  沒有了上帝,是不行的
[00:01:51.940 --> 00:01:54.200]  第二個,中流等柱
[00:01:54.200 --> 00:01:57.040]  有沒有?
[00:01:57.040 --> 00:01:58.060]  都有啊
[00:01:58.060 --> 00:02:00.800]  只是閒角而已
[00:02:00.800 --> 00:02:04.360]  閒角那些通常都不想舉手的
[00:02:04.360 --> 00:02:06.260]  沒什麼所謂
[00:02:06.260 --> 00:02:09.160]  很多時候我們都喜歡做閒角
[00:02:09.160 --> 00:02:13.600]  在教會的背景裡面
[00:02:13.600 --> 00:02:15.540]  所以今天我想說一個閒角
[00:02:15.540 --> 00:02:17.800]  閒角中部
[00:02:17.800 --> 00:02:20.240]  不是主角來的
[00:02:20.240 --> 00:02:22.040]  背角都不如
[00:02:22.040 --> 00:02:23.560]  剛才讀的那段經文
[00:02:23.560 --> 00:02:25.260]  有主角的
[00:02:25.260 --> 00:02:27.600]  大衛是主角來的
[00:02:27.600 --> 00:02:30.560]  沒有了大衛,很多東西都沒有了
[00:02:30.560 --> 00:02:33.800]  但是剛才那段經文不單止講主角
[00:02:33.800 --> 00:02:36.660]  更加我們有機會看看那個閒角
[00:02:36.660 --> 00:02:40.860]  不是很重的角色
[00:02:40.860 --> 00:02:43.140]  我們不如一起去讀一讀
[00:02:43.140 --> 00:02:46.340]  第一、第二節再給我一段經文
[00:02:46.340 --> 00:02:49.240]  這個時候是大衛掌權
[00:02:49.240 --> 00:02:50.960]  大衛做了君王
[00:02:50.960 --> 00:02:53.400]  做了國王
[00:02:53.400 --> 00:02:55.360]  大衛就和千夫長、百夫長
[00:02:55.360 --> 00:02:57.640]  以及所有的首領去商議
[00:02:57.640 --> 00:02:58.460]  大衛就說
[00:02:58.460 --> 00:03:00.300]  你們覺得好的話
[00:03:00.300 --> 00:03:02.340]  你覺得是出於神的話
[00:03:02.340 --> 00:03:05.140]  我們就派人到遠近各處
[00:03:05.140 --> 00:03:09.500]  去將其他以色列各地分散了的弟兄
[00:03:09.500 --> 00:03:10.760]  招聚他們回來
[00:03:10.760 --> 00:03:11.960]  更加重要的是
[00:03:11.960 --> 00:03:16.160]  以及住在郊野之城的祭司和尼米人
[00:03:16.160 --> 00:03:19.300]  他們都到我們這裡來聚集
[00:03:19.300 --> 00:03:23.140]  這整段經文其實都挺多背景你要知道
[00:03:23.140 --> 00:03:26.400]  為什麼無端端要招聚那些以色列民
[00:03:26.400 --> 00:03:29.540]  以及無端端要叫那些祭司尼米人回來
[00:03:29.540 --> 00:03:32.000]  為什麼?
[00:03:32.000 --> 00:03:35.300]  大衛之前那個王叫什麼名字?
[00:03:35.300 --> 00:03:36.040]  「蘇羅」
[00:03:36.040 --> 00:03:39.200]  蘇羅之前那個不是王的那個叫什麼名字?
[00:03:39.200 --> 00:03:40.500]  叫做「薩姆爾」
[00:03:40.500 --> 00:03:42.900]  薩姆爾是什麼時代的人?
[00:03:42.900 --> 00:03:44.740]  時司時代的人
[00:03:44.740 --> 00:03:47.060]  大衛和薩姆爾是很接近的
[00:03:47.060 --> 00:03:49.060]  薩姆爾是高完蘇羅之後
[00:03:49.060 --> 00:03:50.740]  沒多久要高大衛的
[00:03:50.740 --> 00:03:54.500]  所以大衛和時司年代是很接近的
[00:03:54.500 --> 00:03:58.500]  時司的年代是風光的時代
[00:03:58.500 --> 00:04:00.840]  還是一個低沉的時代?
[00:04:00.840 --> 00:04:01.940]  你要讀過時司記
[00:04:01.940 --> 00:04:03.040]  你要知道
[00:04:03.040 --> 00:04:04.800]  時司時代是低沉的
[00:04:04.800 --> 00:04:06.340]  叫做「一代不如一代」
[00:04:06.340 --> 00:04:09.000]  時司記開頭和結尾說
[00:04:09.000 --> 00:04:10.960]  各人任意而行
[00:04:10.960 --> 00:04:13.400]  行眼中自己捍衛正的事
[00:04:13.400 --> 00:04:18.000]  然後做的事是得罪耶和華神
