
[00:00:00.000 --> 00:00:02.200]  好 讓我們再一次去禱告
[00:00:02.200 --> 00:00:04.200]  求主帶領我們以下的時間
[00:00:04.200 --> 00:00:06.800]  主求祢安靜我們的心
[00:00:06.800 --> 00:00:08.900]  幫助我們
[00:00:08.900 --> 00:00:10.700]  開放我們的心靈
[00:00:10.700 --> 00:00:12.700]  去融入你的話語
[00:00:12.700 --> 00:00:14.700]  因為你的話語是生命
[00:00:14.700 --> 00:00:19.100]  主求祢指教我們去明白
[00:00:19.100 --> 00:00:21.100]  保羅的心智
[00:00:21.100 --> 00:00:24.100]  同時間也教導我們怎樣去學習
[00:00:24.100 --> 00:00:26.700]  今天我們作為跟隨主的門徒
[00:00:26.700 --> 00:00:29.900]  怎樣去學習這個心智
[00:00:29.900 --> 00:00:31.900]  無論是生是死
[00:00:31.900 --> 00:00:34.800]  總要讓基督照常顯大
[00:00:34.800 --> 00:00:36.800]  神啊 求祢幫助我們
[00:00:36.800 --> 00:00:38.800]  在這個紛亂的世代
[00:00:38.800 --> 00:00:42.800]  教導我們怎樣去跟隨基督
[00:00:42.800 --> 00:00:44.800]  多謝祢聽我們祈禱
[00:00:44.800 --> 00:00:46.800]  奉耶穌基督的名 阿們
[00:00:46.800 --> 00:00:49.800]  好 請powerpoint秀一秀第一張
[00:00:49.800 --> 00:00:52.800]  弟兄姊妹
[00:00:52.800 --> 00:00:54.800]  其實在我們人生裏
[00:00:54.800 --> 00:00:56.800]  不同的時間
[00:00:56.800 --> 00:00:58.800]  都會出現不同的困所
[00:00:58.800 --> 00:01:00.800]  我所謂的困所就是一些
[00:01:00.800 --> 00:01:02.800]  我們覺得身不由己
[00:01:02.800 --> 00:01:06.800]  受到限制的事情
[00:01:06.800 --> 00:01:08.800]  有時候這些困所
[00:01:08.800 --> 00:01:11.800]  真的很狠狠地鎖住我們
[00:01:11.800 --> 00:01:14.800]  令我們可以很拖垮
[00:01:14.800 --> 00:01:16.800]  甚至意志很消沉
[00:01:16.800 --> 00:01:20.800]  例如親人突然離開這個世界
[00:01:20.800 --> 00:01:24.800]  又或者突然發現自己患上不治之症
[00:01:24.800 --> 00:01:28.800]  甚至是因為經濟不景突然被裁員
[00:01:28.800 --> 00:01:32.800]  家庭出現很大的經濟困難
[00:01:32.800 --> 00:01:34.800]  又或者家人有問題
[00:01:34.800 --> 00:01:36.800]  影響到自己
[00:01:36.800 --> 00:01:38.800]  甚或好像黃明道先生
