
[00:00:00.000 --> 00:00:03.020]  (主席)好,各位親愛的弟兄姊妹,特別是鏡頭前的弟兄姊妹
[00:00:03.020 --> 00:00:07.440]  讓我們在崇拜的時間,都能夠專注仰望敬拜神
[00:00:07.440 --> 00:00:12.680]  很感恩在新的一年開始,可以跟大家在這裡分享神的說話
[00:00:12.680 --> 00:00:18.360]  如果大家記得我們冥恩堂,過去幾年裡面,我們有一個主題
[00:00:18.360 --> 00:00:21.800]  「人人有召命,個個做回應」
[00:00:21.800 --> 00:00:24.520]  是,每一個人都會有召命的
[00:00:24.520 --> 00:00:27.800]  但如果你留意,踏入今年和下一年
[00:00:27.800 --> 00:00:31.680]  我們會延續,不只是有召命就夠
[00:00:31.680 --> 00:00:36.480]  我們需要回應,回應召命,結連社區
[00:00:36.480 --> 00:00:40.040]  我們特別是要關心這個社區
[00:00:40.040 --> 00:00:43.760]  聖經裡面很清楚地給我們一句說話
[00:00:43.760 --> 00:00:48.040]  它說到「沒有異象,民就放肆」
[00:00:48.040 --> 00:00:52.440]  我們看到這段經文
[00:00:52.440 --> 00:00:54.440]  我們一起來看看
[00:00:54.440 --> 00:01:00.240]  「沒有異象,民就放肆,唯遵守律法的,便為有福」
[00:01:00.240 --> 00:01:02.960]  我們每一個人需要有異象
[00:01:02.960 --> 00:01:07.200]  要有方向,要有計劃,要有行動
[00:01:07.200 --> 00:01:10.560]  這樣的時候,我們人生才不會枉過
[00:01:10.560 --> 00:01:13.640]  我們的人生才有意義,有價值
[00:01:13.640 --> 00:01:17.280]  以及能夠做到一定的成果出來
[00:01:17.280 --> 00:01:21.680]  但有時候一些異象,可能是將整個人的歷史
[00:01:21.680 --> 00:01:25.400]  甚至世界的歷史改變過來
[00:01:25.400 --> 00:01:27.400]  很簡單舉一個例子
[00:01:27.400 --> 00:01:31.520]  阿伯拉罕七十多高齡才蒙神呼召
[00:01:31.520 --> 00:01:34.600]  神要他離開本地本族父家
[00:01:34.600 --> 00:01:37.280]  去一個他自己都不知道的地方
[00:01:37.280 --> 00:01:39.640]  其實是一個很大的挑戰
[00:01:39.640 --> 00:01:42.520]  但阿伯拉罕願意信服
[00:01:42.520 --> 00:01:47.640]  甚至後期將他自己的兒子以實願意獻上的時候
[00:01:47.640 --> 00:01:53.800]  結果他成為多國之父,也被稱為信心之父
[00:01:53.800 --> 00:01:59.880]  我們看到摩西,雖然他殺了人,是一個流亡海外的逃犯
[00:01:59.880 --> 00:02:04.440]  但神呼召他,他經過掙扎之後,他去回應
[00:02:04.440 --> 00:02:06.920]  於是他能夠帶領著以色列民
