
[00:00:00.000 --> 00:00:03.480]  今天我是要跟各位講我們第一個禮拜的
[00:00:03.480 --> 00:00:05.080]  的意向是什麼
[00:00:05.080 --> 00:00:07.400]  賣相成熟
[00:00:07.400 --> 00:00:09.520]  grow mature
[00:00:09.520 --> 00:00:12.640]  你怎麼賣相成熟啊
[00:00:12.640 --> 00:00:15.840]  其實我發現最點
[00:00:15.840 --> 00:00:19.320]  就是說口不要出惡言
[00:00:19.320 --> 00:00:21.320]  口舌不要犯罪
[00:00:21.320 --> 00:00:23.840]  口要出恩言
[00:00:23.840 --> 00:00:27.080]  這是賣相成熟的第一步
[00:00:27.080 --> 00:00:29.320]  所以我今天會跟各位
[00:00:29.320 --> 00:00:33.120]  先來分享一下過去的十年往後的十年
[00:00:33.120 --> 00:00:35.600]  神的啟示
[00:00:35.600 --> 00:00:39.440]  還有我要跟各位來講解一下
[00:00:39.440 --> 00:00:43.680]  我們的舌頭是一個罪惡的世界
[00:00:43.680 --> 00:00:45.200]  Chin
[00:00:45.200 --> 00:00:47.680]  又是創造天地宇宙萬物
[00:00:47.680 --> 00:00:51.520]  神所有就有命力就利
[00:00:51.520 --> 00:00:53.040]  同樣的
[00:00:53.040 --> 00:00:55.800]  舌頭又可以戴一下
[00:00:55.800 --> 00:00:58.000]  恩賜恩高
[00:00:58.000 --> 00:00:59.400]  聖靈
[00:00:59.400 --> 00:01:01.080]  而且
[00:01:01.080 --> 00:01:03.720]  給你的信心一張嘴巴
[00:01:03.720 --> 00:01:05.800]  讓你口出恩言
[00:01:05.800 --> 00:01:09.640]  讓你講出信心的話來
[00:01:09.640 --> 00:01:13.560]  最後我一個結論是說
[00:01:13.560 --> 00:01:16.520]  你希望結什麼的果子
[00:01:16.520 --> 00:01:19.720]  你就應該種什麼樣的種子
[00:01:19.720 --> 00:01:21.680]  你懂我意思嗎
[00:01:21.680 --> 00:01:24.280]  好葡萄樹就結出好葡萄
[00:01:24.280 --> 00:01:25.480]  是不是
[00:01:25.480 --> 00:01:29.120]  所以這就是我們要種什麼好的東西
[00:01:29.120 --> 00:01:30.360]  怎麼種啊
[00:01:30.360 --> 00:01:32.320]  就是我們的嘴巴
[00:01:32.320 --> 00:01:33.160]  好的
[00:01:33.160 --> 00:01:37.320]  讓我們來看前文下一個配置
[00:01:37.320 --> 00:01:41.360]  過去十年就是5770到5779
[00:01:41.360 --> 00:01:43.240]  這70到79他們
[00:01:43.240 --> 00:01:46.440]  希伯來文有一個字叫做Ayn
[00:01:46.440 --> 00:01:48.600]  它的意思是
[00:01:48.600 --> 00:01:50.000]  眼睛
[00:01:50.000 --> 00:01:52.840]  它連那個字母長得都像眼睛
[00:01:52.840 --> 00:01:54.000]  是不是
[00:01:54.000 --> 00:01:56.680]  它的意思是說在過去十年
[00:01:56.680 --> 00:02:00.160]  我們要看到神的作為
[00:02:00.160 --> 00:02:01.560]  看到了沒有
[00:02:01.560 --> 00:02:02.960]  我真看到了
[00:02:02.960 --> 00:02:05.120]  因為我考認為
[00:02:05.120 --> 00:02:08.960]  青蛙愛在過去十年是我們的幼兒期
[00:02:08.960 --> 00:02:10.960]  我們還是一個癡奶的嬰兒
[00:02:10.960 --> 00:02:12.440]  什麼都不會什麼都不做
[00:02:12.440 --> 00:02:14.120]  大家都在摸索
[00:02:14.120 --> 00:02:15.200]  是不是
[00:02:15.200 --> 00:02:18.880]  所以我們就看到神一路帶領
[00:02:18.880 --> 00:02:21.080]  我們從
[00:02:21.080 --> 00:02:23.800]  學校甚至於從
[00:02:23.800 --> 00:02:26.640]  別的教會到這裡來
[00:02:26.640 --> 00:02:27.960]  能夠有一個心
[00:02:27.960 --> 00:02:30.640]  我們自己有我們的糖
[00:02:30.640 --> 00:02:32.920]  都是神的作為
[00:02:32.920 --> 00:02:37.240]  從605到65
[00:02:37.240 --> 00:02:40.200]  從Sunset Way到Front Street
[00:02:40.200 --> 00:02:41.560]  我都喜歡講
[00:02:41.560 --> 00:02:42.800]  Front Street
[00:02:42.800 --> 00:02:45.800]  就是大馬士革的直接
[00:02:45.800 --> 00:02:46.560]  是不是
[00:02:46.560 --> 00:02:48.600]  我們要興起雅南尼亞
[00:02:48.600 --> 00:02:50.320]  我們要興起保羅
[00:02:50.320 --> 00:02:52.360]  我們要興起巴拿巴
[00:02:52.360 --> 00:02:54.360]  我們要在這個地方來
[00:02:54.360 --> 00:02:56.400]  吸引萬人來歸向主
[00:02:56.400 --> 00:02:58.600]  感謝神
[00:02:58.600 --> 00:03:01.240]  好的許多的預言家
[00:03:01.240 --> 00:03:03.360]  許多神所重用的僕人
[00:03:03.360 --> 00:03:04.600]  使女
[00:03:04.600 --> 00:03:06.320]  他們說往後十年
[00:03:06.320 --> 00:03:09.960]  5780到89年
[00:03:09.960 --> 00:03:12.800]  這個字母叫做Pay
[00:03:12.800 --> 00:03:15.840]  這個字母像一個嘴巴
[00:03:15.840 --> 00:03:18.240]  它的意思也是嘴巴
[00:03:18.240 --> 00:03:22.000]  他說我們要先到神的作為
[00:03:22.000 --> 00:03:25.520]  神給你什麼樣的啟示
[00:03:25.520 --> 00:03:27.960]  神給你什麼樣的應許
[00:03:27.960 --> 00:03:29.280]  神的作為
[00:03:29.280 --> 00:03:32.040]  我們要用嘴巴來宣告
[00:03:32.040 --> 00:03:33.240]  你不要不敢說
[00:03:33.240 --> 00:03:38.000]  或者是你覺得怎麼可能
[00:03:38.000 --> 00:03:41.440]  那你是舌頭定了自己的死罪
[00:03:41.440 --> 00:03:43.560]  我太老了
[00:03:43.560 --> 00:03:46.240]  沒有我才70歲年輕了
[00:03:46.240 --> 00:03:47.280]  是不是
[00:03:47.280 --> 00:03:49.520]  所以不要把自己的舌頭
[00:03:49.520 --> 00:03:51.800]  說著自己死掉了
[00:03:51.800 --> 00:03:55.760]  好像一隻腳已經踏進棺材裡面一樣
[00:03:55.760 --> 00:03:57.080]  沒有
[00:03:57.080 --> 00:03:57.680]  是的
[00:03:57.680 --> 00:04:01.320]  所以我們要用我們的嘴來宣告
[00:04:01.320 --> 00:04:02.760]  神應許我們
[00:04:02.760 --> 00:04:03.760]  是不是
[00:04:03.760 --> 00:04:05.520]  應許我們那麼多
[00:04:05.520 --> 00:04:08.240]  那麼神也做了這麼多的事情
[00:04:08.240 --> 00:04:11.520]  所以這是我們過往後十年
[00:04:11.520 --> 00:04:16.040]  我認為是我們性往來的成長期
[00:04:16.040 --> 00:04:18.680]  我們要從一個Baby
[00:04:18.680 --> 00:04:20.200]  從一個Kid
[00:04:20.200 --> 00:04:21.880]  從一個Child
[00:04:21.880 --> 00:04:24.600]  長成一個Teenager
[00:04:24.600 --> 00:04:26.760]  長成一個Adult
[00:04:26.760 --> 00:04:27.520]  是不是
[00:04:27.520 --> 00:04:29.720]  所以這是我們的成長期
[00:04:29.720 --> 00:04:31.360]  我們再一次來憑著信心
[00:04:31.360 --> 00:04:33.720]  我們用嘴巴來宣告
[00:04:33.720 --> 00:04:35.200]  神要在520往東
[00:04:35.200 --> 00:04:36.920]  90號往東
[00:04:36.920 --> 00:04:39.200]  讓我們車輪所要之地
[00:04:39.200 --> 00:04:40.960]  腳掌所踏之地
[00:04:40.960 --> 00:04:42.880]  手掌所觸之地
[00:04:42.880 --> 00:04:45.560]  都要被神得著
[00:04:45.560 --> 00:04:46.400]  是不是
[00:04:46.400 --> 00:04:48.080]  我也看到了
[00:04:48.080 --> 00:04:49.560]  感謝主
[00:04:49.560 --> 00:04:52.800]  更何況我們進入5780年
[00:04:52.800 --> 00:04:55.280]  我們進入2020年
[00:04:55.280 --> 00:04:56.600]  不是嗎
[00:04:56.600 --> 00:04:59.360]  2020年歷代之下
[00:04:59.360 --> 00:05:00.840]  二十章二十節
[00:05:00.840 --> 00:05:02.360]  他說什麼
[00:05:02.360 --> 00:05:03.320]  他說
[00:05:03.320 --> 00:05:05.320]  那日
[00:05:05.320 --> 00:05:07.840]  以色列民來到
