
[00:00:00.000 --> 00:00:01.400]  頂姊妹早晨
[00:00:01.400 --> 00:00:05.480]  今天很開心能夠跟大家一起分享神的話
[00:00:05.480 --> 00:00:07.600]  神的話真的很寶貴
[00:00:07.600 --> 00:00:09.400]  神的話真的很真實
[00:00:09.400 --> 00:00:11.100]  我願意今早上
[00:00:11.100 --> 00:00:14.400]  神自己親自藉著祂的話去鼓勵大家
[00:00:14.400 --> 00:00:15.400]  醫治大家
[00:00:15.400 --> 00:00:16.500]  更新大家
[00:00:16.500 --> 00:00:21.300]  上個星期大業執事為我們去宣講
[00:00:21.300 --> 00:00:23.500]  靈命操練的堅持
[00:00:23.500 --> 00:00:25.400]  他用了一個意象
[00:00:25.400 --> 00:00:27.500]  用回家去鼓勵我們
[00:00:27.500 --> 00:00:30.100]  要時常回到主的身邊
[00:00:30.100 --> 00:00:32.700]  去享受跟祂的親密關係
[00:00:32.700 --> 00:00:33.700]  回家
[00:00:33.700 --> 00:00:37.100]  今天我繼續去宣講
[00:00:37.100 --> 00:00:39.300]  靈修運動的主題
[00:00:39.300 --> 00:00:41.500]  我想跟大家繼續去思想
[00:00:41.500 --> 00:00:43.400]  什麼是靈命更新
[00:00:43.400 --> 00:00:45.900]  靈命更新其實說的就是
[00:00:45.900 --> 00:00:48.000]  我們的靈命如何成長
[00:00:48.000 --> 00:00:50.500]  我們在主裡面如何經歷成長
[00:00:50.500 --> 00:00:52.000]  經歷改變
[00:00:52.000 --> 00:00:55.300]  剛才劉教師說我們要讀出
[00:00:55.300 --> 00:00:58.700]  仕途約翰所寫的《約翰福音》一段經文
[00:00:58.700 --> 00:01:00.600]  我們知道《約翰福音》
[00:01:00.600 --> 00:01:04.700]  是約翰在他晚年的時候所寫的
[00:01:04.700 --> 00:01:06.700]  而這一段經文
[00:01:06.700 --> 00:01:07.500]  我們知道
[00:01:07.500 --> 00:01:10.900]  當仕途約翰寫《約翰福音》的時候
[00:01:10.900 --> 00:01:13.200]  也是差不多這段時間
[00:01:13.200 --> 00:01:15.400]  他的老搭檔仕途彼得
[00:01:15.400 --> 00:01:18.400]  剛剛在他的地方
[00:01:18.400 --> 00:01:21.400]  釘十字架為主殉道的時候
[00:01:21.400 --> 00:01:22.600]  我們看到
[00:01:22.600 --> 00:01:26.100]  仕途約翰寫《約翰福音》的時候
[00:01:26.100 --> 00:01:27.600]  在最後一章
[00:01:27.600 --> 00:01:30.100]  他特別提到他的搭檔
[00:01:30.100 --> 00:01:33.500]  他如何經歷他自己生命成長的故事
[00:01:33.500 --> 00:01:35.900]  彷彿好像為仕途彼得
[00:01:35.900 --> 00:01:38.700]  寫上他的無名字一樣
[00:01:38.700 --> 00:01:41.100]  去紀念這位仕途
[00:01:41.100 --> 00:01:42.500]  所以今天我就很想
[00:01:42.500 --> 00:01:44.700]  從《約翰福音》二十一章
[00:01:44.700 --> 00:01:46.200]  去跟大家分享
