
[00:00:00.000 --> 00:00:01.120]  各位弟子妹 早晨
[00:00:01.120 --> 00:00:01.920]  我是黃牧師
[00:00:01.920 --> 00:00:05.200]  今天是中樹節主日
[00:00:05.200 --> 00:00:08.040]  讓我們一起預備我們的新心靈
[00:00:08.040 --> 00:00:09.800]  去聆聽主的說話
[00:00:09.800 --> 00:00:11.880]  讓我們一起先以禱告交託
[00:00:11.880 --> 00:00:13.720]  我們在主的手上
[00:00:13.720 --> 00:00:14.880]  讓我們同心地禱告
[00:00:14.880 --> 00:00:17.680]  慈悲父神多謝祢
[00:00:17.680 --> 00:00:19.320]  讓我們能夠再次回來
[00:00:19.320 --> 00:00:21.720]  在主祢的說話面前學習
[00:00:21.720 --> 00:00:23.560]  求祢的靈願與我們同在
[00:00:23.560 --> 00:00:24.600]  有道我們的心
[00:00:24.600 --> 00:00:25.960]  能夠更加明白
[00:00:25.960 --> 00:00:28.680]  祢是怎樣一位創始成中的神
[00:00:28.680 --> 00:00:31.280]  要讓我們能夠真是有資格的
[00:00:31.280 --> 00:00:33.680]  在上帝祢的面前活著
[00:00:33.680 --> 00:00:35.640]  能夠預報我們的新心靈
[00:00:35.640 --> 00:00:36.760]  不單止在今天
[00:00:36.760 --> 00:00:40.160]  我們可以知道上帝祢是怎樣一位主
[00:00:40.160 --> 00:00:41.960]  也要讓我們在永恆的當中
[00:00:41.960 --> 00:00:43.560]  能夠有這份福氣
[00:00:43.560 --> 00:00:45.320]  能夠如雨同在
[00:00:45.320 --> 00:00:48.480]  求祢與我們每一個弟兄姊妹的新心靈
[00:00:48.480 --> 00:00:51.760]  都能夠緊握在祢的手中
[00:00:51.760 --> 00:00:53.320]  我們同心地禱告
[00:00:53.320 --> 00:00:55.680]  奉靠主耶穌基督得生命之救
[00:00:55.680 --> 00:00:56.200]  阿們
[00:00:57.760 --> 00:01:00.560]  今天會和大家一起去看的經文是
[00:01:00.560 --> 00:01:02.960]  詩篇第24篇
[00:01:02.960 --> 00:01:08.200]  題目是「迎來受苦的榮耀君王」
[00:01:08.200 --> 00:01:09.520]  開始之前
[00:01:09.520 --> 00:01:12.000]  或者我先讀一次這首詩篇
[00:01:12.000 --> 00:01:15.760]  希望大家能夠熟悉一下詩篇的經文
[00:01:15.760 --> 00:01:17.760]  我們首先一起打開
[00:01:17.760 --> 00:01:19.320]  如果你是用英文聖經的
[00:01:19.320 --> 00:01:23.200]  也可以緊隨著你自己的版本就可以了
[00:01:23.200 --> 00:01:31.160]  「大衛的詩」
[00:01:31.160 --> 00:01:33.360]  「地和其中所充滿的
[00:01:33.360 --> 00:01:37.960]  世界和住在其間的都屬耶和華
[00:01:37.960 --> 00:01:40.320]  他把地建立在海上
[00:01:40.320 --> 00:01:43.040]  安定在大水之上
[00:01:43.040 --> 00:01:45.280]  誰能登耶和華的山
[00:01:45.280 --> 00:01:47.800]  誰能站在他的聖所
[00:01:47.800 --> 00:01:54.280]  就是守傑森稱不向虛妄、起誓不懷詭詐的人
