
[00:00:00.000 --> 00:00:07.000]  香港人是堅持一個一男一女一夫一妻的婚姻生活
[00:00:07.000 --> 00:00:09.000]  我剛從澳洲回來
[00:00:09.000 --> 00:00:12.000]  澳洲的悉尼市已經通過了
[00:00:12.000 --> 00:00:16.000]  整個澳洲那麼大隻有悉尼市通過了同性婚姻
[00:00:16.000 --> 00:00:20.000]  在紐西蘭其實已經通過了很久了
[00:00:20.000 --> 00:00:22.000]  所以現在紐西蘭爭取的不是同性婚姻
[00:00:22.000 --> 00:00:27.000]  紐西蘭爭取的是一夫多妻和一妻多夫合法化
[00:00:27.000 --> 00:00:30.000]  一夫多妻是退步的
[00:00:30.000 --> 00:00:31.000]  你問我
[00:00:31.000 --> 00:00:33.000]  因爲我阿爺那邊已經一夫多妻了
[00:00:33.000 --> 00:00:36.000]  但一妻多夫是很進步的
[00:00:36.000 --> 00:00:38.000]  我很難想象這件事情
[00:00:38.000 --> 00:00:40.000]  男女平等到一個這樣的地步
[00:00:40.000 --> 00:00:44.000]  歐洲有些國家開始爭取人和動物結婚合法
[00:00:44.000 --> 00:00:46.000]  以至到他死的時候
[00:00:46.000 --> 00:00:49.000]  他遺產可以留下合法地給他的狗
[00:00:49.000 --> 00:00:52.000]  或者他的牛或者他的馬
[00:00:52.000 --> 00:00:55.000]  這些都是很紛亂
[00:00:55.000 --> 00:00:59.000]  迴歸之後你和我都感受到一種很紛亂的感覺
[00:00:59.000 --> 00:01:01.000]  特別是近幾年紛亂得很厲害
[00:01:01.000 --> 00:01:04.000]  我們香港人開始越來越不開心
[00:01:04.000 --> 00:01:06.000]  你見到港門版
[00:01:06.000 --> 00:01:08.000]  你們的牧師都身受其害
[00:01:08.000 --> 00:01:10.000]  我又身受其害
[00:01:10.000 --> 00:01:12.000]  港門版和娛樂版是一樣的
[00:01:12.000 --> 00:01:15.000]  娛樂版的可信程度只有1%
[00:01:15.000 --> 00:01:16.000]  現在港門版都變成這樣了
[00:01:16.000 --> 00:01:17.000]  那1%是什麼
[00:01:17.000 --> 00:01:18.000]  你的名字是真的
[00:01:18.000 --> 00:01:19.000]  那張照片是真的
[00:01:19.000 --> 00:01:20.000]  其他都是假的
[00:01:20.000 --> 00:01:22.000]  是作到不得了的
[00:01:22.000 --> 00:01:25.000]  不會打電話和你澄清 也不會打電話訪問你
[00:01:25.000 --> 00:01:27.000]  但就說你是什麼
[00:01:27.000 --> 00:01:30.000]  所以你看看我們現在看報紙
[00:01:30.000 --> 00:01:32.000]  但是看完又相信
[00:01:32.000 --> 00:01:34.000]  我們看報紙是不看內文
[00:01:34.000 --> 00:01:36.000]  我們是看帖文
[00:01:36.000 --> 00:01:37.000]  那才恐怖
[00:01:37.000 --> 00:01:39.000]  看帖文之後原來和內文無關
[00:01:39.000 --> 00:01:42.000]  有一個網站把我的照片放了出來
[00:01:42.000 --> 00:01:44.000]  但實際上是講牧師的
[00:01:44.000 --> 00:01:45.000]  很離譜
[00:01:45.000 --> 00:01:46.000]  我和他的樣子差那麼遠
[00:01:46.000 --> 00:01:48.000]  有一樣東西像就是戴眼鏡
[00:01:48.000 --> 00:01:51.000]  所以現在傳媒是一件很恐怖的事情
[00:01:51.000 --> 00:01:54.000]  我們發覺現在連電視都沒東西好看
[00:01:54.000 --> 00:01:56.000]  你想想真的很可憐
[00:01:56.000 --> 00:01:58.000]  今次的業議都不能收
[00:01:58.000 --> 00:02:01.000]  因爲大家都不想再看那麼悲慘的情況
[00:02:01.000 --> 00:02:02.000]  已經很不開心
[00:02:02.000 --> 00:02:04.000]  但唯有那隻鴨子救回我們
[00:02:04.000 --> 00:02:05.000]  我們很感恩
[00:02:05.000 --> 00:02:08.000]  有隻鴨子在尖東的海旁一直飄出來的時候
[00:02:08.000 --> 00:02:11.000]  全香港市民立刻Facebook洗版
[00:02:11.000 --> 00:02:15.000]  這隻鴨子是勾起了我們兒時的回憶
[00:02:15.000 --> 00:02:18.000]  就是我們小時候陪着我們洗澡的那隻黃色的鴨子
[00:02:18.000 --> 00:02:19.000]  一變大了
[00:02:19.000 --> 00:02:20.000]  多開心
[00:02:20.000 --> 00:02:22.000]  但是突然有一天
[00:02:22.000 --> 00:02:24.000]  大部分香港市民又不開心
[00:02:24.000 --> 00:02:26.000]  因爲那隻鴨子洩氣了
[00:02:26.000 --> 00:02:28.000]  全香港又洩氣了
[00:02:28.000 --> 00:02:30.000]  幸好很快就恢復了
[00:02:30.000 --> 00:02:31.000]  大家又恢復了精神
[00:02:31.000 --> 00:02:32.000]  但實際上
[00:02:32.000 --> 00:02:37.000]  究竟我們的開心來源可以來自哪裏呢
[00:02:37.000 --> 00:02:39.000]  我很想借助一段很熟悉的經文
