
[00:00:00.000 --> 00:00:02.200]  OK,我們時間有限
[00:00:02.200 --> 00:00:04.400]  我們做一個很簡單的記錄,馬上開始
[00:00:04.400 --> 00:00:11.800]  我們是天父,我們要看今天早上的下半場
[00:00:11.800 --> 00:00:17.400]  我們在思想究竟多不多前書後書是一本甚麼書
[00:00:17.400 --> 00:00:22.000]  我們早上想到保羅是一個淑齡的爸爸
[00:00:22.000 --> 00:00:27.800]  保羅怎樣愛這個很病的女兒也好,兒子也好
[00:00:27.800 --> 00:00:37.600]  他全躺著的,十萬火急,四面埋伏地拯救他的淑齡兒子
[00:00:37.600 --> 00:00:42.800]  幫助我們,讓我們都有保羅的眼睛
[00:00:42.800 --> 00:00:47.400]  為教會去焦急,為我們自己淑齡的狀況去焦急
[00:00:47.400 --> 00:00:51.200]  也幫助我們今晚,因為今晚我們需要趕回去
[00:00:51.200 --> 00:00:53.800]  早上我們沒有機會說的話
[00:00:53.800 --> 00:00:57.600]  給我們精神,給我們專注的能力,讓我們聽得明白
[00:00:57.600 --> 00:01:02.800]  而且今晚回到家,回到房間,仍然繼續去思考你的福音
[00:01:02.800 --> 00:01:06.800]  祝福我們這樣的祈禱,是共主耶穌基督明求,阿門
[00:01:06.800 --> 00:01:18.800]  我們今早已經和你們說了很多保羅的多不多前書
[00:01:18.800 --> 00:01:24.800]  他是十面埋伏,十萬火急,是一個非常緊張的情況
[00:01:24.800 --> 00:01:29.800]  因為教會很不濟,但是教會也不覺得自己很不濟
[00:01:29.800 --> 00:01:31.800]  而唯一焦急的是保羅
[00:01:31.800 --> 00:01:34.800]  我說當我們去看哥倫多前後書的時候
[00:01:34.800 --> 00:01:38.800]  不要想這麼多,哇,哥倫多這麼差也是一個教會
[00:01:38.800 --> 00:01:40.800]  我們比他好,不是這樣想的
[00:01:40.800 --> 00:01:44.800]  你要看看保羅看見這些淑齡的狀況
[00:01:44.800 --> 00:01:46.800]  他是怎樣去為教會焦急
[00:01:46.800 --> 00:01:54.800]  我現在想和你們去看看保羅在哥倫多教會的時序
[00:01:54.800 --> 00:01:57.800]  正如你記得早上我說的
[00:01:57.800 --> 00:02:00.800]  我們一直在思考哥倫多前後書
[00:02:00.800 --> 00:02:03.800]  其實起碼有一二三四四本書
[00:02:03.800 --> 00:02:07.800]  所以你要去看看時序才知道
[00:02:07.800 --> 00:02:12.800]  哇,保羅和哥倫多教會有一個很複雜很複雜的關係
[00:02:12.800 --> 00:02:18.800]  但是我現在先和你們說一件事,就算這個時序也是神學家在砌的
[00:02:18.800 --> 00:02:22.800]  你記得我們是隔牆偷聽隔壁屋談電話的
[00:02:22.800 --> 00:02:24.800]  其實也挺困難的
[00:02:24.800 --> 00:02:28.800]  而因為大家神學家在猜一些東西
[00:02:28.800 --> 00:02:32.800]  所以有些年份未必是最準確的
[00:02:32.800 --> 00:02:34.800]  很多人可能只差一兩年
[00:02:34.800 --> 00:02:39.800]  但是大體的次序大概是這樣的
[00:02:39.800 --> 00:02:47.800]  我知道你平時聽道理不會有人和你說這些時序古怪的東西
[00:02:47.800 --> 00:02:49.800]  但是你跟著我去想一想
[00:02:49.800 --> 00:02:54.800]  其實這些時序對我們理解這本書是非常有幫助的
[00:02:54.800 --> 00:02:57.800]  據我們所知,剛才在少林寺我們有看過
[00:02:57.800 --> 00:03:04.800]  保羅在公元大概五十一年,五十二年左右來到哥倫多教會
[00:03:04.800 --> 00:03:07.800]  他在那裡逗留了一年零六個月
[00:03:07.800 --> 00:03:11.800]  其實他本來可能也想離開,但是上帝叫他留在那裡
[00:03:11.800 --> 00:03:14.800]  因為上帝說這裡有很多的人我要拯救
