
[00:00:00.000 --> 00:00:05.000]  錄音/錄影的版權是屬於基督教宣導會不各堂所有
[00:00:05.000 --> 00:00:09.000]  我們的屬靈傳統之一,是以真理教導為本
[00:00:09.000 --> 00:00:13.000]  歡迎您將此錄音/錄影的連結傳給親友
[00:00:13.000 --> 00:00:19.000]  懇請注意,未經授權,請勿轉錄或剪輯本錄音/錄影
[00:00:19.000 --> 00:00:24.000]  甚願好像《使徒行傳》20章32節下所說
[00:00:24.000 --> 00:00:31.000]  這道能建立你們,叫你們和一切誠誠的人同得基業
[00:00:55.000 --> 00:00:59.000]  相信剛踏入2026年零時零分的時候
[00:00:59.000 --> 00:01:02.000]  我們的手機會收到很多祝福的訊息
[00:01:02.000 --> 00:01:08.000]  我們每一個都很盼望可以成為一個蒙福的人
[00:01:08.000 --> 00:01:13.000]  今天是我們新一年裡的第一個主日,也是靈修主日
[00:01:13.000 --> 00:01:16.000]  我們都一同藉著詩篇第一篇
[00:01:16.000 --> 00:01:21.000]  我們去看我們可以如何成為一個有福的人
[00:01:21.000 --> 00:01:26.000]  在我們聆聽上帝的話語之先,讓我們一起祈禱
[00:01:26.000 --> 00:01:33.000]  主,在新的一年裡,我們同心來到祢的根前
[00:01:33.000 --> 00:01:38.000]  我們很願意打開我們的心靈,我們去迎接祢的說話
[00:01:38.000 --> 00:01:42.000]  主,求祢賜給我們有悟性,去明白祢的話語
[00:01:42.000 --> 00:01:47.000]  我們求祢藉著祢自己的聖言,去更生我們的生命
[00:01:47.000 --> 00:01:52.000]  以致我們都是一個個好土,是結滿果子
[00:01:52.000 --> 00:01:57.000]  我們祈禱,奉靠主耶穌基督得勝的明智而求,阿們
[00:01:57.000 --> 00:02:04.000]  當我們去,剛才主席幫我們讀詩篇第一篇的時候
[00:02:04.000 --> 00:02:09.000]  我們有留意到,其實這個跟我們平時讀的版本有少少不同
[00:02:09.000 --> 00:02:13.000]  他一開始說,這人真是有福
[00:02:13.000 --> 00:02:19.000]  其實我們在原文裡,有福這個字是希伯來文的第一個字
[00:02:19.000 --> 00:02:24.000]  所以《環球聖經》也比較貼近原文
[00:02:24.000 --> 00:02:28.000]  他以這人真是有福作為開始
[00:02:28.000 --> 00:02:33.000]  有福其實不單單只是詩篇第一篇的主旨
[00:02:33.000 --> 00:02:38.000]  它同時也是我們整個詩篇裡的主旨
[00:02:38.000 --> 00:02:43.000]  愛我們的主,很想將福氣賜給我們
[00:02:43.000 --> 00:02:48.000]  叫我們每一個都可以因著祂成為有福的人
[00:02:48.000 --> 00:02:53.000]  我們就會問一個問題,有福的人究竟是怎樣的呢?
[00:02:53.000 --> 00:02:57.000]  大家幫我一起讀第一第二節好不好?
[00:02:57.000 --> 00:03:02.000]  這人真是有福,從惡人的計謀
[00:03:02.000 --> 00:03:07.000]  不站罪人的道路,不助傲慢人作為
[00:03:07.000 --> 00:03:11.000]  相反,耶和華的律法是他的最愛
[00:03:11.000 --> 00:03:15.000]  耶和華的律法,他就也…
[00:03:15.000 --> 00:03:19.000]  當你讀的時候,我們去留意重複的字的時候
[00:03:19.000 --> 00:03:23.000]  你就留意到,其實有福的人有個提示
[00:03:23.000 --> 00:03:27.000]  就是「三不二事」,三個的不,兩個的事
[00:03:27.000 --> 00:03:30.000]  有三件事我們不會去做
[00:03:30.000 --> 00:03:33.000]  而是有兩件事我們會去做
[00:03:33.000 --> 00:03:36.000]  我們首先去看第一節的三不
[00:03:36.000 --> 00:03:44.000]  詩人用了三個動詞,三個形容詞和三個名詞去表述
[00:03:44.000 --> 00:03:49.000]  我們可以看到,這三個不其實都是漸進式的
[00:03:49.000 --> 00:03:54.000]  在當中我們會見到,是不從惡人的計謀
[00:03:54.000 --> 00:03:57.000]  計謀是指一些我們的思想
[00:03:57.000 --> 00:04:00.000]  開始的時候,只不過是想一想
[00:04:00.000 --> 00:04:03.000]  然後就不站罪人的道路
[00:04:03.000 --> 00:04:08.000]  道路是代表去模仿他們的行為而做出來
[00:04:08.000 --> 00:04:12.000]  不坐傲慢之人的座位
[00:04:12.000 --> 00:04:18.000]  即是他已經坐在那裡,拿著筆幫忙去策劃和指揮
[00:04:18.000 --> 00:04:24.000]  所以我們會看到,原來這三個不是一個漸進增強
[00:04:24.000 --> 00:04:29.000]  由思想去到行為,然後去到策劃
[00:04:29.000 --> 00:04:34.000]  原本只是想一想,我們還不是很明目張膽
[00:04:34.000 --> 00:04:38.000]  然後慢慢去參與行動,做了出來
[00:04:38.000 --> 00:04:43.000]  之後坐下來,策劃指使人去做
[00:04:43.000 --> 00:04:49.000]  嘉爾文說,傲慢之人是最壞的
