
[00:00:00.000 --> 00:00:02.000]  各位朋友晚安
[00:00:02.000 --> 00:00:09.760]  希望我們能夠從聖賢裏面飽足之後
[00:00:09.760 --> 00:00:14.920]  就可以愉快地去照顧一下自己身體的需要
[00:00:14.920 --> 00:00:19.960]  今日我跟大家去分享這個經文
[00:00:19.960 --> 00:00:23.080]  可以這樣說是影響我
[00:00:23.080 --> 00:00:27.280]  基本上當我懂事出來工作
[00:00:27.280 --> 00:00:29.880]  然後做到一鍋粥
[00:00:30.080 --> 00:00:32.200]  然後重新更新自己
[00:00:32.200 --> 00:00:37.000]  聖靈提點了我做事情
[00:00:37.000 --> 00:00:39.640]  不僅是在職場
[00:00:39.640 --> 00:00:41.160]  還有家庭
[00:00:41.160 --> 00:00:48.240]  還有包括行事為人的一個很重要的態度
[00:00:48.240 --> 00:00:54.480]  而這個態度就是今天我跟大家選取的經文
[00:00:54.480 --> 00:00:59.040]  是在哥林多前書第四章
[00:00:59.480 --> 00:01:04.280]  哥林多前書第四章裏面有一句說話
[00:01:04.280 --> 00:01:07.920]  是影響我自心
[00:01:07.920 --> 00:01:13.720]  所以我後來有一個書法家
[00:01:13.720 --> 00:01:20.720]  他知道我要在寫字樓裏面有什麼東西可以鼓勵我
[00:01:20.720 --> 00:01:24.720]  他叫我任他寫都可以
[00:01:24.720 --> 00:01:26.640]  多長多短都可以
[00:01:27.040 --> 00:01:31.400]  如果大家的眼睛離開的話
[00:01:31.400 --> 00:01:36.240]  你會看到其實這個牌匾是2009年的
[00:01:36.240 --> 00:01:40.040]  換句話說就是在我的辦公室裏面
[00:01:40.040 --> 00:01:44.280]  一直警戒我的行事為人
[00:01:44.280 --> 00:01:51.760]  我邀請了他寫「師傅需我一萬,為父的卻是不多」
[00:01:51.760 --> 00:01:56.880]  有時我們看經文的時候都會水過鴨背
[00:01:56.880 --> 00:02:02.840]  覺得其實都是叫我們做好
[00:02:02.840 --> 00:02:06.320]  但當我們再認真看的時候
[00:02:06.320 --> 00:02:07.960]  這個世界缺乏什麼呢
[00:02:07.960 --> 00:02:10.600]  其實這個世界是否缺乏知識呢
[00:02:10.600 --> 00:02:14.840]  這個世界是否缺乏專業呢
[00:02:14.840 --> 00:02:16.840]  其實都缺乏
[00:02:16.840 --> 00:02:20.120]  例如一粒病毒我們都不是完全清楚
[00:02:20.120 --> 00:02:22.600]  不過我們覺得都很煩
