
[00:00:00.000 --> 00:00:03.000]  今天要講的主題就是
[00:00:03.000 --> 00:00:06.000]  我們的福氣有真理
[00:00:06.000 --> 00:00:08.000]  上禮拜講有恩典
[00:00:08.000 --> 00:00:10.000]  這禮拜要講有真理
[00:00:10.000 --> 00:00:14.000]  我們來看約翰福音一章十四節
[00:00:14.000 --> 00:00:29.000]  翻開了之後我們就一起來念
[00:00:29.000 --> 00:00:32.000]  道成了肉身住在我們中間
[00:00:32.000 --> 00:00:35.000]  充充滿滿的有恩典有真理
[00:00:35.000 --> 00:00:37.000]  我們也見過祂的榮光
[00:00:37.000 --> 00:00:41.000]  正是復讀生子的榮光
[00:00:41.000 --> 00:00:44.000]  我們一起低頭禱告
[00:00:44.000 --> 00:00:46.000]  親愛的天父我們謝謝祢
[00:00:46.000 --> 00:00:49.000]  賜給我們這些寶貴的真理
[00:00:49.000 --> 00:00:51.000]  要印在我們的心中
[00:00:51.000 --> 00:00:55.000]  成為我們心中的祝福
[00:00:55.000 --> 00:00:58.000]  主我們感謝祢求祢
[00:00:58.000 --> 00:01:00.000]  賜福今天早晨的光陰
[00:01:00.000 --> 00:01:02.000]  讓我們每分每秒都活在
[00:01:02.000 --> 00:01:05.000]  祢真理的祝福當中
[00:01:05.000 --> 00:01:07.000]  這樣禱告靠耶穌基督的聖名
[00:01:07.000 --> 00:01:09.000]  Amen
[00:01:09.000 --> 00:01:17.000]  論到真理我們要來了解
[00:01:17.000 --> 00:01:20.000]  真理這個字的意思
[00:01:20.000 --> 00:01:23.000]  真理這個字的意思
[00:01:23.000 --> 00:01:27.000]  在聖經上字典的意思
[00:01:27.000 --> 00:01:29.000]  有三個意思
[00:01:29.000 --> 00:01:33.000]  第一個意思是在思想行為上的真實
[00:01:33.000 --> 00:01:35.000]  思想行為上真實
[00:01:35.000 --> 00:01:38.000]  跟不誠實成為一個對比
[00:01:38.000 --> 00:01:41.000]  第二個是說在言語上真實
[00:01:41.000 --> 00:01:44.000]  跟謊言就成了一個對比
[00:01:44.000 --> 00:01:47.000]  就是說話是很真實的
[00:01:47.000 --> 00:01:50.000]  第三個是在本質上真實
[00:01:50.000 --> 00:01:53.000]  跟只有外表上的真實
