
[00:00:00.000 --> 00:00:00.920]  各位兄弟姐妹
[00:00:00.920 --> 00:00:05.240]  生命樹又和大家一起看聖經人、聖經事
[00:00:05.240 --> 00:00:07.760]  和聖經裡面的上主
[00:00:07.760 --> 00:00:11.200]  今次仍然是在說路德記
[00:00:11.200 --> 00:00:13.840]  波亞斯愛護路德
[00:00:13.840 --> 00:00:16.640]  波亞斯很愛護路德
[00:00:16.640 --> 00:00:19.760]  那麼愛護路德有什麼因素呢?
[00:00:19.760 --> 00:00:22.520]  是不是見他美女愛護路德呢?
[00:00:22.520 --> 00:00:23.520]  不知道
[00:00:23.520 --> 00:00:28.720]  其實波亞斯在他的眼裡看路德是什麼呢?
[00:00:28.720 --> 00:00:30.480]  他只是看到
[00:00:30.480 --> 00:00:32.640]  波亞斯很尊敬他
[00:00:32.640 --> 00:00:35.680]  很欣賞這個愛邦女子
[00:00:35.680 --> 00:00:41.640]  是對於婆婆非常忠誠
[00:00:41.640 --> 00:00:42.840]  不肯離開
[00:00:42.840 --> 00:00:46.400]  而且沒有嫁給別人
[00:00:46.400 --> 00:00:48.720]  肯跟他來到以色列裡面
[00:00:48.720 --> 00:00:51.760]  是他不認識的民族
[00:00:51.760 --> 00:00:53.880]  不認識的信仰
[00:00:53.880 --> 00:00:57.760]  那麼不會堅持自己的信仰
[00:00:57.760 --> 00:01:01.200]  為了在那裡跟隨以色列人的信仰
[00:01:01.200 --> 00:01:03.080]  很欣賞他
[00:01:03.080 --> 00:01:05.160]  波亞斯就說我知道了
[00:01:05.160 --> 00:01:06.320]  你真是厲害
[00:01:06.320 --> 00:01:10.080]  而波亞斯也照顧他
[00:01:10.080 --> 00:01:11.720]  和他婆婆拿位
[00:01:11.720 --> 00:01:13.200]  所以給他東西
[00:01:13.200 --> 00:01:15.960]  你多收拾墨水吧
[00:01:15.960 --> 00:01:19.600]  我們看看波亞斯怎樣愛護路德
[00:01:19.600 --> 00:01:21.080]  今天我們來看
[00:01:21.080 --> 00:01:23.080]  路德記第二章
[00:01:23.080 --> 00:01:25.440]  十四節
[00:01:25.440 --> 00:01:28.080]  「到了吃飯的時候」
[00:01:28.080 --> 00:01:29.880]  吃飯是中文
[00:01:29.880 --> 00:01:31.640]  他們是不吃飯的
[00:01:31.640 --> 00:01:33.920]  他們是吃餅的
[00:01:33.920 --> 00:01:37.120]  或者英文叫做bread
[00:01:37.120 --> 00:01:38.280]  吃餅的
[00:01:38.280 --> 00:01:39.120]  麵包
[00:01:39.120 --> 00:01:40.120]  其實應該吃飯
[00:01:40.120 --> 00:01:42.720]  飯不是rice
[00:01:42.720 --> 00:01:44.240]  他們是吃餅的
[00:01:44.240 --> 00:01:46.640]  那餅怎麼做的呢?
[00:01:46.640 --> 00:01:49.440]  就是他們將小麥
[00:01:49.440 --> 00:01:50.920]  就是大麥
[00:01:50.920 --> 00:01:53.840]  將它修割
[00:01:53.840 --> 00:01:55.840]  你知道一條條的
[00:01:55.840 --> 00:01:57.560]  然後有些墨水
[00:01:57.560 --> 00:02:02.160]  他就拿著它在籃子那裡打
[00:02:02.160 --> 00:02:05.440]  於是那些墨水就掉到籃子裡面
[00:02:05.440 --> 00:02:06.440]  全部都有殼
[00:02:06.440 --> 00:02:08.720]  然後他就會將那些殼
[00:02:08.720 --> 00:02:13.360]  找一次倒在禾場那裡
