
[00:00:00.000 --> 00:00:02.200]  這個喜樂不是廣寬
[00:00:02.200 --> 00:00:05.820]  也不是一時表面的快樂
[00:00:05.820 --> 00:00:06.680]  是有深度的
[00:00:06.680 --> 00:00:07.440]  為什麼呢?
[00:00:07.440 --> 00:00:10.280]  這個喜樂是從
[00:00:10.280 --> 00:00:17.020]  甚至是我們默想、認罪、悔改、更新那裡而來的
[00:00:17.020 --> 00:00:21.500]  今天這個第四講是講到首節的喜樂
[00:00:21.500 --> 00:00:25.600]  其實這段時間我們是
[00:00:25.600 --> 00:00:28.000]  算是很多節期的
[00:00:28.000 --> 00:00:29.760]  如果有些教會是禮儀教會
[00:00:29.760 --> 00:00:31.660]  他們是特別多節期的
[00:00:31.660 --> 00:00:33.800]  我們方柏教會沒有這麼多節期
[00:00:33.800 --> 00:00:37.480]  但是在這段時間可以說是一年當中最多的
[00:00:37.480 --> 00:00:43.760]  因為有些基督教教會也有首大齋節的
[00:00:43.760 --> 00:00:48.640]  就是他在這段時間去多一點安靜自己
[00:00:48.640 --> 00:00:53.160]  去思念有沒有什麼地方
[00:00:53.160 --> 00:00:55.720]  捆綁自己的
[00:00:55.720 --> 00:00:58.160]  所以他有時候是要禁食
[00:00:58.160 --> 00:01:00.380]  有時候是
[00:01:00.380 --> 00:01:02.440]  我的女兒還很好笑
[00:01:02.440 --> 00:01:04.700]  她說這段時間她要禁買東西
[00:01:04.700 --> 00:01:08.660]  就是只有必需要的東西才買
[00:01:08.660 --> 00:01:12.880]  但是那些不是必需的她不買
[00:01:12.880 --> 00:01:16.800]  就是她不用物質去束縛自己
[00:01:16.800 --> 00:01:18.880]  這段時間特別去思考
[00:01:18.880 --> 00:01:22.540]  我們基督永禮受苦的意義
[00:01:22.540 --> 00:01:25.920]  所以在今天就是
[00:01:26.920 --> 00:01:28.920]  中樹節
[00:01:28.920 --> 00:01:29.920]  其實今天是中樹節
[00:01:29.920 --> 00:01:32.520]  剛才蔣老師領我們來唱一首歌
[00:01:32.520 --> 00:01:34.440]  就是這首歌唱和薩那
[00:01:34.440 --> 00:01:36.640]  就是當時耶穌進入耶路撒冷
[00:01:36.640 --> 00:01:43.960]  所有的人都是拿著中樹枝來揮舞歡迎
[00:01:43.960 --> 00:01:48.320]  特別是連孩童都唱出詩歌和薩那
[00:01:48.320 --> 00:01:50.120]  就是救主的意思
[00:01:50.120 --> 00:01:52.480]  我們知道這個星期五是什麼節日
[00:01:52.480 --> 00:01:54.880]  受難節
[00:01:54.880 --> 00:01:59.400]  所以我們有一個忠臣的生命之道
[00:01:59.400 --> 00:02:01.400]  這個星期放一天假
[00:02:01.400 --> 00:02:03.400]  就不是春假
[00:02:03.400 --> 00:02:09.000]  是幫助大家不用這麼忙
[00:02:09.000 --> 00:02:12.000]  回來守受難節的聚會
[00:02:12.000 --> 00:02:17.000]  接著下個主日是什麼節日?
[00:02:17.000 --> 00:02:19.000]  復活節
[00:02:19.000 --> 00:02:21.800]  所以在這些節期當中
[00:02:21.800 --> 00:02:28.600]  其實就是幫助我們撥出一段時間
[00:02:28.600 --> 00:02:30.800]  不可能全年都一樣
[00:02:30.800 --> 00:02:32.800]  所以有一段時間特別
[00:02:32.800 --> 00:02:35.800]  來幫助我們深一點的默想
[00:02:35.800 --> 00:02:37.800]  以致影響我們全年
[00:02:37.800 --> 00:02:42.800]  所以我們在這個時候不是一種形式化的回來聚會
[00:02:42.800 --> 00:02:46.800]  最重要的就是我們能夠在這些守節當中
[00:02:46.800 --> 00:02:49.800]  得到真正的祝福
[00:02:49.800 --> 00:02:50.800]  屬靈的祝福
