
[00:00:00.000 --> 00:00:02.000]  我們一起再禱告
[00:00:02.000 --> 00:00:05.800]  賜給人愛天賦
[00:00:05.800 --> 00:00:07.800]  我們讀你的話語
[00:00:07.800 --> 00:00:09.800]  求你賜給我們
[00:00:09.800 --> 00:00:11.800]  一個敏銳的心
[00:00:11.800 --> 00:00:13.800]  看到你的話語必要成就
[00:00:13.800 --> 00:00:15.800]  叫我們讀你的話語
[00:00:15.800 --> 00:00:20.800]  不只是讀多一篇有意思的文章
[00:00:20.800 --> 00:00:22.800]  將聖經放在世界上
[00:00:22.800 --> 00:00:26.800]  很多很特別的著作
[00:00:26.800 --> 00:00:28.800]  其中的一本
[00:00:28.800 --> 00:00:30.800]  不是主我們讀你的聖經
[00:00:30.800 --> 00:00:32.800]  是讀神你自己的話語
[00:00:32.800 --> 00:00:36.800]  你讓你自己教會你的話語
[00:00:36.800 --> 00:00:38.800]  對我們何等的寶貴
[00:00:38.800 --> 00:00:41.800]  你的話語就是我們的生命
[00:00:41.800 --> 00:00:44.800]  你說事就要成就
[00:00:44.800 --> 00:00:46.800]  你一發聲
[00:00:46.800 --> 00:00:49.800]  天地都要順從讚美你
[00:00:49.800 --> 00:00:51.800]  主今日你的話語說出
[00:00:51.800 --> 00:00:55.800]  願我們聆聽樂意進行
[00:00:55.800 --> 00:00:58.800]  也明白神你的心意
[00:00:58.800 --> 00:01:00.800]  求你引導我們
[00:01:00.800 --> 00:01:01.800]  知道耶和華
[00:01:01.800 --> 00:01:03.800]  你是我們生命最重要
[00:01:03.800 --> 00:01:05.800]  唯一的產業
[00:01:05.800 --> 00:01:06.800]  我們擁有你
[00:01:06.800 --> 00:01:08.800]  就擁有一切
[00:01:08.800 --> 00:01:10.800]  求你引導我們
[00:01:10.800 --> 00:01:11.800]  聽我們同心禱告
[00:01:11.800 --> 00:01:13.800]  奉耶穌的聖名
[00:01:13.800 --> 00:01:16.800]  在印言那裏我寫了一句
[00:01:16.800 --> 00:01:18.800]  有什麼是地位高
[00:01:18.800 --> 00:01:19.800]  要求高
[00:01:19.800 --> 00:01:21.800]  但危險係數又高呢
[00:01:21.800 --> 00:01:24.800]  不如先說危險
[00:01:24.800 --> 00:01:27.800]  這世上有什麼職工是危險的
[00:01:27.800 --> 00:01:31.800]  做警察
[00:01:31.800 --> 00:01:32.800]  建築
[00:01:32.800 --> 00:01:35.800]  看在哪裏做
[00:01:35.800 --> 00:01:38.800]  安全措施
[00:01:38.800 --> 00:01:41.800]  理論上安全些
[00:01:41.800 --> 00:01:44.800]  我昨天乘車回教會
[00:01:44.800 --> 00:01:45.800]  去到啟業村
