
[00:00:00.000 --> 00:00:05.000]  今日要講的經文是來自瓦戈
[00:00:05.000 --> 00:00:09.000]  要講瓦戈其實是一個很大的挑戰
[00:00:09.000 --> 00:00:15.000]  其實瓦戈是一卷很負爭議性的經文
[00:00:15.000 --> 00:00:20.000]  負爭議性的意思是很多人有不同的看法
[00:00:20.000 --> 00:00:25.000]  究竟這卷書是講什麼的
[00:00:25.000 --> 00:00:31.000]  這個問題在這二千年來已經有很多討論
[00:00:31.000 --> 00:00:37.000]  但主在《尋渠人》裏多次引用這段經文
[00:00:37.000 --> 00:00:41.000]  所以我覺得是告訴我們我們應該花點精神時間
[00:00:41.000 --> 00:00:47.000]  用心去了解 透過它去明白上帝的心意
[00:00:47.000 --> 00:00:53.000]  瓦戈是一首 如果單單看表面
[00:00:53.000 --> 00:00:57.000]  文字的寫法很明顯是一首歌
[00:00:57.000 --> 00:01:01.000]  是一首詩歌 很重的敬拜感 是一首詩歌
[00:01:01.000 --> 00:01:07.000]  當時我上網查一下瓦戈 唱的歌也不少
[00:01:07.000 --> 00:01:11.000]  用瓦戈的經文 譜出來的歌也相當多
[00:01:11.000 --> 00:01:19.000]  以色列人每逢愉悅節 他們不同的節期都會唸經文
[00:01:19.000 --> 00:01:24.000]  瓦戈很特別是在愉悅節的時候唸的 他們的傳統是這樣的
[00:01:24.000 --> 00:01:28.000]  看內容其實是一首愛情的歌集
[00:01:28.000 --> 00:01:31.000]  因為它是講男女的戀愛的 看下去
[00:01:31.000 --> 00:01:35.000]  這個就是內容 特別是用女性的角度去講
[00:01:35.000 --> 00:01:39.000]  很少的聖經是用女子的角度
[00:01:39.000 --> 00:01:44.000]  女主角講的最多 當然也有男主角和女主角講話
[00:01:44.000 --> 00:01:50.000]  很多對話組成 加上群眾旁邊的旁白
[00:01:50.000 --> 00:01:55.000]  還有一群女子 可能是一些同類 跟女主角一起
[00:01:55.000 --> 00:01:59.000]  可能是一些女朋友 姐妹 一起在讀
[00:01:59.000 --> 00:02:07.000]  主要是講男女之間的戀愛 互相戀慕
[00:02:07.000 --> 00:02:12.000]  那種描寫 心情的描寫
[00:02:12.000 --> 00:02:16.000]  看下去你會覺得很直接
[00:02:16.000 --> 00:02:21.000]  我想起一個小說人物 我預備的時候想起一個人物
[00:02:21.000 --> 00:02:28.000]  不知道大家有沒有印象看過 熱天陶容記裡面的男主角是誰
[00:02:28.000 --> 00:02:33.000]  張無忌 女主角 很多個
[00:02:33.000 --> 00:02:37.000]  趙文 我想說 她最後跟他一起的那個
[00:02:37.000 --> 00:02:40.000]  其實她的性格有點相似 她真的很直接
[00:02:40.000 --> 00:02:46.000]  不是愛恨分明的性格 這樣的一位女主角
[00:02:46.000 --> 00:02:54.000]  將她自己心裡的那種愛慕 渴望 很直接地講出來
[00:02:54.000 --> 00:03:00.000]  有時直接到一個地步 讀下去也有一點不太好意思
[00:03:00.000 --> 00:03:08.000]  因為她不只是講愛情 她連戀慕那種身體上的接觸
[00:03:08.000 --> 00:03:12.000]  差不多去到性的部分 她是這樣說的
[00:03:12.000 --> 00:03:18.000]  所以這本書大概放在聖經裡面 正典裡面
