
[00:00:00.000 --> 00:00:03.400]  今日同大家開始睇個C篇第八篇
[00:00:03.400 --> 00:00:06.400]  當我去預備呢個講章嘅時候呢
[00:00:06.400 --> 00:00:07.400]  我整好曬啦
[00:00:07.400 --> 00:00:09.400]  咁呢我哋幹事哥哥呢
[00:00:09.400 --> 00:00:11.400]  佢就問我 穆斯林俾個咩題目佢呀
[00:00:11.400 --> 00:00:13.400]  咁話喎 俾個咩題目佢喎
[00:00:13.400 --> 00:00:15.400]  C篇第一篇記唔記得咩題目呀
[00:00:15.400 --> 00:00:17.400]  我真係嬲㗎
[00:00:17.400 --> 00:00:19.400]  如果你而家都唔知
[00:00:19.400 --> 00:00:21.400]  C篇第一篇我俾個咩題目呀
[00:00:21.400 --> 00:00:23.400]  吓
[00:00:23.400 --> 00:00:25.400]  福 又你揀呀
[00:00:25.400 --> 00:00:27.400]  呢個似樣啦
[00:00:27.400 --> 00:00:29.400]  咁C篇第二篇我又俾個咩題目呀
[00:00:29.400 --> 00:00:31.400]  又係福 又你揀
[00:00:31.400 --> 00:00:33.400]  不過有個括號
[00:00:33.400 --> 00:00:35.400]  叫咩呀
[00:00:35.400 --> 00:00:37.400]  即係好似身分證咪有個括號嘅 最尾個number係咪
[00:00:37.400 --> 00:00:39.400]  佢呢就叫做宏觀
[00:00:39.400 --> 00:00:41.400]  係咪呀
[00:00:41.400 --> 00:00:43.400]  所以呢第一篇同第二篇呢
[00:00:43.400 --> 00:00:45.400]  都係講到福呢係由你揀嘅
[00:00:45.400 --> 00:00:47.400]  不過一個係個人化
[00:00:47.400 --> 00:00:49.400]  一個係 嘩
[00:00:49.400 --> 00:00:51.400]  整個世界呀 列國
[00:00:51.400 --> 00:00:53.400]  嘩 嗰啲軍王喺度
[00:00:53.400 --> 00:00:55.400]  對付耶和華同埋對付
[00:00:55.400 --> 00:00:57.400]  受高者喎真係
[00:00:57.400 --> 00:00:59.400]  嗌一聲
[00:00:59.400 --> 00:01:01.400]  真係嗌一聲
[00:01:01.400 --> 00:01:03.400]  都不知天高地厚係咪呀
[00:01:03.400 --> 00:01:05.400]  咁牧師點解你唔講第三篇嘅
[00:01:05.400 --> 00:01:07.400]  我如果咁樣講法呢
[00:01:07.400 --> 00:01:09.400]  講到
[00:01:09.400 --> 00:01:11.400]  我啲
[00:01:11.400 --> 00:01:13.400]  打晒估都未講完啦
[00:01:13.400 --> 00:01:15.400]  我唔講埋咩呀 打晒估都未講完啦
[00:01:15.400 --> 00:01:17.400]  所以呢我係揀嘅
[00:01:17.400 --> 00:01:19.400]  我揀咗第一篇第二篇
[00:01:19.400 --> 00:01:21.400]  第八篇 下一篇呢
[00:01:21.400 --> 00:01:23.400]  主要許可呢係二十三篇
[00:01:23.400 --> 00:01:25.400]  嘩 二十三篇
[00:01:25.400 --> 00:01:27.400]  二十三篇係好正
[00:01:27.400 --> 00:01:29.400]  真係非常之好嘅一個詩篇
[00:01:29.400 --> 00:01:31.400]  有原因㗎 到時會同大家
[00:01:31.400 --> 00:01:33.400]  去分析吓 點解咁多人
[00:01:33.400 --> 00:01:35.400]  鍾意詩篇二十三篇呢
[00:01:35.400 --> 00:01:37.400]  好多學者有唔同嘅講法呀
[00:01:37.400 --> 00:01:39.400]  死人又得 結婚又得
[00:01:39.400 --> 00:01:41.400]  生日又得 就係
[00:01:41.400 --> 00:01:43.400]  詩篇二十三篇 好 唔好講咗喎
[00:01:43.400 --> 00:01:45.400]  咁佢問咗我呢 我初初就話
[00:01:45.400 --> 00:01:47.400]  有呀 我咪寫咗神嘅榮耀同埋人嘅
[00:01:47.400 --> 00:01:49.400]  尊貴囉 我係畀咗佢㗎喎
[00:01:49.400 --> 00:01:51.400]  呢度 贊美詩 彌賽亞詩
[00:01:51.400 --> 00:01:53.400]  自然之詩
[00:01:53.400 --> 00:01:55.400]  咩叫自然呢
[00:01:55.400 --> 00:01:57.400]  自然界嘅意思
[00:01:57.400 --> 00:01:59.400]  但係當佢咁問我嘅時候呢
[00:01:59.400 --> 00:02:01.400]  我又再去到思考啦 我再將呢個詩篇
