
[00:00:00.000 --> 00:00:03.280]  今日我們再次上到登山報訓第二段的經文
[00:00:03.280 --> 00:00:04.640]  請大家跟我一起祈禱
[00:00:04.640 --> 00:00:06.080]  我們再次仰望著
[00:00:06.080 --> 00:00:12.400]  天父我們感謝祢
[00:00:12.400 --> 00:00:16.760]  因為祢賜下重生的生命
[00:00:16.760 --> 00:00:20.200]  讓我們經歷在祢裏面的改變
[00:00:20.200 --> 00:00:22.760]  主啊祢何等盼望
[00:00:22.760 --> 00:00:26.360]  祢的子民能夠誠實地跟隨祢
[00:00:27.080 --> 00:00:30.880]  主我們知道祢不僅賜下真理
[00:00:30.880 --> 00:00:34.560]  祢更加同時賜下祢寶貴的聖靈
[00:00:34.560 --> 00:00:37.440]  在我們生命中加我們力量
[00:00:37.440 --> 00:00:39.840]  能夠行在真理當中
[00:00:39.840 --> 00:00:42.840]  我們再次仰望親愛的主
[00:00:42.840 --> 00:00:44.240]  賜下祢的真理
[00:00:44.240 --> 00:00:46.080]  賜下祢寶貴的聖靈
[00:00:46.080 --> 00:00:49.280]  讓我們誠實地跟隨祢
[00:00:49.280 --> 00:00:52.600]  讓祢的話再次指教我們
[00:00:52.600 --> 00:00:54.280]  引導我們的心思
[00:00:54.680 --> 00:00:58.720]  以致我們在祢面前坦然地作祢的門徒
[00:00:58.720 --> 00:01:01.040]  求祢賜福這段時間
[00:01:01.040 --> 00:01:04.120]  再次引導指教我們
[00:01:04.120 --> 00:01:06.000]  我們仰望祈禱
[00:01:06.000 --> 00:01:07.920]  奉耶穌成名求
[00:01:07.920 --> 00:01:08.920]  阿們
[00:01:08.920 --> 00:01:12.680]  我們接著思想的是《馬太方》第五章
[00:01:12.680 --> 00:01:15.720]  我們從第十七節來思想
[00:01:15.720 --> 00:01:17.640]  我們思想的就是
[00:01:17.640 --> 00:01:20.160]  怎樣能夠超越外表的意義
[00:01:20.160 --> 00:01:22.000]  來跟隨耶穌
[00:01:22.000 --> 00:01:24.280]  我記得好幾年之前
[00:01:24.280 --> 00:01:26.240]  我看到報紙有一個報道
[00:01:26.240 --> 00:01:28.680]  就是在韓國的一件事情
[00:01:28.680 --> 00:01:31.280]  韓國曾經調查發現
[00:01:31.280 --> 00:01:33.720]  在他們當中的高中學生
[00:01:33.720 --> 00:01:37.800]  似乎他們關心社會的意識很強
[00:01:37.800 --> 00:01:42.000]  因為高中學生他們當中
[00:01:42.000 --> 00:01:44.040]  很多人樂意去捐血
[00:01:44.040 --> 00:01:47.960]  當很多團體發現
[00:01:47.960 --> 00:01:51.480]  高中學生捐血的比率很高的時候
[00:01:51.720 --> 00:01:54.960]  他們就做出很多不同的分析
[00:01:54.960 --> 00:01:57.840]  但是他們慢慢突然間發現
[00:01:57.840 --> 00:02:01.120]  不一定是中學生他們有一個很強的
[00:02:01.120 --> 00:02:02.760]  關心社會的意識
[00:02:02.760 --> 00:02:06.880]  而是發現很多大學的入學的要求
[00:02:06.880 --> 00:02:08.760]  或者入學的指引
[00:02:08.760 --> 00:02:13.800]  是他們必須有一種對社會的服務
[00:02:13.800 --> 00:02:19.040]  這些社會服務是有助他們能夠考入很多的大學
[00:02:19.640 --> 00:02:22.920]  而其中一項的社會服務就是捐血
[00:02:22.920 --> 00:02:28.920]  能夠捐血的學生入讀大學的機會是高
