
[00:00:00.000 --> 00:00:04.000]  今日的講題是「明日復明日」
[00:00:04.000 --> 00:00:06.400]  我相信大家對這句說話不陌生
[00:00:06.400 --> 00:00:08.180]  因為大概在我們小時候
[00:00:08.180 --> 00:00:10.820]  都可能讀過一首的歌
[00:00:10.820 --> 00:00:14.080]  是來自明代的明日歌
[00:00:14.080 --> 00:00:16.380]  不如我們一起重溫一下
[00:00:16.380 --> 00:00:17.480]  如果你讀過的
[00:00:17.480 --> 00:00:18.180]  溫習一下
[00:00:18.180 --> 00:00:19.060]  未讀過的
[00:00:19.060 --> 00:00:22.760]  又不妨認識一下 好嗎?
[00:00:22.760 --> 00:00:23.820]  雖然不是聖經
[00:00:23.820 --> 00:00:25.960]  但是很值得我們思考
[00:00:25.960 --> 00:00:26.800]  我們的人生
[00:00:26.800 --> 00:00:28.800]  我們一起讀 預備起
[00:00:28.800 --> 00:00:32.400]  明日復明日 明日何其多
[00:00:32.400 --> 00:00:36.100]  一日待明日 萬事成蹉跎
[00:00:36.100 --> 00:00:38.500]  世人皆被明日累
[00:00:38.500 --> 00:00:41.140]  明日無窮老將至
[00:00:41.140 --> 00:00:43.640]  晨昏滾滾水東流
[00:00:43.640 --> 00:00:46.640]  金鼓悠悠入西隊
[00:00:46.640 --> 00:00:49.040]  百年明日能幾何
[00:00:49.040 --> 00:00:52.720]  請君聽我明日歌
[00:00:52.720 --> 00:00:57.180]  這首詩是講很多人的時光
[00:00:57.180 --> 00:01:00.220]  就在這裡等明日的期間
[00:01:00.220 --> 00:01:02.100]  白白的流逝
[00:01:02.100 --> 00:01:06.100]  結果就虛度一生 一事無成
[00:01:06.100 --> 00:01:07.260]  在我們日常生活裡面
[00:01:07.260 --> 00:01:08.260]  有些什麼事情
[00:01:08.260 --> 00:01:10.060]  我們總是會講
[00:01:10.060 --> 00:01:11.900]  明天先啦
[00:01:11.900 --> 00:01:13.540]  下次先啦
[00:01:13.540 --> 00:01:15.140]  等一下先啦
[00:01:15.140 --> 00:01:17.080]  遲一點先啦
[00:01:17.080 --> 00:01:18.340]  減肥的時候
[00:01:18.340 --> 00:01:19.840]  美食當前
[00:01:19.840 --> 00:01:21.580]  聖誕節又來了
[00:01:21.580 --> 00:01:23.420]  我們總會講什麼
[00:01:23.420 --> 00:01:24.880]  先吃完這頓飯
[00:01:24.880 --> 00:01:27.180]  下次先減啦
[00:01:27.180 --> 00:01:28.520]  吃飯啦 有些人
[00:01:28.520 --> 00:01:30.960]  等機 還沒過關
[00:01:30.960 --> 00:01:31.760]  我們又會講
[00:01:31.760 --> 00:01:34.560]  等一下先啦
[00:01:34.560 --> 00:01:36.160]  吃完飯應該要洗碗啦
[00:01:36.160 --> 00:01:37.100]  不過在看電視
[00:01:37.100 --> 00:01:38.560]  雖然現在沒什麼好電視看
[00:01:38.560 --> 00:01:40.260]  但不知道為什麼電視有一種魔力
[00:01:40.260 --> 00:01:42.860]  都叫我們留在前面
[00:01:42.860 --> 00:01:44.900]  先看完啦
[00:01:44.900 --> 00:01:46.940]  身體不太舒服
[00:01:46.940 --> 00:01:49.740]  好像捱得住 又沒什麼
[00:01:49.740 --> 00:01:51.780]  遲一點先看啦
[00:01:51.780 --> 00:01:54.440]  等一下先看啦
[00:01:54.440 --> 00:01:56.240]  拖延是我們人類一個
[00:01:56.240 --> 00:01:59.420]  很嚴重的通病
[00:01:59.420 --> 00:02:03.020]  有時候影響好像很小
[00:02:03.020 --> 00:02:05.360]  但有些時候
[00:02:05.360 --> 00:02:08.960]  影響可能很大
[00:02:08.960 --> 00:02:10.760]  減肥節食
[00:02:10.760 --> 00:02:12.600]  遲一餐
[00:02:12.600 --> 00:02:15.260]  也不是很重要
[00:02:15.260 --> 00:02:16.560]  打機看電視
[00:02:16.560 --> 00:02:17.860]  飯遲一點吃
[00:02:17.860 --> 00:02:19.560]  碗遲一點先洗
[00:02:19.560 --> 00:02:21.200]  家務遲一點先做
[00:02:21.200 --> 00:02:24.540]  問題也許不是很大
