
[00:00:00.000 --> 00:00:07.000]  在上兩次的講道,我們看到在《薛棟傳》的二十二章至二十六章
[00:00:07.000 --> 00:00:13.000]  主要講到保羅他四次在不同的人面前的申訴
[00:00:13.000 --> 00:00:15.000]  我們在這些當中見到
[00:00:15.000 --> 00:00:23.000]  我們能夠成為一個維護真道、維護真理的原則
[00:00:23.000 --> 00:00:28.000]  保羅就算很有智慧,也成為我們一個學習的榜樣
[00:00:28.000 --> 00:00:33.000]  今天我們來到《薛棟傳》的尾聲,第二十七章
[00:00:33.000 --> 00:00:39.000]  我們知道上一次保羅因為他上訴該殺
[00:00:39.000 --> 00:00:42.000]  就好像我們今天的最高法院
[00:00:42.000 --> 00:00:45.000]  因為他藉著這個,他要去羅馬
[00:00:45.000 --> 00:00:48.000]  其實保羅一早就有心意去羅馬
[00:00:48.000 --> 00:00:55.000]  去看望那些信徒,以及有機會去傳福音
[00:00:55.000 --> 00:01:06.000]  所以神奇妙的安排,讓他透過這些好像不太開心的事
[00:01:06.000 --> 00:01:10.000]  被人誣告,他要上訴,面對不同的人
[00:01:10.000 --> 00:01:13.000]  但是他帶給他很多的機會
[00:01:13.000 --> 00:01:17.000]  來在不同的人面前去表明他的信仰
[00:01:17.000 --> 00:01:20.000]  去見證上帝的真實
[00:01:20.000 --> 00:01:28.000]  所以他更加有心志去該殺,這是很重要的羅馬地方
[00:01:28.000 --> 00:01:31.000]  結果他在寫《菲律賓書》的時候
[00:01:31.000 --> 00:01:35.000]  他向御刑全軍都做過見證
[00:01:35.000 --> 00:01:39.000]  他在坐牢,被軟禁在羅馬這個時間
[00:01:39.000 --> 00:01:42.000]  他其實就是一個傳道的時間
[00:01:42.000 --> 00:01:48.000]  所以有人說這次行程可以說是保羅的第四次宣教行程
[00:01:48.000 --> 00:01:52.000]  我們知道,當然,頭三次我們也說過
[00:01:52.000 --> 00:01:55.000]  他是被教會差遣的
[00:01:55.000 --> 00:01:59.000]  但是這次是不得已的
[00:01:59.000 --> 00:02:02.000]  也不是他自由可以控制的
[00:02:02.000 --> 00:02:05.000]  但是卻是神的安排
[00:02:05.000 --> 00:02:10.000]  所以我們看到神在教會當中,在歷史當中
[00:02:10.000 --> 00:02:13.000]  在整個世界當中,他形形掌管
[00:02:13.000 --> 00:02:16.000]  甚至在我們人生當中
[00:02:16.000 --> 00:02:18.000]  所以今天我們用這個題目
[00:02:18.000 --> 00:02:23.000]  說面對人生的風浪,或者風波
[00:02:23.000 --> 00:02:26.000]  我們有時有的危機
[00:02:26.000 --> 00:02:28.000]  事實上保羅這次的行程
[00:02:28.000 --> 00:02:33.000]  真的是充滿著人生的風波和危機
[00:02:33.000 --> 00:02:35.000]  不是他自己去搞出來的
[00:02:35.000 --> 00:02:39.000]  卻是這些錯綜複雜
[00:02:39.000 --> 00:02:42.000]  也有很多人為和錯誤的安排
[00:02:42.000 --> 00:02:45.000]  以致他們面對了這個風波
[00:02:45.000 --> 00:02:47.000]  其實今天我們也是
[00:02:47.000 --> 00:02:50.000]  有時我們也會面對人生的風浪
[00:02:50.000 --> 00:02:53.000]  面對忽然而來有的風波
[00:02:53.000 --> 00:02:55.000]  有時也有危機
[00:02:55.000 --> 00:02:58.000]  有些危機是真的可以避免的
[00:02:58.000 --> 00:03:02.000]  其實今天在這裡,我們也可以看到這些原則
[00:03:02.000 --> 00:03:06.000]  但是在危機當中,神卻是化為轉機
[00:03:06.000 --> 00:03:09.000]  也一樣保留所經歷的
[00:03:09.000 --> 00:03:12.000]  成為我們今天可以借鏡的一些原則
[00:03:12.000 --> 00:03:15.000]  所以今天我們從這張聖經裡
[00:03:15.000 --> 00:03:22.000]  記載這個在介去羅馬的路程的階段裡
[00:03:22.000 --> 00:03:26.000]  所面對的一個事跡
[00:03:26.000 --> 00:03:29.000]  當時保羅上訴蓋薩
[00:03:29.000 --> 00:03:35.000]  所以最大的港口就在蓋薩利亞
[00:03:35.000 --> 00:03:39.000]  由希律見的一個非常宏大的海港
[00:03:39.000 --> 00:03:42.000]  這個照片我們自己拍過
