
[00:00:00.000 --> 00:00:04.000]  在港道之仙,我們一起祈禱吧!
[00:00:04.000 --> 00:00:06.000]  親愛的上主,我們感謝你
[00:00:06.000 --> 00:00:11.000]  給我們今天在清晨,我們都可以去聆聽你的話語
[00:00:11.000 --> 00:00:15.000]  求主賜我之威,可以將你的道說得明白
[00:00:15.000 --> 00:00:22.000]  亦讓聽的都聽到你的話語,領受你所教的道理
[00:00:22.000 --> 00:00:29.000]  多謝你聽我們禱告,奉主耶穌的德性名字而求,阿們
[00:00:29.000 --> 00:00:33.000]  今日我講到的題目是「立志」
[00:00:33.000 --> 00:00:38.000]  講起立志,我就想起我在神學院裏面
[00:00:38.000 --> 00:00:42.000]  經常都聽到院長講一個遇到的故事
[00:00:42.000 --> 00:00:48.000]  話說在農場裏面有一隻雞和一隻豬都是好朋友
[00:00:48.000 --> 00:00:51.000]  有一天他們的傾談之中
[00:00:51.000 --> 00:00:57.000]  就講到很感激農場主人對他們的恩惠
[00:00:57.000 --> 00:01:01.000]  那隻雞就想到一個方法,要跟主人報恩
[00:01:01.000 --> 00:01:03.000]  他就跟那隻豬說
[00:01:03.000 --> 00:01:08.000]  不如我們一起煮一份豬柳蛋漢堡給主人
[00:01:08.000 --> 00:01:12.000]  那隻豬就二話不說,說好啊好啊
[00:01:12.000 --> 00:01:16.000]  主人對我們這麼好,我們就做這份早餐給他吧!
[00:01:16.000 --> 00:01:22.000]  在第二天早上,那隻豬和雞去到廚房的時候
[00:01:22.000 --> 00:01:27.000]  那隻豬就突然間發現,好像被人搵殯
[00:01:27.000 --> 00:01:32.000]  他就跟那隻雞說,哇!你只是奉獻那隻蛋
[00:01:32.000 --> 00:01:35.000]  但我就要全然奉上
[00:01:35.000 --> 00:01:40.000]  我要把自己的肉都交出來做豬柳蛋漢堡
[00:01:40.000 --> 00:01:43.000]  這個故事我覺得很有意思
[00:01:43.000 --> 00:01:45.000]  經常都放在我心裏面
[00:01:45.000 --> 00:01:50.000]  當我去想究竟我立志要回應神的時候
[00:01:50.000 --> 00:01:52.000]  我的心態是怎樣呢?
[00:01:52.000 --> 00:01:56.000]  會不會好像故事當中的那隻雞
[00:01:56.000 --> 00:01:58.000]  只是奉獻那隻雞蛋
[00:01:58.000 --> 00:02:02.000]  不會損害自己身上一分一毫
[00:02:02.000 --> 00:02:05.000]  還是我可以像那隻豬一樣
[00:02:05.000 --> 00:02:10.000]  願意把自己全然奉上呢?
[00:02:10.000 --> 00:02:16.000]  當我繼續去糾結,想一個思想的時候
[00:02:16.000 --> 00:02:22.000]  我便想起今天我們那段經文最後十二節
[00:02:22.000 --> 00:02:26.000]  保羅去勸勉,貼殺羅尼迦的人
[00:02:26.000 --> 00:02:31.000]  要行事對得起那位照理地進入他自己的國
[00:02:31.000 --> 00:02:33.000]  得他榮耀的神
[00:02:33.000 --> 00:02:38.000]  立志的對象,當然是那位愛我們
[00:02:38.000 --> 00:02:42.000]  陪我們走過很多日子的恩主
[00:02:42.000 --> 00:02:46.000]  我想保羅之所以可以認定到
[00:02:46.000 --> 00:02:52.000]  因為他認定到立志的對象是那位愛他的神
[00:02:52.000 --> 00:02:55.000]  所以他在宣教的道路裏面
[00:02:55.000 --> 00:02:59.000]  即使被人攻擊,被人趕逐
[00:02:59.000 --> 00:03:04.000]  甚至在貼殺羅尼迦的時候受到侮辱或傷害
[00:03:04.000 --> 00:03:08.000]  他侍奉神的心態仍然很堅定
[00:03:08.000 --> 00:03:11.000]  因為他能夠認定自己的使命
[00:03:11.000 --> 00:03:16.000]  讓我們今天由保羅在貼殺羅尼迦的工作
[00:03:16.000 --> 00:03:19.000]  我們看到保羅侍奉的心態
[00:03:19.000 --> 00:03:24.000]  激勵我們成為立志回應神的榜樣
[00:03:24.000 --> 00:03:28.000]  我想開一開拋盤
[00:03:28.000 --> 00:03:34.000]  我們可以看回經文
[00:03:34.000 --> 00:03:39.000]  保羅給我們第一個榜樣
[00:03:39.000 --> 00:03:45.000]  在大患難裏面仍然放膽全服陰
[00:03:45.000 --> 00:03:50.000]  我們先看著經文
[00:03:50.000 --> 00:03:53.000]  在二章一至三節裏面
[00:03:53.000 --> 00:03:57.000]  我們看到保羅無論任何艱難的環境
[00:03:57.000 --> 00:04:00.000]  都願意放膽全服陰
[00:04:00.000 --> 00:04:02.000]  不怕任何的障礙
[00:04:02.000 --> 00:04:05.000]  我們如果知道下文
[00:04:05.000 --> 00:04:07.000]  在二章十五節裏面
[00:04:07.000 --> 00:04:13.000]  我們看到保羅在貼殺羅尼迦傳完福音後
[00:04:13.000 --> 00:04:16.000]  不久後被趕出去了
[00:04:16.000 --> 00:04:20.000]  被迫與信主的人分開
[00:04:20.000 --> 00:04:25.000]  所以在那裏侍奉原來一點都不容易
[00:04:25.000 --> 00:04:29.000]  但是保羅堅信進入這個地方
[00:04:29.000 --> 00:04:32.000]  傳福音不是徒然的
[00:04:32.000 --> 00:04:34.000]  在第一節裏看到
[00:04:34.000 --> 00:04:36.000]  他說不是徒然的
[00:04:36.000 --> 00:04:41.000]  在這裏不單止是指白費心機的意思
[00:04:41.000 --> 00:04:44.000]  保羅所傳的福音性質
[00:04:44.000 --> 00:04:46.000]  更加不是虛有其表
[00:04:46.000 --> 00:04:47.000]  沒有價值
[00:04:47.000 --> 00:04:50.000]  就好像第三節裏提到
[00:04:50.000 --> 00:04:51.000]  不是出於錯誤
[00:04:51.000 --> 00:04:53.000]  也不是出於污穢
[00:04:53.000 --> 00:04:55.000]  也不是用詭詐
[00:04:55.000 --> 00:04:58.000]  保羅用三個「不是」
[00:04:58.000 --> 00:05:02.000]  來表達保羅團隊所帶出的福音
[00:05:02.000 --> 00:05:04.000]  是內容上純正
[00:05:04.000 --> 00:05:06.000]  動機上純潔
[00:05:06.000 --> 00:05:08.000]  手法上純良
[00:05:08.000 --> 00:05:13.000]  成為他們傳福音的原則和基礎
[00:05:13.000 --> 00:05:15.000]  保羅這樣的描述
[00:05:15.000 --> 00:05:19.000]  有可能是回應當時別人對他們的侍奉
[00:05:19.000 --> 00:05:21.000]  作出一些指控
[00:05:21.000 --> 00:05:22.000]  保羅要申辯
[00:05:22.000 --> 00:05:25.000]  他自己與那個團隊所作的
[00:05:25.000 --> 00:05:27.000]  所傳福音的
[00:05:27.000 --> 00:05:29.000]  是與當時社會一些自稱
[00:05:29.000 --> 00:05:31.000]  可以能行神蹟
[00:05:31.000 --> 00:05:35.000]  用花言巧語贏得人心的高悟術士
[00:05:35.000 --> 00:05:37.000]  是有很大的分別
[00:05:37.000 --> 00:05:40.000]  所以就是因為那份純正
