
[00:00:00.000 --> 00:00:02.000]  陳師傅讓我們先聽神的道義
[00:00:02.000 --> 00:00:03.000]  然後再和心禱告
[00:00:03.000 --> 00:00:05.000]  聽到心禱告
[00:00:05.000 --> 00:00:10.000]  超愛父神多謝你
[00:00:10.000 --> 00:00:13.000]  讓我們能夠再次打開你的說話
[00:00:13.000 --> 00:00:16.000]  一起去聆聽並且思想
[00:00:16.000 --> 00:00:18.000]  最後可以領受
[00:00:18.000 --> 00:00:20.000]  但我們知道這個過程
[00:00:20.000 --> 00:00:22.000]  必須有你的聖靈在期間
[00:00:22.000 --> 00:00:25.000]  所以我們懇求你再一次
[00:00:25.000 --> 00:00:27.000]  讓已經降著在
[00:00:27.000 --> 00:00:29.000]  每一個信徒生命裏面的
[00:00:29.000 --> 00:00:31.000]  聖靈求你
[00:00:31.000 --> 00:00:34.000]  讓祂引導我們走
[00:00:34.000 --> 00:00:37.000]  合二上帝這個道理的道路
[00:00:37.000 --> 00:00:41.000]  並且能夠將主理的道理
[00:00:41.000 --> 00:00:43.000]  準確無誤地
[00:00:43.000 --> 00:00:45.000]  繼續的延伸開去
[00:00:45.000 --> 00:00:47.000]  所以懇求這一刻
[00:00:47.000 --> 00:00:50.000]  讓聖靈在期間幫助我們
[00:00:50.000 --> 00:00:52.000]  能夠做一個最基礎
[00:00:52.000 --> 00:00:55.000]  最穩固的一個學習
[00:00:55.000 --> 00:00:57.000]  但願你與我同在
[00:00:57.000 --> 00:01:00.000]  求父神你幫助我們
[00:01:00.000 --> 00:01:02.000]  我們的禱告感恩
[00:01:02.000 --> 00:01:04.000]  與主耶穌基督得聖的名字一同
[00:01:04.000 --> 00:01:05.000]  阿們
[00:01:05.000 --> 00:01:08.000]  不知道大家還記不記得
[00:01:08.000 --> 00:01:10.000]  你初信主的時候
[00:01:10.000 --> 00:01:13.000]  經常要考慮的一些什麼問題呢?
[00:01:13.000 --> 00:01:14.000]  大家記不記得
[00:01:14.000 --> 00:01:15.000]  在你初信主的時候
[00:01:15.000 --> 00:01:17.000]  經常要考慮什麼樣的問題呢?
[00:01:17.000 --> 00:01:20.000]  我信了主都很多年了
[00:01:20.000 --> 00:01:22.000]  我信主已經很多年了
[00:01:22.000 --> 00:01:24.000]  我記得在很多年之前
[00:01:24.000 --> 00:01:26.000]  就是剛剛信主的時候
[00:01:26.000 --> 00:01:28.000]  我記得是剛剛信主的時候
[00:01:28.000 --> 00:01:30.000]  我們整班弟兄姊妹
[00:01:30.000 --> 00:01:32.000]  都經常約出來見見面
[00:01:32.000 --> 00:01:34.000]  就是一般弟兄姊妹
[00:01:34.000 --> 00:01:36.000]  經常約出來見見面
[00:01:36.000 --> 00:01:37.000]  不只是崇拜見面
[00:01:37.000 --> 00:01:40.000]  平時我們都會約出來
[00:01:40.000 --> 00:01:43.000]  約晚上出來聊聊天
[00:01:43.000 --> 00:01:47.000]  不光是崇拜的時候見面
[00:01:47.000 --> 00:01:50.000]  平時也約出來聊聊天
[00:01:50.000 --> 00:01:53.000]  講的只有一個問題
[00:01:53.000 --> 00:01:54.000]  講的是一個問題
[00:01:54.000 --> 00:01:56.000]  就是怎樣才可以知道
[00:01:56.000 --> 00:01:59.000]  上帝對我們的旨意呢?
[00:01:59.000 --> 00:02:02.000]  怎麼知道上帝對我們旨意呢?
[00:02:02.000 --> 00:02:04.000]  這個問題很重要
[00:02:04.000 --> 00:02:05.000]  這個問題很重要
[00:02:05.000 --> 00:02:08.000]  因為去明白上帝的旨意
[00:02:08.000 --> 00:02:10.000]  不單只是一個重要的事情
[00:02:10.000 --> 00:02:11.000]  要明白上帝的旨意
[00:02:11.000 --> 00:02:13.000]  不光是一個重要的事情
[00:02:13.000 --> 00:02:16.000]  而且是一件很重要的功課
[00:02:16.000 --> 00:02:18.000]  而且是一件很重要的功課
[00:02:18.000 --> 00:02:20.000]  在宗教的層面角度來講
[00:02:20.000 --> 00:02:22.000]  在宗教層面來講
[00:02:22.000 --> 00:02:25.000]  只有基督教是這樣去尋求的
[00:02:25.000 --> 00:02:28.000]  只有基督教才有這樣的請求
[00:02:28.000 --> 00:02:30.000]  絕大多數其他的宗教
[00:02:30.000 --> 00:02:32.000]  絕大多數宗教
[00:02:32.000 --> 00:02:35.000]  都只是祈求他們所相信的神
[00:02:35.000 --> 00:02:39.000]  去為我們這個相信的人服務
[00:02:39.000 --> 00:02:41.000]  就是他們所相信的神
[00:02:41.000 --> 00:02:42.000]  為我們來服務
[00:02:42.000 --> 00:02:43.000]  你留意一下
[00:02:43.000 --> 00:02:44.000]  其他宗教都是這樣
[00:02:44.000 --> 00:02:46.000]  你看看其他宗教都是這樣
[00:02:46.000 --> 00:02:47.000]  你為什麼要去裝香拜神?
[00:02:47.000 --> 00:02:49.000]  你為什麼要裝香拜神?
[00:02:49.000 --> 00:02:50.000]  你為什麼要去打齋?
[00:02:50.000 --> 00:02:53.000]  就是為什麼要打齋?
[00:02:53.000 --> 00:02:56.000]  因為你想討好你所相信的神
[00:02:56.000 --> 00:02:59.000]  因為你想討好你所相信的神
[00:02:59.000 --> 00:03:01.000]  讓祂來服務你
[00:03:01.000 --> 00:03:02.000]  讓祂來服務你
[00:03:02.000 --> 00:03:04.000]  實現我們自己的夢想
[00:03:04.000 --> 00:03:05.000]  實現自己的夢想
[00:03:05.000 --> 00:03:06.000]  或者願望
[00:03:06.000 --> 00:03:07.000]  或者慾望
[00:03:07.000 --> 00:03:09.000]  但基督徒卻是不同的
[00:03:09.000 --> 00:03:10.000]  基督徒不一樣
[00:03:10.000 --> 00:03:12.000]  基督徒卻是很希望明白
[00:03:12.000 --> 00:03:15.000]  上帝有些什麼要在我身上去做
[00:03:15.000 --> 00:03:19.000]  想明白上帝要向我做什麼
[00:03:19.000 --> 00:03:21.000]  所以是一件非常重要的事
[00:03:21.000 --> 00:03:23.000]  是一件非常重要的事
[00:03:23.000 --> 00:03:26.000]  如果我們不知道上帝給我們什麼旨意的話
[00:03:26.000 --> 00:03:29.000]  如果我們不知道上帝給我們什麼旨意的話
[00:03:29.000 --> 00:03:32.000]  我們就很容易好像一匹脫韁的馬一樣
[00:03:32.000 --> 00:03:35.000]  我們就好像一匹脫韁的野馬一樣
[00:03:35.000 --> 00:03:38.000]  胡亂地走自己要走的道路
[00:03:38.000 --> 00:03:40.000]  胡亂地走自己想走的道路
