
[00:00:00.000 --> 00:00:02.940]  敬拜就是宗教的禮儀吧
[00:00:02.940 --> 00:00:04.060]  大家怎麼看呢
[00:00:04.060 --> 00:00:06.060]  大家怎麼看呢
[00:00:06.060 --> 00:00:08.580]  有一次有一個牧師坐飛機
[00:00:08.580 --> 00:00:10.580]  有一次有一個牧師坐飛機
[00:00:10.580 --> 00:00:14.100]  坐飛機的時候突然間遇到一個很厲害的
[00:00:14.100 --> 00:00:16.100]  那些叫什麼 氣流
[00:00:16.100 --> 00:00:20.780]  坐飛機的時候突然遇到一個非常厲害的氣流
[00:00:20.780 --> 00:00:24.120]  閃電一過
[00:00:24.120 --> 00:00:25.540]  閃電一過
[00:00:25.540 --> 00:00:27.540]  其中一個引擎壞了
[00:00:27.540 --> 00:00:30.180]  其中一個引擎壞了
[00:00:30.180 --> 00:00:32.180]  那些乘客嚇得不得了
[00:00:32.180 --> 00:00:34.180]  所有的乘客都嚇得不得了
[00:00:34.180 --> 00:00:37.780]  那些人就知道飛機上面有一個牧師
[00:00:37.780 --> 00:00:40.420]  有的人就知道飛機上面有一個牧師
[00:00:40.420 --> 00:00:42.420]  那些人就走到那個牧師那裡
[00:00:42.420 --> 00:00:44.420]  有人就走到牧師那裡
[00:00:44.420 --> 00:00:46.420]  牧師呀牧師
[00:00:46.420 --> 00:00:48.420]  大家都很害怕
[00:00:48.420 --> 00:00:50.420]  不如
[00:00:50.420 --> 00:00:52.420]  牧師就說我可以做些什麼呢
[00:00:52.420 --> 00:00:54.420]  牧師就說我可以做些什麼呢
[00:00:54.420 --> 00:00:56.420]  牧師就說我可以做些什麼呢
[00:00:56.420 --> 00:00:58.420]  我說我也不知道有什麼可以做
[00:00:58.420 --> 00:01:00.420]  總之就是做些宗教性的事情
[00:01:00.420 --> 00:01:02.420]  那麼那些人就說
[00:01:02.420 --> 00:01:04.420]  我也不知道要做什麼
[00:01:04.420 --> 00:01:06.420]  總而言之就是做一些
[00:01:06.420 --> 00:01:08.420]  宗教性的事情吧
[00:01:08.420 --> 00:01:10.420]  牧師就想了一會兒
[00:01:10.420 --> 00:01:12.420]  牧師就想了一會兒
[00:01:12.420 --> 00:01:14.420]  決定收奉獻
[00:01:14.420 --> 00:01:16.420]  決定收奉獻
[00:01:16.420 --> 00:01:18.420]  牧師沒有錯
[00:01:18.420 --> 00:01:20.420]  收奉獻是宗教禮儀的一種
[00:01:20.420 --> 00:01:22.420]  收奉獻是宗教禮儀的一種
[00:01:22.420 --> 00:01:24.420]  收奉獻是宗教禮儀的一種
[00:01:24.420 --> 00:01:26.420]  那麼崇拜是什麼呢
[00:01:26.420 --> 00:01:28.420]  那麼崇拜是什麼呢
[00:01:28.420 --> 00:01:30.420]  崇拜是不是都是宗教禮儀的一部分呢
[00:01:30.420 --> 00:01:32.420]  崇拜是不是都是宗教禮儀的一部分呢
[00:01:32.420 --> 00:01:34.420]  崇拜是不是都是宗教禮儀的一部分呢
[00:01:34.420 --> 00:01:36.420]  是不是都是一種宗教活動呢
[00:01:36.420 --> 00:01:38.420]  是不是也是一種宗教活動呢
[00:01:38.420 --> 00:01:40.420]  我們不可以說是錯
[00:01:40.420 --> 00:01:42.420]  我們說這個也沒有錯
[00:01:42.420 --> 00:01:44.420]  但是如果我們將崇拜
[00:01:44.420 --> 00:01:46.420]  看為只不過一個宗教活動的時候
[00:01:46.420 --> 00:01:48.420]  但是如果我們把崇拜
[00:01:48.420 --> 00:01:50.420]  只是作為一個宗教活動的時候
[00:01:50.420 --> 00:01:52.420]  難怪我們很多時候都覺得
[00:01:52.420 --> 00:01:54.420]  可有可無
[00:01:54.420 --> 00:01:56.420]  就不奇怪為什麼我們很多時候覺得
[00:01:56.420 --> 00:01:58.420]  可有可無
[00:01:58.420 --> 00:02:00.420]  有時間就去,沒時間就不去
[00:02:00.420 --> 00:02:02.420]  有時間去,沒時間就不去
[00:02:02.420 --> 00:02:04.420]  又或者是遲到早退
[00:02:04.420 --> 00:02:06.420]  又或者是人在心不在
[00:02:06.420 --> 00:02:08.420]  又或者是人在心不在
[00:02:08.420 --> 00:02:10.420]  詩篇95篇是一篇很典型
[00:02:10.420 --> 00:02:12.420]  詩篇95篇是一篇很典型
[00:02:12.420 --> 00:02:14.420]  當時以色列人去聖殿敬拜的時候
[00:02:14.420 --> 00:02:16.420]  入聖殿的時候的一個詩歌
[00:02:16.420 --> 00:02:18.420]  那麼詩篇95章呢
[00:02:18.420 --> 00:02:20.420]  就說的是當時以色列人
[00:02:20.420 --> 00:02:22.420]  進入聖殿的時候
[00:02:22.420 --> 00:02:24.420]  非常典型的一個
[00:02:24.420 --> 00:02:26.420]  敬拜的詩歌
[00:02:26.420 --> 00:02:28.420]  大家留意詩人怎麼說
[00:02:28.420 --> 00:02:30.420]  大家留意詩人是怎麼講
[00:02:30.420 --> 00:02:32.420]  來呀我們要向耶和華歌唱
[00:02:32.420 --> 00:02:34.420]  拯救我們的盤石歡呼
[00:02:34.420 --> 00:02:36.420]  他說
[00:02:36.420 --> 00:02:38.420]  來呀我們要向耶和華高唱
[00:02:38.420 --> 00:02:40.420]  向拯救我們的盤石歡呼
[00:02:40.420 --> 00:02:42.420]  留意這個不是一個邀請
[00:02:42.420 --> 00:02:44.420]  而是一個呼召,一個宣召
[00:02:44.420 --> 00:02:46.420]  大家留意
[00:02:46.420 --> 00:02:48.420]  這裡不是一個邀請,而是一個呼召
[00:02:48.420 --> 00:02:50.420]  所以如果大家留意的話
[00:02:50.420 --> 00:02:52.420]  主席每次開始崇拜的時候
[00:02:52.420 --> 00:02:54.420]  都會宣讀一個宣召經文
[00:02:54.420 --> 00:02:56.420]  所以大家留意的話
[00:02:56.420 --> 00:02:58.420]  在每次我們主席
[00:02:58.420 --> 00:03:00.420]  在崇拜開始前都要讀一個
[00:03:00.420 --> 00:03:02.420]  宣召經文
[00:03:02.420 --> 00:03:04.420]  可以這麼說,崇拜其實不是一個選擇
[00:03:04.420 --> 00:03:06.420]  那麼崇拜不是一個選擇
[00:03:06.420 --> 00:03:08.420]  不是說我們選擇去還是不去
[00:03:08.420 --> 00:03:10.420]  不是說我們可以選擇去或者不去
[00:03:10.420 --> 00:03:12.420]  而當我們認定我們
[00:03:12.420 --> 00:03:14.420]  這個信仰的時候
[00:03:14.420 --> 00:03:16.420]  而是當我們認定我們的信仰的時候
[00:03:16.420 --> 00:03:18.420]  那敬拜是一個信徒必然做的事情
[00:03:18.420 --> 00:03:20.420]  敬拜是一個信徒必然做的事情
[00:03:20.420 --> 00:03:22.420]  留意我沒有說
[00:03:22.420 --> 00:03:24.420]  崇拜是基督徒的責任
[00:03:24.420 --> 00:03:26.420]  請留意
[00:03:26.420 --> 00:03:28.420]  我不是說敬拜是基督徒的責任
[00:03:28.420 --> 00:03:30.420]  因為當我們看
[00:03:30.420 --> 00:03:32.420]  敬拜為一個責任的時候
[00:03:32.420 --> 00:03:34.420]  我覺得這個不是很妥當
[00:03:34.420 --> 00:03:36.420]  因為當我們把敬拜作為一種責任的時候
[00:03:36.420 --> 00:03:38.420]  其實這不是很妥當的
[00:03:38.420 --> 00:03:40.420]  我這樣問大家
[00:03:40.420 --> 00:03:42.420]  那麼我這樣問大家
[00:03:42.420 --> 00:03:44.420]  你覺得呼吸是不是我們的責任
[00:03:44.420 --> 00:03:46.420]  你會不會覺得呼吸是我們的一種責任呢
[00:03:46.420 --> 00:03:48.420]  你會不會覺得呼吸是我們的一種責任呢
[00:03:48.420 --> 00:03:50.420]  這是一個很怪的問題
[00:03:50.420 --> 00:03:52.420]  這是一個很怪的問題
[00:03:52.420 --> 00:03:54.420]  這個問題很奇怪
[00:03:54.420 --> 00:03:56.420]  因為不會有人覺得呼吸是一種責任
[00:03:56.420 --> 00:03:58.420]  因為不會有人覺得呼吸是一種責任
[00:03:58.420 --> 00:04:00.420]  因為不會有人覺得呼吸是一種責任
[00:04:00.420 --> 00:04:02.420]  呼吸本來就是我們要生存很自然要做的事情
[00:04:02.420 --> 00:04:04.420]  呼吸本來就是我們要生存很自然要做的一件事
[00:04:04.420 --> 00:04:06.420]  呼吸本來就是我們要生存很自然要做的一件事
[00:04:06.420 --> 00:04:08.420]  所以我們作為信徒
[00:04:08.420 --> 00:04:10.420]  所以我們作為信徒
[00:04:10.420 --> 00:04:12.420]  當我們要敬拜的時候
[00:04:12.420 --> 00:04:14.420]  當我們要敬拜的時候
[00:04:14.420 --> 00:04:16.420]  就是信徒必然要做的一件事情
[00:04:16.420 --> 00:04:18.420]  我曾經聽過一個人這樣說
[00:04:18.420 --> 00:04:20.420]  我曾經聽過一個人這樣說
