
[00:00:00.000 --> 00:00:04.460]  讓我們在開始淨土之前一起祈禱
[00:00:04.460 --> 00:00:05.940]  親愛的主
[00:00:05.940 --> 00:00:09.560]  是榮耀榮耀神的羔羊
[00:00:09.560 --> 00:00:13.400]  祢佩得讚美祢在寶座之上
[00:00:13.400 --> 00:00:16.200]  大主因為祢愛世人的緣故
[00:00:16.200 --> 00:00:18.560]  祢願意與我們同在
[00:00:18.560 --> 00:00:20.760]  祢居住在我們當中
[00:00:20.760 --> 00:00:22.760]  主我們感謝讚美祢
[00:00:22.760 --> 00:00:24.160]  主願意今日
[00:00:24.160 --> 00:00:27.560]  願祢的話語成為我們生命的提醒
[00:00:27.560 --> 00:00:29.760]  願我們明白祢的心意
[00:00:29.760 --> 00:00:31.700]  進行祢的話語
[00:00:31.700 --> 00:00:35.200]  願祢的居所在我們當中
[00:00:35.200 --> 00:00:36.360]  主我們這樣禱告
[00:00:36.360 --> 00:00:37.460]  奉靠主耶穌基督
[00:00:37.460 --> 00:00:39.460]  得聖名字祈求
[00:00:39.460 --> 00:00:41.200]  阿門
[00:00:41.200 --> 00:00:45.300]  我們青少年在暑假的時候
[00:00:45.300 --> 00:00:47.800]  舉行了一個活動
[00:00:47.800 --> 00:00:50.860]  名為「發青光」
[00:00:50.860 --> 00:00:53.560]  就不是「青光眼」
[00:00:53.560 --> 00:00:54.960]  叫「發青光」
[00:00:54.960 --> 00:00:57.060]  原意這個名就是
[00:00:57.060 --> 00:01:00.860]  「發出上帝在青少年人的光」
[00:01:00.860 --> 00:01:04.460]  和「亮發青年人的光」
[00:01:04.460 --> 00:01:06.700]  所以就是一些食指
[00:01:06.700 --> 00:01:09.000]  「發青光」的暑期活動
[00:01:09.000 --> 00:01:12.700]  這個活動分為四個單元進行
[00:01:12.700 --> 00:01:15.200]  透過觀察社會的改變
[00:01:15.200 --> 00:01:17.100]  聆聽街坊的故事
[00:01:17.100 --> 00:01:20.460]  讓青少年人藉著這些生活的接觸
[00:01:20.460 --> 00:01:23.960]  進行信仰的反思
[00:01:23.960 --> 00:01:25.960]  其中第三個單元
[00:01:25.960 --> 00:01:28.300]  是一個社區的導賞
[00:01:28.300 --> 00:01:30.900]  我們上星期六進行了
[00:01:30.900 --> 00:01:33.460]  去認識觀塘市中心
[00:01:33.460 --> 00:01:35.960]  裕民坊社區的歷史
[00:01:35.960 --> 00:01:38.860]  和了解它重建的過程
[00:01:38.860 --> 00:01:39.960]  大家都知道
[00:01:39.960 --> 00:01:41.900]  一個社區的重建
[00:01:41.900 --> 00:01:43.260]  不是拆幾棟樓
[00:01:43.260 --> 00:01:45.900]  又重建幾棟樓那麼簡單
[00:01:45.900 --> 00:01:49.400]  重建不單是牽涉一個城市的規劃
[00:01:49.400 --> 00:01:53.320]  包括民生、社區、生態的網絡等等
[00:01:53.320 --> 00:01:55.920]  其實一個地區的建築物
[00:01:55.920 --> 00:01:59.460]  特別是比較獨特的建築物
[00:01:59.460 --> 00:02:01.860]  可以說是一些地標
[00:02:01.860 --> 00:02:05.560]  其實都是反映著社會的文化和價值
[00:02:05.560 --> 00:02:08.560]  例如中環和金鐘
[00:02:08.560 --> 00:02:11.860]  一棟一棟很高的商業金融中心
[00:02:11.860 --> 00:02:15.000]  就算圍繞著他們的一些購物商場
[00:02:15.000 --> 00:02:17.320]  其實都是較為高檔
[00:02:17.320 --> 00:02:21.400]  展示了經濟發展、權力
[00:02:21.400 --> 00:02:24.320]  名炮、名望等等這些價值
[00:02:24.320 --> 00:02:27.000]  讓周邊的人仰望
[00:02:27.000 --> 00:02:29.500]  而屋邨又很不同
[00:02:29.500 --> 00:02:33.700]  他們的地標不是一些高樓大廈
[00:02:33.700 --> 00:02:35.560]  而是以前的屋邨
[00:02:35.560 --> 00:02:37.300]  例如是大牌檔
[00:02:37.300 --> 00:02:40.560]  又或者後期少少的冬菇亭
[00:02:40.560 --> 00:02:42.760]  展示了一些平價
[00:02:42.760 --> 00:02:44.660]  人人都負擔得起
[00:02:44.660 --> 00:02:48.200]  有生活基本需要的這些事情等等
[00:02:48.200 --> 00:02:50.200]  去顯示周邊的人
[00:02:50.200 --> 00:02:51.660]  他們的生活狀況
[00:02:51.660 --> 00:02:55.860]  以及被什麼牽引
[00:02:55.860 --> 00:02:59.160]  因為一個城市的空間不是天然的
[00:02:59.160 --> 00:03:02.060]  而是由人去建構的
[00:03:02.060 --> 00:03:04.500]  而人的建構並不是中性的
[00:03:04.500 --> 00:03:10.460]  而是人將自己的世界觀和價值觀展現出來
[00:03:10.460 --> 00:03:13.360]  所以一個建築物或者一個地標
[00:03:13.360 --> 00:03:17.300]  其實都反映著那裏的人的生活狀態
[00:03:17.300 --> 00:03:18.960]  他們追求著什麼
[00:03:18.960 --> 00:03:21.960]  以及被什麼所佔據
[00:03:21.960 --> 00:03:23.160]  今天的經文
[00:03:23.160 --> 00:03:25.260]  就講到一個新的建築物
[00:03:25.260 --> 00:03:26.960]  聖殿的落成
[00:03:26.960 --> 00:03:30.160]  所羅門王也為這個新的聖殿
[00:03:30.160 --> 00:03:32.160]  招贅了眾以色列民
[00:03:32.160 --> 00:03:33.860]  如果套用現代的說法
[00:03:33.860 --> 00:03:36.660]  就好像新開張、展彩
[00:03:36.660 --> 00:03:40.360]  是一件很高興、萬眾期待的事
[00:03:40.360 --> 00:03:42.360]  不過正如上星期
[00:03:42.360 --> 00:03:45.960]  鄭凱傑宣教師講過有關所羅門王的事
[00:03:45.960 --> 00:03:50.360]  鄭凱傑宣教師提到所羅門王選擇聽外邦妻妾的話
[00:03:50.360 --> 00:03:53.160]  而不選擇遵行上帝的話
[00:03:53.160 --> 00:03:55.560]  以至於他漸漸遠離上帝
[00:03:55.560 --> 00:03:58.360]  甚至離棄了上帝
[00:03:58.360 --> 00:03:59.560]  既然在以色列
[00:03:59.560 --> 00:04:01.160]  有一個這麼重要的地標
[00:04:01.160 --> 00:04:02.760]  聖殿在那裏
[00:04:02.760 --> 00:04:07.060]  照計日日夜夜提著他們生命的價值和生命的指向
[00:04:07.060 --> 00:04:11.060]  為什麼都會出現這樣的情況呢?
[00:04:11.060 --> 00:04:16.660]  哇!我們身處在這個充滿商場、商業大廈樓宇的我們
[00:04:16.660 --> 00:04:19.760]  我們豈不是更加難逃厄運呢?
[00:04:19.760 --> 00:04:20.560]  今天
[00:04:20.560 --> 00:04:24.960]  盼望我們藉著聖經上的八章二十二至三十字
[00:04:24.960 --> 00:04:27.360]  和四十一至四十三字
[00:04:27.360 --> 00:04:31.660]  對我們帶來提醒
[00:04:31.660 --> 00:04:32.560]  好了
[00:04:32.560 --> 00:04:34.160]  以色列民
[00:04:34.160 --> 00:04:37.460]  他們的列祖承受了上帝給他們的應許
[00:04:37.460 --> 00:04:39.960]  從阿伯拉罕到雅各
[00:04:39.960 --> 00:04:43.760]  從出埃及到入英許地
[00:04:43.760 --> 00:04:45.360]  眼前的所見
[00:04:45.360 --> 00:04:48.460]  都是上帝在實現他的應許
[00:04:48.460 --> 00:04:51.360]  如今到了所羅門王的年代
[00:04:51.360 --> 00:04:55.960]  可以說是以色列民處於蒙福的高峰
[00:04:55.960 --> 00:04:58.660]  如果你有手上的聖經
[00:04:58.660 --> 00:05:03.660]  你可以打開今天列王記上的經文
[00:05:03.660 --> 00:05:08.760]  特別是列王記上四章二十節提到
[00:05:08.760 --> 00:05:12.760]  他說:猶太人和以色列人
[00:05:12.760 --> 00:05:15.060]  如同海邊的沙那樣多
[00:05:15.060 --> 00:05:17.860]  都在吃喝快樂
[00:05:17.860 --> 00:05:21.160]  當時可以說是太平盛世
[00:05:21.160 --> 00:05:22.760]  國泰民安
[00:05:22.760 --> 00:05:27.160]  所以現在建設聖殿是最好的時機
[00:05:27.160 --> 00:05:29.160]  因為不用打仗
[00:05:29.160 --> 00:05:32.860]  所以所羅門為耶和華興建聖殿
[00:05:32.860 --> 00:05:35.260]  而興建聖殿的目的
[00:05:35.260 --> 00:05:37.160]  我們大家一起看一看
[00:05:37.160 --> 00:05:40.660]  就是列王記上的八章
[00:05:40.660 --> 00:05:44.160]  列王記上的八章
[00:05:44.160 --> 00:05:45.760]  我們一起打開
[00:05:45.760 --> 00:05:49.460]  並且可能要用紅繩繞一繞
[00:05:49.460 --> 00:05:51.360]  因為今天我們也會看一看
[00:05:51.360 --> 00:05:53.660]  列王記上的八章
[00:05:53.660 --> 00:05:55.660]  第七章等經文
[00:05:55.660 --> 00:05:57.960]  列王記上八章十二節
