
[00:00:00.000 --> 00:00:09.000]  今日開始和大家講教會的使命宣言
[00:00:09.000 --> 00:00:11.200]  我提及過教會的使命宣言
[00:00:11.200 --> 00:00:15.600]  一直都印在我們的程序表上的三句說話
[00:00:15.600 --> 00:00:33.000]  我首先今天講的是「彰顯神的榮耀」
[00:00:33.000 --> 00:00:37.400]  當講到要彰顯神的榮耀的時候
[00:00:37.400 --> 00:00:39.600]  大家想到些甚麼呢?
[00:00:39.600 --> 00:00:43.000]  我指的是聖經
[00:00:43.000 --> 00:00:48.200]  我自己馬上想到怎樣可以將神的榮耀
[00:00:48.200 --> 00:00:50.800]  我講宇宙有多偉大
[00:00:50.800 --> 00:00:58.200]  就顯得出我們的造物主神多偉大多榮耀
[00:00:58.200 --> 00:01:01.600]  就好像《詩篇》十九篇一章這樣說
[00:01:01.600 --> 00:01:05.400]  「諸天實說神的榮耀
[00:01:05.400 --> 00:01:08.400]  窮蒼全陽他的作為」
[00:01:08.400 --> 00:01:12.600]  新的譯本應該是寫作為
[00:01:12.600 --> 00:01:14.400]  或者好像《創世紀》說
[00:01:14.400 --> 00:01:18.600]  「神說要有光就有光」多麼厲害
[00:01:18.600 --> 00:01:22.800]  「神從一本做出萬俗」即是人類
[00:01:22.800 --> 00:01:26.400]  又是多麼厲害
[00:01:26.400 --> 00:01:31.200]  我們可以從神的創造裏看到神的榮耀
[00:01:31.200 --> 00:01:35.600]  也可以說宇宙有多偉大
[00:01:35.600 --> 00:01:40.200]  我們的神就有多偉大多榮耀
[00:01:40.200 --> 00:01:46.600]  或者可以說宇宙有多偉大我們的神就更偉大
[00:01:46.600 --> 00:01:50.200]  不過在這方面
[00:01:50.200 --> 00:01:52.400]  講宇宙的偉大
[00:01:52.400 --> 00:01:57.600]  有學者這樣評論
[00:01:57.600 --> 00:01:59.800]  我看到一些文字
[00:01:59.800 --> 00:02:04.400]  就是我們明州很出名的一位牧師John Piper
[00:02:04.400 --> 00:02:07.800]  他在自己所寫的一本書裏面
[00:02:07.800 --> 00:02:13.000]  他引述了一位專門研究相對論的一位科學家
[00:02:13.000 --> 00:02:15.800]  叫做Charles Missler
[00:02:15.800 --> 00:02:19.800]  是講Charles Missler對另外一位更偉大的科學家
[00:02:19.800 --> 00:02:23.000]  愛因斯坦的一些觀感
[00:02:23.000 --> 00:02:30.400]  對基督徒對教會的一些觀感
[00:02:30.400 --> 00:02:32.200]  Missler他這樣描述
[00:02:32.200 --> 00:02:38.000]  他說當愛因斯坦坐在這裏聽著
[00:02:38.000 --> 00:02:40.800]  看著台上的講道的人
[00:02:40.800 --> 00:02:45.600]  講宇宙有多偉大來形容神有多偉大的時候
[00:02:45.600 --> 00:02:50.000]  愛因斯坦心裏面就想
[00:02:50.000 --> 00:02:55.600]  這個人或者這些人在這裡褻瀆神
[00:02:55.600 --> 00:02:57.400]  為什麼呢?
[00:02:57.400 --> 00:03:02.000]  他說因為他對宇宙的認識有多偉大
[00:03:02.000 --> 00:03:09.600]  遠遠超過他們能夠所想像所能夠講的
[00:03:09.600 --> 00:03:10.600]  我們都同意
[00:03:10.600 --> 00:03:12.200]  如果愛因斯坦坐在這裏
[00:03:12.200 --> 00:03:19.200]  我們還跟他講天文地理浪費力氣
[00:03:19.200 --> 00:03:21.000]  其實他繼續講
[00:03:21.000 --> 00:03:23.600]  他說其實愛因斯坦是想說
[00:03:23.600 --> 00:03:28.000]  如果這一位神真的好像基督徒所講
[00:03:28.000 --> 00:03:34.600]  是說有就有創造天地萬物的時候
[00:03:34.600 --> 00:03:38.800]  基督徒應該當講到他和敬拜他的時候
[00:03:38.800 --> 00:03:45.200]  應該有一定程度的敬畏、愛慕、尊重
[00:03:45.200 --> 00:03:49.800]  甚至是戰鬥
[00:03:49.800 --> 00:03:56.000]  但是他看不到
[00:03:56.000 --> 00:03:59.800]  這段文字我講完了
[00:03:59.800 --> 00:04:02.800]  我對這段說話的領袖就是說
[00:04:02.800 --> 00:04:05.600]  我們基督徒講神可以講得很漂亮
[00:04:05.600 --> 00:04:09.800]  但是很多在背後、在生活裏面
[00:04:09.800 --> 00:04:14.400]  卻是當神無道
[00:04:14.400 --> 00:04:19.800]  我相信這個某程度上是事實
[00:04:19.800 --> 00:04:25.400]  所以今天我都不打算在這裏講
[00:04:25.400 --> 00:04:29.000]  不打算講宇宙有多偉大
[00:04:29.000 --> 00:04:31.800]  去彰顯神的榮耀
[00:04:31.800 --> 00:04:37.800]  因為在座之中很可能有很多愛因斯坦坐在這裏
[00:04:37.800 --> 00:04:43.000]  無謂獻醜
[00:04:43.000 --> 00:04:45.200]  不用創造的偉大
[00:04:45.200 --> 00:04:50.200]  還有什麼方法可以去形容神的偉大榮耀呢?
[00:04:50.200 --> 00:04:52.200]  有
[00:04:52.200 --> 00:05:00.200]  就好像剛才Mister 所講最後一句說話
[00:05:00.200 --> 00:05:06.200]  是生活裏面的表現
[00:05:06.200 --> 00:05:10.400]  我們用我們怎樣去生活
[00:05:10.400 --> 00:05:14.200]  用我們怎樣去說話、生活行為
[00:05:14.200 --> 00:05:17.000]  來去歸榮耀給神
[00:05:17.000 --> 00:05:21.600]  用我們的言行來去彰顯神的榮耀
