
[00:00:00.000 --> 00:00:04.660]  今日分享的題目是「信不信得過神」
[00:00:04.660 --> 00:00:06.440]  我不知道你有沒有試過
[00:00:06.440 --> 00:00:09.040]  當你去選擇相信某個人
[00:00:09.040 --> 00:00:10.240]  或者有一些人
[00:00:10.240 --> 00:00:14.080]  你發現原來他們是信不過的呢
[00:00:14.080 --> 00:00:15.880]  我讀小學的時候
[00:00:15.880 --> 00:00:18.740]  我就被一班師兄欺凌
[00:00:18.740 --> 00:00:20.880]  我就要經過一個走廊
[00:00:20.880 --> 00:00:22.720]  才能夠去Canteen
[00:00:22.720 --> 00:00:25.020]  大家知道去Canteen對我來說很重要的嘛
[00:00:25.020 --> 00:00:26.720]  我走過走廊的時候
[00:00:26.720 --> 00:00:27.480]  有一班師兄跟我說
[00:00:27.480 --> 00:00:28.560]  喂!肥仔!
[00:00:28.560 --> 00:00:29.420]  你過來!
[00:00:29.420 --> 00:00:30.620]  我說怎麼了?
[00:00:30.620 --> 00:00:32.620]  不要再走這條走廊了
[00:00:32.620 --> 00:00:33.960]  如果我看到你走這條走廊
[00:00:33.960 --> 00:00:36.540]  我們會對付你的!
[00:00:36.540 --> 00:00:38.960]  小學的時候我不知道對付是什麼意思
[00:00:38.960 --> 00:00:40.160]  不過我知道不是好事
[00:00:40.160 --> 00:00:42.800]  於是我就回去跟我旁邊的同學說
[00:00:42.800 --> 00:00:44.300]  糟糕了
[00:00:44.300 --> 00:00:45.680]  走去Canteen那條路
[00:00:45.680 --> 00:00:46.680]  有一班師兄跟我說
[00:00:46.680 --> 00:00:47.680]  喂!肥仔!
[00:00:47.680 --> 00:00:49.640]  你不要經過這條走廊
[00:00:49.640 --> 00:00:50.480]  你經過這條走廊
[00:00:50.480 --> 00:00:52.620]  我們會對付你的!
[00:00:52.620 --> 00:00:53.520]  我跟同學說
[00:00:53.520 --> 00:00:55.020]  你不用擔心
[00:00:55.020 --> 00:00:57.520]  我哥哥也是高年班的
[00:00:57.520 --> 00:01:00.020]  我找我哥哥幫你搞定他就行了
[00:01:00.020 --> 00:01:01.860]  我說是不是呢?
[00:01:01.860 --> 00:01:03.700]  於是第二天的小息
[00:01:03.700 --> 00:01:04.700]  他就約了他哥哥
[00:01:04.700 --> 00:01:06.320]  他哥哥帶了幾個朋友來
[00:01:06.320 --> 00:01:08.360]  我說又有哥哥
[00:01:08.360 --> 00:01:09.500]  又有朋友
[00:01:09.500 --> 00:01:11.040]  應該都信得過了
[00:01:11.040 --> 00:01:11.840]  我說喂!
[00:01:11.840 --> 00:01:12.840]  有什麼幫到你?
[00:01:12.840 --> 00:01:15.000]  我說每次我經過走廊的時候
[00:01:15.000 --> 00:01:16.500]  有一班師兄跟我說
[00:01:16.500 --> 00:01:18.000]  肥仔!你不要經過這條走廊
[00:01:18.000 --> 00:01:19.540]  我們會對付你的!
[00:01:19.540 --> 00:01:20.540]  他哥哥很好
[00:01:20.540 --> 00:01:21.080]  他跟我說
[00:01:21.080 --> 00:01:22.480]  不用擔心
[00:01:22.480 --> 00:01:24.140]  我幫你搞定他
[00:01:24.140 --> 00:01:25.440]  我說怎麼搞定?
[00:01:25.440 --> 00:01:27.620]  你下次經過這條走廊的時候
[00:01:27.620 --> 00:01:28.660]  你告訴我
[00:01:28.660 --> 00:01:31.380]  於是我就會在樓梯賣衣服
[00:01:31.380 --> 00:01:34.100]  然後我會幫你放暗器
[00:01:34.100 --> 00:01:36.300]  我說OK啊
[00:01:36.300 --> 00:01:36.820]  是不是?
[00:01:36.820 --> 00:01:37.960]  我就覺得OK
[00:01:37.960 --> 00:01:41.960]  於是我就信了他哥哥和他的朋友
[00:01:41.960 --> 00:01:44.100]  第二天我當然要去餐廳買東西吃
[00:01:44.100 --> 00:01:46.100]  經過的時候又經過這條走廊
[00:01:46.100 --> 00:01:47.280]  又經過這條走廊的時候
[00:01:47.280 --> 00:01:47.900]  師兄走來說
[00:01:47.900 --> 00:01:48.880]  喂!肥仔!
[00:01:48.880 --> 00:01:50.580]  不是說了不要經過這條走廊
[00:01:50.580 --> 00:01:52.500]  為什麼你還要經過?
[00:01:52.500 --> 00:01:54.240]  我們走著走著
[00:01:54.240 --> 00:01:56.040]  馬上頭都不看
[00:01:56.040 --> 00:01:59.620]  就帶他們去到樓梯轉角
[00:01:59.620 --> 00:02:02.260]  去到樓梯轉角發生什麼事呢?
[00:02:02.260 --> 00:02:03.460]  不是啊
[00:02:03.460 --> 00:02:04.560]  他在那裡
[00:02:04.560 --> 00:02:05.460]  很安心啊
[00:02:05.460 --> 00:02:07.060]  看到哥哥和幾個朋友在那裡
[00:02:07.060 --> 00:02:08.460]  於是在那個時候
[00:02:08.460 --> 00:02:11.060]  他們就放暗器
[00:02:11.060 --> 00:02:12.360]  放什麼呢?
[00:02:12.360 --> 00:02:15.100]  把那些紙打出來
[00:02:15.100 --> 00:02:16.040]  是的
[00:02:16.040 --> 00:02:18.700]  哇!這些是暗器?
[00:02:18.700 --> 00:02:20.200]  最慘就是他們打完之後
[00:02:20.200 --> 00:02:22.040]  真的掉頭走了
[00:02:22.040 --> 00:02:23.280]  留下我一個
[00:02:23.280 --> 00:02:24.440]  然後升起了肩膀
[00:02:24.440 --> 00:02:26.380]  怎樣啊?紙碎啊?
[00:02:26.380 --> 00:02:28.140]  紙碎很害怕是不是啊?
[00:02:28.140 --> 00:02:29.140]  我說
[00:02:29.140 --> 00:02:31.020]  我現在比較害怕啊
[00:02:31.020 --> 00:02:31.680]  那我心想
[00:02:31.680 --> 00:02:34.520]  哎!這個哥哥真的信不過了
[00:02:34.520 --> 00:02:36.460]  但是今天我們要問一個問題
[00:02:36.460 --> 00:02:40.760]  今天我們信不信得過神呢?
[00:02:40.760 --> 00:02:42.360]  如果大家記得
[00:02:42.360 --> 00:02:44.900]  之前我分享過年王記下的十八章
[00:02:44.900 --> 00:02:46.300]  一至十二節
[00:02:46.300 --> 00:02:47.460]  那裡是希西嘉
[00:02:47.460 --> 00:02:49.460]  我們看到她撥亂反正
[00:02:49.460 --> 00:02:51.700]  她廢除了那些休談
[00:02:51.700 --> 00:02:53.600]  廢除了那些祭壇
[00:02:53.600 --> 00:02:57.000]  並且她不再好像她的爸爸那樣
[00:02:57.000 --> 00:02:59.740]  去成為亞述的芙蓉國
[00:02:59.740 --> 00:03:00.840]  去背叛亞述
[00:03:00.840 --> 00:03:03.620]  並且呼籲以色列和猶大
[00:03:03.620 --> 00:03:06.080]  要回來去敬拜耶和華
[00:03:06.080 --> 00:03:10.080]  並且他們要回來耶路撒冷的聖殿那裡敬拜
[00:03:10.080 --> 00:03:10.820]  但是在這裡
[00:03:10.820 --> 00:03:12.120]  當我們繼續看的時候
[00:03:12.120 --> 00:03:14.020]  希西嘉和猶大國
[00:03:14.020 --> 00:03:15.760]  是不是就是簡簡單單
[00:03:15.760 --> 00:03:17.760]  信耶和華遵守神的誡命
[00:03:17.760 --> 00:03:22.100]  接著就一帆風順安枕無憂呢?
[00:03:22.100 --> 00:03:23.700]  我們繼續看下去的話
[00:03:23.700 --> 00:03:26.340]  原來事實並非如此
[00:03:26.340 --> 00:03:28.000]  聖經接著告訴我們
[00:03:28.000 --> 00:03:29.800]  希西嘉王十四年
[00:03:29.800 --> 00:03:32.540]  就是說他登基之後十四年
