
[00:00:00.000 --> 00:00:02.000]  我們再一次得道祈禱
[00:00:02.000 --> 00:00:08.000]  我們所敬拜所侍奉的三一神
[00:00:08.000 --> 00:00:11.000]  我們讚美你
[00:00:11.000 --> 00:00:14.000]  因為你是我們的王
[00:00:14.000 --> 00:00:16.000]  是我們的主
[00:00:16.000 --> 00:00:17.000]  是我們的生命
[00:00:17.000 --> 00:00:19.000]  是我們的救贖主
[00:00:19.000 --> 00:00:21.000]  我們敬拜你
[00:00:21.000 --> 00:00:23.000]  我們又感謝
[00:00:23.000 --> 00:00:26.000]  愛我們的上帝賜下你獨生的兒子
[00:00:26.000 --> 00:00:30.000]  為我們死 降在陰間
[00:00:30.000 --> 00:00:32.000]  第三天從死人中復活
[00:00:32.000 --> 00:00:36.000]  以致我們有復活的盼望
[00:00:36.000 --> 00:00:40.000]  現在我們一起思想
[00:00:40.000 --> 00:00:43.000]  我們怎樣的得贖
[00:00:43.000 --> 00:00:46.000]  我們怎樣能夠享受永生
[00:00:46.000 --> 00:00:48.000]  求聖靈幫助我們
[00:00:48.000 --> 00:00:52.000]  我們一起去聆聽
[00:00:52.000 --> 00:00:54.000]  你自己的說話的時候
[00:00:55.000 --> 00:00:57.000]  引導著我們的心
[00:00:57.000 --> 00:00:59.000]  讓我們不單止明白
[00:00:59.000 --> 00:01:02.000]  也踐行在我們的信仰心裡
[00:01:02.000 --> 00:01:06.000]  我們禱告仰望奉耶穌聖名祈求
[00:01:06.000 --> 00:01:14.000]  保羅在哥倫多電書十五章
[00:01:14.000 --> 00:01:17.000]  講了一大段關於復活的信息
[00:01:17.000 --> 00:01:22.000]  經文說 假如沒有死人復活的基督
[00:01:22.000 --> 00:01:23.000]  也沒有復活
[00:01:24.000 --> 00:01:28.000]  我們所傳的是圖言
[00:01:28.000 --> 00:01:32.000]  而我們所信的又是圖言
[00:01:32.000 --> 00:01:36.000]  假如我們在基督裡
[00:01:36.000 --> 00:01:38.000]  只有今生的盼望
[00:01:38.000 --> 00:01:41.000]  我們就比所有的人更加可憐
[00:01:41.000 --> 00:01:45.000]  但是如今基督已經從死人中復活
[00:01:45.000 --> 00:01:48.000]  成為了碎了的人 初術的果子
[00:01:48.000 --> 00:01:50.000]  就是他第一個復活
[00:01:50.000 --> 00:01:54.000]  成為了後來我們都有復活的盼望
[00:01:54.000 --> 00:02:00.000]  的確 復活的信息
[00:02:00.000 --> 00:02:02.000]  或者主耶穌的復活
[00:02:02.000 --> 00:02:06.000]  帶來給我們有基督信仰的每一個
[00:02:06.000 --> 00:02:08.000]  是極之極之重要
[00:02:08.000 --> 00:02:12.000]  我信身體復活 我信永生
[00:02:12.000 --> 00:02:18.000]  是使徒信經的三大段裡的
[00:02:18.000 --> 00:02:22.000]  我信聖靈之下的一段很重要的說話
[00:02:22.000 --> 00:02:27.000]  不知道可不可以說是我們信仰的高潮
[00:02:27.000 --> 00:02:29.000]  以及帶給我們每一個人
[00:02:29.000 --> 00:02:31.000]  有一個終極的盼望
[00:02:31.000 --> 00:02:36.000]  但是 我信身體復活 我信永生
[00:02:36.000 --> 00:02:40.000]  不單單是一個信仰的宣言
[00:02:40.000 --> 00:02:42.000]  不單只是在使徒信經裡
[00:02:42.000 --> 00:02:44.000]  一個宣言
[00:02:45.000 --> 00:02:49.000]  真真實實地告訴我們 我們是身體復活
[00:02:49.000 --> 00:02:51.000]  我們有永生
[00:02:51.000 --> 00:02:56.000]  這個盼望是否指的是將來呢
[00:02:56.000 --> 00:02:59.000]  是否我們信了耶穌的人
[00:02:59.000 --> 00:03:03.000]  我們有基督信仰的每一個人
[00:03:03.000 --> 00:03:05.000]  我們在今生
[00:03:05.000 --> 00:03:07.000]  我們是否翹起手
[00:03:07.000 --> 00:03:09.000]  等將來身體復活
[00:03:09.000 --> 00:03:11.000]  等永生
[00:03:11.000 --> 00:03:16.000]  因為這兩段經文對我們來說
[00:03:16.000 --> 00:03:18.000]  仍然活在今天
[00:03:18.000 --> 00:03:24.000]  帶來給我們有什麼思想提醒和啟發呢
[00:03:24.000 --> 00:03:27.000]  我們會透過兩段經文
[00:03:27.000 --> 00:03:29.000]  剛才永華傳道已經跟我們讀過了
[00:03:29.000 --> 00:03:32.000]  《羅馬書》和《讓一書》
[00:03:32.000 --> 00:03:37.000]  我們先看《羅馬書》第八章
[00:03:39.000 --> 00:03:43.000]  第八章第20至23節
[00:03:43.000 --> 00:03:46.000]  一大段講述了
[00:03:46.000 --> 00:03:50.000]  我們在得贖之前的景況
[00:03:50.000 --> 00:03:53.000]  經文說
[00:03:53.000 --> 00:03:57.000]  受造之物屈從於虛空之下
[00:03:57.000 --> 00:04:00.000]  他們不自願的
[00:04:00.000 --> 00:04:03.000]  又告訴我們受造之物
[00:04:03.000 --> 00:04:09.000]  本身將要從敗壞的牢獄中得到釋放
[00:04:09.000 --> 00:04:10.000]  就是說
[00:04:10.000 --> 00:04:15.000]  受造之物都在敗壞的牢獄當中
[00:04:15.000 --> 00:04:18.000]  也告訴我們
[00:04:18.000 --> 00:04:20.000]  二十至一切受造之物
[00:04:20.000 --> 00:04:26.000]  至今仍在一同新人同受陣痛
[00:04:26.000 --> 00:04:31.000]  二十至二十節的受造之物
[00:04:32.000 --> 00:04:35.000]  是指非人類的受造物
[00:04:35.000 --> 00:04:37.000]  不是指我們
[00:04:37.000 --> 00:04:39.000]  是一切非人類的受造物
[00:04:39.000 --> 00:04:43.000]  受造之物為什麼會受咒助
[00:04:43.000 --> 00:04:48.000]  如果我們回到《創世紀》第三章的時候
[00:04:48.000 --> 00:04:49.000]  記載
