
[00:00:00.000 --> 00:00:01.000]  大英之會,早晨
[00:00:01.000 --> 00:00:02.000]  早晨
[00:00:02.000 --> 00:00:10.000]  多謝主席細心地閱讀一大段剛才的經文
[00:00:10.000 --> 00:00:13.000]  當我們每個人都相信耶穌的時候
[00:00:13.000 --> 00:00:15.000]  我們都鼓勵大英之會
[00:00:15.000 --> 00:00:18.000]  第一件事,我還要看聖經,我要看什麼聖經呢?
[00:00:18.000 --> 00:00:20.000]  我們通常都會介紹大英之會
[00:00:20.000 --> 00:00:22.000]  不如你就由四福一開始吧
[00:00:22.000 --> 00:00:25.000]  馬可最好,十六章就很快搞定
[00:00:25.000 --> 00:00:27.000]  不然就可以看馬太
[00:00:27.000 --> 00:00:31.000]  有些心可以看看馬可、馬太
[00:00:31.000 --> 00:00:34.000]  我不知道大家讀剛才的經文的時候
[00:00:34.000 --> 00:00:36.000]  你有什麼感受呢?
[00:00:36.000 --> 00:00:38.000]  什麼時候讀完呢?
[00:00:38.000 --> 00:00:41.000]  山來山去,我們生了多少個?
[00:00:41.000 --> 00:00:43.000]  我們看聖經的時候
[00:00:43.000 --> 00:00:44.000]  尤其是初上的時候
[00:00:44.000 --> 00:00:45.000]  你看聖經的時候
[00:00:45.000 --> 00:00:48.000]  你看見馬太,馬可就比較易讀
[00:00:48.000 --> 00:00:49.000]  但是當你看馬太的時候
[00:00:49.000 --> 00:00:51.000]  你一看到這個家譜
[00:00:51.000 --> 00:00:53.000]  其實看完就算了
[00:00:53.000 --> 00:00:57.000]  你一跳去耶穌降生的時候
[00:00:57.000 --> 00:00:59.000]  那段經文就是山來山去
[00:00:59.000 --> 00:01:00.000]  又不知道想講什麼
[00:01:00.000 --> 00:01:03.000]  又悶
[00:01:03.000 --> 00:01:05.000]  又好像不關我的事
[00:01:05.000 --> 00:01:08.000]  有些名字熟悉,有些不熟悉
[00:01:08.000 --> 00:01:14.000]  很快就跳過了不看馬太福音的家譜
[00:01:14.000 --> 00:01:18.000]  短短於十六節或者十七節的家譜
[00:01:18.000 --> 00:01:21.000]  其實裡面都是很重要
