
[00:00:00.000 --> 00:00:07.000]  其實我本來都掙扎二秒拉個車籠
[00:00:07.000 --> 00:00:13.000]  因為又有這麼好的鈴聲又有讚美
[00:00:13.000 --> 00:00:15.000]  但是我想我都會拉
[00:00:15.000 --> 00:00:18.000]  因為我本來沒有打算拉琴
[00:00:18.000 --> 00:00:22.000]  但是因為桂堂有一個姊妹WhatsApp我
[00:00:22.000 --> 00:00:27.000]  她說上次你們拉的車籠很感動
[00:00:27.000 --> 00:00:32.000]  你知不知道我今年2025年是進入這個
[00:00:32.000 --> 00:00:36.000]  我的電話最後那四個字是這樣的
[00:00:36.000 --> 00:00:41.000]  1955 你明白的
[00:00:41.000 --> 00:00:46.000]  你今年是2025 你說多少歲
[00:00:46.000 --> 00:00:50.000]  是吧 沒錯 佔時光
[00:00:50.000 --> 00:00:52.000]  你看 是吧
[00:00:52.000 --> 00:00:55.000]  我打算不拉了 打算收工了
[00:00:55.000 --> 00:00:57.000]  但是你們的姊妹很鼓勵我
[00:00:57.000 --> 00:01:00.000]  所以結果我說是喔 沒理由的
[00:01:00.000 --> 00:01:02.000]  上去給我一個車籠 是吧
[00:01:02.000 --> 00:01:03.000]  沒理由不拉的
[00:01:03.000 --> 00:01:08.000]  於是乎就藉著她的鼓勵
[00:01:08.000 --> 00:01:10.000]  就今天和大家聽一首歌
[00:01:10.000 --> 00:01:12.000]  這首歌其實都挺有意思的
[00:01:12.000 --> 00:01:14.000]  "The Lost Prayer" 是吧
[00:01:14.000 --> 00:01:15.000]  就是主土文
[00:01:15.000 --> 00:01:18.000]  為什麼我這麼喜歡這首歌和大家說呢
[00:01:18.000 --> 00:01:20.000]  因為這首歌一開始就說
[00:01:20.000 --> 00:01:23.000]  我天上的符
[00:01:23.000 --> 00:01:25.000]  你知道嗎 我未信主之前
[00:01:25.000 --> 00:01:27.000]  有什麼事發生我就說什麼
[00:01:27.000 --> 00:01:29.000]  我的天啊 是吧
[00:01:29.000 --> 00:01:31.000]  誰不知道
[00:01:31.000 --> 00:01:33.000]  但是信了耶穌之後
[00:01:33.000 --> 00:01:34.000]  主土文提醒了我
[00:01:34.000 --> 00:01:36.000]  你看耶穌多厲害
[00:01:36.000 --> 00:01:38.000]  一句話就提醒了我們今天
[00:01:38.000 --> 00:01:40.000]  我們在天上的什麼
[00:01:40.000 --> 00:01:43.000]  符 是什麼意思
[00:01:43.000 --> 00:01:47.000]  原來基督教不是一個宗教這麼簡單
[00:01:47.000 --> 00:01:50.000]  基督教是一個關係
[00:01:50.000 --> 00:01:53.000]  阿門 所以原來我們這麼好的
[00:01:53.000 --> 00:01:55.000]  所以去年很感恩
[00:01:55.000 --> 00:01:56.000]  有機會和大家一起分享
[00:01:56.000 --> 00:01:59.000]  耶穌如何來到世界上拯救每一位
[00:01:59.000 --> 00:02:01.000]  今年我繼續
[00:02:01.000 --> 00:02:04.000]  在楊方第四章繼續說到
[00:02:04.000 --> 00:02:07.000]  今天為什麼我們需要耶穌呢
[00:02:07.000 --> 00:02:08.000]  "The Lost Prayer"
[00:02:08.000 --> 00:02:10.000]  提醒大家留心在裡面的歌詞
[00:02:10.000 --> 00:02:14.000]  其實是說我們應該如何去敬拜我們的神
[00:02:14.000 --> 00:02:16.000]  好不好 請安靜
[00:02:20.000 --> 00:02:25.000]  "The Lost Prayer"
[00:02:50.000 --> 00:02:55.000]  "The Lost Prayer"
[00:03:20.000 --> 00:03:25.000]  "The Lost Prayer"
[00:03:50.000 --> 00:03:55.000]  "The Lost Prayer"
[00:04:20.000 --> 00:04:25.000]  "The Lost Prayer"
[00:04:25.000 --> 00:04:50.000]  "The Lost Prayer"
[00:04:50.000 --> 00:05:13.000]  "The Lost Prayer"
[00:05:13.000 --> 00:05:14.000]  我跟大家說
[00:05:14.000 --> 00:05:16.000]  這個車禍
[00:05:16.000 --> 00:05:19.000]  其實我已經禱告了很久很久很久很久
[00:05:19.000 --> 00:05:20.000]  我自己問
[00:05:20.000 --> 00:05:22.000]  上帝啊
[00:05:22.000 --> 00:05:24.000]  為什麼不給我一隻好的車禍給我捉呢
[00:05:24.000 --> 00:05:25.000]  是不是
[00:05:25.000 --> 00:05:27.000]  其實上帝都挺好的
[00:05:27.000 --> 00:05:29.000]  給了幾隻挺好的車禍給我捉
[00:05:29.000 --> 00:05:30.000]  但是呢
[00:05:30.000 --> 00:05:31.000]  這隻車禍為什麼這麼好
[00:05:31.000 --> 00:05:33.000]  為什麼我們特意要捉給大家聽呢
[00:05:33.000 --> 00:05:35.000]  為什麼要獻給大家
[00:05:35.000 --> 00:05:37.000]  獻給我們上主呢
[00:05:37.000 --> 00:05:40.000]  因為這隻車禍就是我老師
[00:05:40.000 --> 00:05:42.000]  他自己的車禍
[00:05:42.000 --> 00:05:44.000]  那我老師是誰呢
[00:05:44.000 --> 00:05:46.000]  說你都不相信
[00:05:46.000 --> 00:05:50.000]  他就是葉惠康博士
[00:05:50.000 --> 00:05:51.000]  是的
[00:05:51.000 --> 00:05:53.000]  他剛離開之前
[00:05:53.000 --> 00:05:54.000]  兩年前
[00:05:54.000 --> 00:05:55.000]  他說
[00:05:55.000 --> 00:05:57.000]  阿倫啊
[00:05:57.000 --> 00:05:59.000]  我都老了
[00:05:59.000 --> 00:06:01.000]  這隻琴我都不可以
[00:06:01.000 --> 00:06:04.000]  要多久了
[00:06:04.000 --> 00:06:05.000]  就
[00:06:05.000 --> 00:06:06.000]  讓給你啦
[00:06:06.000 --> 00:06:07.000]  是不是
[00:06:07.000 --> 00:06:08.000]  讓給我
[00:06:08.000 --> 00:06:09.000]  很感恩
[00:06:09.000 --> 00:06:10.000]  讓給我
[00:06:10.000 --> 00:06:11.000]  很好
[00:06:11.000 --> 00:06:12.000]  我捉完之後
[00:06:12.000 --> 00:06:14.000]  我好喜歡喔
[00:06:14.000 --> 00:06:16.000]  我說多少錢啊
[00:06:16.000 --> 00:06:19.000]  我現在在外面賣六萬元
[00:06:19.000 --> 00:06:20.000]  不錯喔
[00:06:20.000 --> 00:06:21.000]  然後他加了一個字
[00:06:21.000 --> 00:06:24.000]  美金
[00:06:24.000 --> 00:06:26.000]  我怎麼搞啊
[00:06:26.000 --> 00:06:27.000]  是不是
[00:06:27.000 --> 00:06:28.000]  所以
[00:06:28.000 --> 00:06:30.000]  馬上打消了念頭
[00:06:30.000 --> 00:06:32.000]  想都不敢想
[00:06:32.000 --> 00:06:33.000]  但是呢
[00:06:33.000 --> 00:06:35.000]  事情上帝做的事真的很有趣
[00:06:35.000 --> 00:06:36.000]  然後呢
[00:06:36.000 --> 00:06:38.000]  我的好老師的太太
[00:06:38.000 --> 00:06:40.000]  葉惠康太太呢
[00:06:40.000 --> 00:06:43.000]  忽然間有一天中了瘋
[00:06:43.000 --> 00:06:45.000]  感謝主迷暈了
[00:06:45.000 --> 00:06:47.000]  兩個禮拜之後起來
[00:06:47.000 --> 00:06:48.000]  是不是
[00:06:48.000 --> 00:06:49.000]  起來之後
[00:06:49.000 --> 00:06:50.000]  醫生說不行了
[00:06:50.000 --> 00:06:51.000]  他以後要特別照顧
[00:06:51.000 --> 00:06:53.000]  結果他需要用一間房間
[00:06:53.000 --> 00:06:55.000]  來照顧他太太
[00:06:55.000 --> 00:06:57.000]  但是那些所謂的靚惡氣
[00:06:57.000 --> 00:06:59.000]  就放在這間房裡面
[00:06:59.000 --> 00:07:00.000]  你知道什麼意思吧
[00:07:00.000 --> 00:07:01.000]  要清場
[00:07:01.000 --> 00:07:03.000]  就是在這樣的環境之下
[00:07:03.000 --> 00:07:04.000]  他說
[00:07:04.000 --> 00:07:05.000]  賣給你
[00:07:05.000 --> 00:07:06.000]  便宜一點賣給你
[00:07:06.000 --> 00:07:07.000]  幾萬元
[00:07:07.000 --> 00:07:08.000]  哇
[00:07:08.000 --> 00:07:10.000]  幾萬元都買不起
[00:07:10.000 --> 00:07:11.000]  怎麼買啊
[00:07:11.000 --> 00:07:12.000]  是不是
[00:07:12.000 --> 00:07:14.000]  他說幾萬元港幣
[00:07:14.000 --> 00:07:17.000]  哇
[00:07:17.000 --> 00:07:18.000]  我很感恩
[00:07:18.000 --> 00:07:19.000]  但是我想想
[00:07:19.000 --> 00:07:20.000]  他買這麼貴
[00:07:20.000 --> 00:07:21.000]  我沒理會
[00:07:21.000 --> 00:07:22.000]  在這裡臨危
[00:07:22.000 --> 00:07:23.000]  是不是
[00:07:23.000 --> 00:07:25.000]  這樣做事的
[00:07:25.000 --> 00:07:27.000]  都是禱告
[00:07:27.000 --> 00:07:29.000]  結果我們做了一些資料搜集
[00:07:29.000 --> 00:07:30.000]  然後這隻琴
[00:07:30.000 --> 00:07:31.000]  你知道這隻琴多少年了
[00:07:31.000 --> 00:07:38.000]  這隻琴是1786年
[00:07:38.000 --> 00:07:39.000]  所以很害怕
[00:07:39.000 --> 00:07:44.000]  原來我這個親愛的教授
[00:07:44.000 --> 00:07:46.000]  他是2001年
[00:07:46.000 --> 00:07:49.000]  在倫敦拍賣那裡拍賣回來的
[00:07:49.000 --> 00:07:51.000]  那時候
[00:07:51.000 --> 00:07:53.000]  一萬多元英鎊
[00:07:53.000 --> 00:07:54.000]  你知道那個時候
[00:07:54.000 --> 00:07:55.000]  一對五十多
[00:07:55.000 --> 00:07:56.000]  是不是
[00:07:56.000 --> 00:07:57.000]  所以我就看看
[00:07:57.000 --> 00:07:59.000]  我剛剛退休
[00:07:59.000 --> 00:08:00.000]  是不是
[00:08:00.000 --> 00:08:01.000]  有一點點錢
