
[00:00:00.000 --> 00:00:06.000]  早安,我們一起去禱告
[00:00:06.000 --> 00:00:11.000]  親愛的天父,我們謝謝你,讓我們可以去敬拜你
[00:00:11.000 --> 00:00:16.000]  求你的靈驅引導我們,讓我們去聽得明
[00:00:16.000 --> 00:00:22.000]  我們願意去實踐你的說話,讓我們人生有改變
[00:00:22.000 --> 00:00:28.000]  我們這樣去恭敬仰望,是奉耶穌基督的聖名,阿們
[00:00:28.000 --> 00:00:33.000]  有一次有一個牧師,他星期日
[00:00:33.000 --> 00:00:40.000]  他侍奉完之後,他還要晚上去主持兩個安息禮拜
[00:00:40.000 --> 00:00:44.000]  幸好兩個安息禮拜都在紅磡
[00:00:44.000 --> 00:00:49.000]  一個在世界殯儀館,一個在永恆殯儀館
[00:00:49.000 --> 00:00:56.000]  永恆後來就改名叫做世城,今年改名叫做福澤殯儀館
[00:00:56.000 --> 00:01:02.000]  去到世界殯儀館的喪禮有些超時
[00:01:02.000 --> 00:01:05.000]  過了一些時間就晚了
[00:01:05.000 --> 00:01:10.000]  那個牧師離開世界殯儀館的時候已經很累
[00:01:10.000 --> 00:01:15.000]  但沒辦法,做牧師一定要做完下一個喪禮
[00:01:15.000 --> 00:01:19.000]  他就慢慢走到永恆殯儀館的門口
[00:01:19.000 --> 00:01:24.000]  走到門口他就想著今晚都應該晚回家
[00:01:24.000 --> 00:01:27.000]  還是通知太太要晚一點回家
[00:01:27.000 --> 00:01:32.000]  他就拿著手機發了一個短信給太太
[00:01:32.000 --> 00:01:37.000]  他的短信內容很簡單,只有十幾個字
[00:01:37.000 --> 00:01:43.000]  他說太太,我很累,當離開世界
[00:01:43.000 --> 00:01:48.000]  將步入永恆,晚一點見
[00:01:51.000 --> 00:01:55.000]  他全部都是真的,沒有一句是假的
[00:01:55.000 --> 00:02:01.000]  太太嚇得立即通知親友,老公發生什麼事
[00:02:01.000 --> 00:02:07.000]  這個短信太過精簡,令人誤解
[00:02:07.000 --> 00:02:11.000]  你很容易看到那幾個字,每個都嚇死你
[00:02:11.000 --> 00:02:17.000]  所以如果我們的字眼太過精簡,很容易令人誤解
[00:02:17.000 --> 00:02:22.000]  其實聖經在某些經文同樣是這樣
[00:02:22.000 --> 00:02:25.000]  是很精簡,很容易令人誤解
[00:02:25.000 --> 00:02:28.000]  今天這段經文只有三節
[00:02:28.000 --> 00:02:34.000]  第一節他說:卑微的弟兄,要因高升而誇耀
[00:02:34.000 --> 00:02:41.000]  由低爬高,沒錢變有錢,要誇口
[00:02:41.000 --> 00:02:45.000]  我們想想,如果我們這樣去理解這段經文
[00:02:45.000 --> 00:02:52.000]  如果一個弟兄做文員,慢慢一直爬到做CEO
[00:02:52.000 --> 00:02:55.000]  是不是要值得誇口呢?
[00:02:55.000 --> 00:02:58.000]  要到處跟人說我很厲害呢?
[00:02:58.000 --> 00:03:00.000]  聖經是這樣說的
[00:03:00.000 --> 00:03:06.000]  如果我們不是明白聖經的真理,我們很容易會誤解
[00:03:06.000 --> 00:03:09.000]  究竟這節聖經是不是這樣說的呢?
[00:03:09.000 --> 00:03:12.000]  讓我們詳細看一看這段經文
[00:03:12.000 --> 00:03:15.000]  我們先看這段經文的歷史背景
[00:03:15.000 --> 00:03:19.000]  《雅各書》的修信人在第一節說了
[00:03:19.000 --> 00:03:25.000]  是一群被迫散居在各處的猶太基督徒
[00:03:25.000 --> 00:03:29.000]  他們離鄉別井,成為二等公民
[00:03:29.000 --> 00:03:35.000]  很可能他們離開猶大地的時候,大部分的財富都沒有了
[00:03:35.000 --> 00:03:41.000]  他們過著貧窮的生活,在社會上是貧窮一族
[00:03:41.000 --> 00:03:46.000]  在《雅各書》是很多次提到貧窮這個主題
[00:03:46.000 --> 00:03:49.000]  一章九至十一,今天這一段
[00:03:49.000 --> 00:03:53.000]  去到一章二十七,提到有孤兒寡婦
[00:03:53.000 --> 00:03:57.000]  二章三節,提到有窮人進入會堂
[00:03:57.000 --> 00:04:01.000]  二章六節,窮人被羞辱
[00:04:01.000 --> 00:04:08.000]  二章十五節,提到有些弟兄姊妹沒有衣著,又缺少日用飲食
[00:04:08.000 --> 00:04:15.000]  四章十三節,提到有人要去外地賺錢發財
[00:04:15.000 --> 00:04:20.000]  五章四節,提到有些有錢人黑扣工人的工價
[00:04:20.000 --> 00:04:26.000]  所以整個《雅各書》是很多次提到關於貧窮
[00:04:26.000 --> 00:04:31.000]  所以我們很相信,也很肯定
[00:04:31.000 --> 00:04:34.000]  這一段書,它是在說什麼呢?
[00:04:34.000 --> 00:04:39.000]  那些修信人是在經歷一個貧窮的考驗
[00:04:39.000 --> 00:04:43.000]  他們是信耶穌,不過生活實在艱難
