
[00:00:00.000 --> 00:00:05.600]  在一間公司裏有三類的同事
[00:00:05.600 --> 00:00:11.120]  第一類的同事可以說是不安於為
[00:00:11.120 --> 00:00:16.520]  他們可能覺得這份工作對他們來說沒有甚麼挑戰性
[00:00:16.520 --> 00:00:22.080]  或者覺得自己在這份工作裏面懷才不遇
[00:00:22.080 --> 00:00:24.440]  所以是過度性的
[00:00:24.440 --> 00:00:27.320]  他們時時就想著要轉工
[00:00:27.320 --> 00:00:31.600]  要找過一份更適合自己
[00:00:31.600 --> 00:00:35.400]  找過一份人工更好
[00:00:35.400 --> 00:00:39.280]  找過一份更理想的工作
[00:00:39.280 --> 00:00:41.280]  所以他們時時上網
[00:00:41.280 --> 00:00:42.720]  時時看報紙
[00:00:42.720 --> 00:00:45.200]  就想著找工作
[00:00:45.200 --> 00:00:49.040]  但亦都有第二類的同事
[00:00:49.040 --> 00:00:54.040]  這類的同事就安於現狀
[00:00:54.040 --> 00:00:57.680]  既然已經在這間公司工作
[00:00:57.680 --> 00:01:01.280]  好像沒有甚麼其他可以轉變
[00:01:01.280 --> 00:01:04.160]  那就繼續做下去
[00:01:04.160 --> 00:01:07.960]  但卻是帶著一個恩秦
[00:01:07.960 --> 00:01:12.040]  一個每個星期都是這樣過
[00:01:12.040 --> 00:01:14.360]  每天都是這樣過
[00:01:14.360 --> 00:01:19.280]  就是循例式做他的工作
[00:01:19.280 --> 00:01:22.200]  工作慢慢就顯得沉悶
[00:01:22.200 --> 00:01:25.480]  好像沒有甚麼挑戰性
[00:01:25.480 --> 00:01:28.960]  但亦都有第三類的同事
[00:01:28.960 --> 00:01:35.240]  就覺得這份工作帶給他一份的喜樂
[00:01:35.240 --> 00:01:39.360]  他很愛自己的工作
[00:01:39.360 --> 00:01:43.760]  在工作裏面他覺得充滿挑戰
[00:01:43.760 --> 00:01:46.240]  雖然工作是很忙碌
[00:01:46.240 --> 00:01:51.120]  但他卻是很有成就感
[00:01:51.120 --> 00:01:55.120]  他努力的工作
[00:01:55.120 --> 00:02:01.000]  他享受他自己這份工作
[00:02:01.000 --> 00:02:03.280]  我不知在座各位
[00:02:03.280 --> 00:02:10.000]  你對你的工作帶著一個甚麼態度呢?
[00:02:10.000 --> 00:02:13.440]  梁啟超先生曾經講過
[00:02:13.440 --> 00:02:17.480]  他說人生能夠從自己的職業中
[00:02:17.480 --> 00:02:24.760]  領略出趣味、生活才有價值
[00:02:24.760 --> 00:02:28.240]  我們實在很需要學習
[00:02:28.240 --> 00:02:34.480]  怎樣讓我們愛上自己的工作
[00:02:34.480 --> 00:02:41.360]  和能夠很投入在我們工作的裏面
[00:02:41.360 --> 00:02:47.440]  當尼西米帶領以色列人回到耶路撒冷
[00:02:47.440 --> 00:02:50.480]  重建城牆之後
[00:02:50.480 --> 00:02:53.120]  接著面對一個挑戰
[00:02:53.120 --> 00:02:56.320]  就是怎樣讓這班百姓
[00:02:56.320 --> 00:03:00.960]  可以在耶路撒冷安居
[00:03:00.960 --> 00:03:04.880]  建立他們的家園
[00:03:04.880 --> 00:03:09.880]  可能由於耶路撒冷已經荒廢了太久
[00:03:09.880 --> 00:03:17.200]  所以那裏有些人不太喜歡住在耶路撒冷
[00:03:17.200 --> 00:03:20.440]  他們寧願住在自己的家鄉
[00:03:20.440 --> 00:03:23.520]  或者住在其他城邑
[00:03:23.520 --> 00:03:26.440]  於是尼西米就要想方法
[00:03:26.440 --> 00:03:29.600]  怎樣可以鼓勵一些人
[00:03:29.600 --> 00:03:32.760]  能夠住在耶路撒冷
[00:03:32.760 --> 00:03:40.600]  投入在他們建立家園的工作裏面
[00:03:40.600 --> 00:03:45.000]  所以我想邀請大家一起翻開尼西米記
[00:03:45.000 --> 00:03:51.600]  請大家一起打開尼西米記第十一章
[00:03:51.600 --> 00:03:55.760]  在舊約的603年
[00:03:55.760 --> 00:04:00.200]  舊約聖經603年
[00:04:00.200 --> 00:04:06.320]  我們一起來看第一和第二兩節
[00:04:06.320 --> 00:04:10.080]  第一和第二兩節
[00:04:10.080 --> 00:04:15.080]  百姓的首領住在耶路撒冷
[00:04:15.080 --> 00:04:19.080]  其餘的百姓就制籤
[00:04:19.080 --> 00:04:26.720]  每十人中使一人來住在聖城耶路撒冷
[00:04:26.720 --> 00:04:31.520]  那九人住在別的城邑
[00:04:31.520 --> 00:04:38.840]  凡甘心樂意住在耶路撒冷的百姓
[00:04:38.840 --> 00:04:43.800]  都為他們祝福
