
[00:00:00.000 --> 00:00:02.780]  我們是屬神的兒女
[00:00:02.780 --> 00:00:05.240]  因為耶穌基督的救恩
[00:00:05.240 --> 00:00:09.740]  我們能夠在神的家裏同蒙恩典
[00:00:09.740 --> 00:00:12.900]  我們更加藉著基督給我們的救恩
[00:00:12.900 --> 00:00:15.180]  能夠滿有盼望
[00:00:15.180 --> 00:00:17.280]  這就是神給我們的
[00:00:17.280 --> 00:00:19.920]  Hope in Christ
[00:00:19.920 --> 00:00:23.260]  在我們今年的主題經文
[00:00:23.260 --> 00:00:27.060]  上一次和大家看過羅馬書15章的經文
[00:00:27.060 --> 00:00:30.340]  祂說我們能夠得到這個盼望
[00:00:30.340 --> 00:00:32.300]  是因為聖靈的能力
[00:00:32.300 --> 00:00:36.940]  所以甚麼是聖靈的能力呢?
[00:00:36.940 --> 00:00:41.860]  其實聖靈的能力有時候是轟轟烈烈的
[00:00:41.860 --> 00:00:43.620]  令我們充滿興奮的
[00:00:43.620 --> 00:00:46.260]  充滿著熱情的
[00:00:46.260 --> 00:00:49.700]  聖靈的能力有時候也是安靜的
[00:00:49.700 --> 00:00:51.840]  在我們默想安靜的時候
[00:00:51.840 --> 00:00:55.040]  來感動我們心 致下平安
[00:00:55.040 --> 00:00:58.060]  祂用微聲向我們說話
[00:00:58.060 --> 00:01:00.500]  聖靈的能力也是
[00:01:00.500 --> 00:01:03.080]  因著我們親近神 信服聖靈
[00:01:03.080 --> 00:01:05.960]  那個屬乎聖靈的生活
[00:01:05.960 --> 00:01:08.860]  所以在我們每日生活當中
[00:01:08.860 --> 00:01:10.980]  有時候我們在敬拜
[00:01:10.980 --> 00:01:12.380]  在禱告裏面
[00:01:12.380 --> 00:01:15.780]  神感動我們充滿著很大的激動
[00:01:15.780 --> 00:01:19.460]  有時候我們可以在安靜裏面默想神的話
[00:01:19.460 --> 00:01:22.300]  有心靈裏面那種平靜安穩
[00:01:22.300 --> 00:01:24.700]  但也在我們每日生活當中
[00:01:24.700 --> 00:01:26.340]  聖靈引導我們
[00:01:26.340 --> 00:01:27.620]  更新我們
[00:01:27.620 --> 00:01:30.320]  讓我們能夠有一個以神的心
[00:01:30.320 --> 00:01:34.880]  以神的話語的態度來活我們的人生
[00:01:34.880 --> 00:01:38.360]  這是聖靈不斷在我們
[00:01:38.360 --> 00:01:42.640]  基督徒誠聖的生命當中所做的工作
[00:01:42.640 --> 00:01:46.400]  所以這幾個星期我和大家思想一下
[00:01:46.400 --> 00:01:49.960]  原來一個屬靈的人
[00:01:49.960 --> 00:01:52.500]  即是我們屬乎聖靈
[00:01:52.500 --> 00:01:55.580]  聖靈幫助我們
[00:01:55.580 --> 00:01:56.960]  藉著神的話語
[00:01:56.960 --> 00:01:58.780]  藉著我們生活當中的提醒
[00:01:58.780 --> 00:02:01.940]  更加藉著我們祈禱的時候
[00:02:01.940 --> 00:02:03.400]  它更新我們的內心
[00:02:03.400 --> 00:02:07.440]  使我們能夠有一個合乎神心意的
[00:02:07.440 --> 00:02:08.940]  價值觀念
[00:02:08.940 --> 00:02:10.820]  人生觀念
[00:02:10.820 --> 00:02:17.580]  在哥倫多前孫保羅用了很多的蝙蝠
[00:02:17.580 --> 00:02:21.180]  來幫助當時的哥倫多信徒
[00:02:21.180 --> 00:02:23.040]  因為他們信了主之後
[00:02:23.040 --> 00:02:24.740]  他們也有神的
[00:02:24.740 --> 00:02:26.300]  聖靈的恩賜
[00:02:26.300 --> 00:02:31.860]  但很需要那種聖靈來管理生活
[00:02:31.860 --> 00:02:33.920]  更新他們的意念
[00:02:33.920 --> 00:02:38.280]  讓我們能夠做一個真正屬乎聖靈的人
[00:02:38.280 --> 00:02:41.720]  很多時候我們說屬靈人好像很高超
[00:02:41.720 --> 00:02:44.600]  其實屬靈人在聖經裡告訴我們
[00:02:44.600 --> 00:02:49.120]  只要你按著聖靈去生活
[00:02:49.120 --> 00:02:53.200]  按著聖靈的感動和管理去過我們的生活的時候
[00:02:53.200 --> 00:02:55.540]  這就是屬靈人的意思
[00:02:55.540 --> 00:02:56.940]  當然你要重新得救
[00:02:56.940 --> 00:02:59.700]  有了聖靈在你的內心裡才可以
[00:02:59.700 --> 00:03:03.000]  所以在這幾章經文裡
[00:03:03.000 --> 00:03:04.760]  哥倫多前書第一至第四章
[00:03:04.760 --> 00:03:09.440]  保羅在這幾方面反覆地講述這幾方面的真理
[00:03:09.440 --> 00:03:10.860]  今天我們看看
[00:03:10.860 --> 00:03:14.500]  保羅提到我們對自己的認識
[00:03:14.500 --> 00:03:18.180]  自我觀和真正的智慧是什麼呢?
[00:03:18.180 --> 00:03:20.740]  在這幾章裡我們來思想一下
[00:03:20.740 --> 00:03:22.740]  一個屬靈的人
[00:03:22.740 --> 00:03:24.740]  按著聖靈的幫助
[00:03:24.740 --> 00:03:29.180]  如何對自我有一個正確的認識
[00:03:29.180 --> 00:03:31.740]  對於追尋這個世界的智慧
[00:03:31.740 --> 00:03:34.220]  能夠有一個正確的方向
