
[00:00:00.000 --> 00:00:02.000]  (主席) 各位節目的早晨
[00:00:02.000 --> 00:00:05.000]  (主席) 今天繼續延續我在《要望福音》裡的分享
[00:00:05.000 --> 00:00:10.000]  (主席) 今天簡選的經文是在《要望福音》12章12到50節
[00:00:10.000 --> 00:00:14.000]  (主席) 如果你喜歡可以翻開聖經 我們一同看著這段經文
[00:00:14.000 --> 00:00:18.000]  (主席) 我小時候 真是可以稱為孩提年代
[00:00:18.000 --> 00:00:20.000]  (主席) 我說的是幼稚園
[00:00:20.000 --> 00:00:24.000]  (主席) 在我就讀的幼稚園安排下
[00:00:24.000 --> 00:00:26.000]  (主席) 就參加了那間直屬小學
[00:00:26.000 --> 00:00:29.000]  (主席) 即是我讀完幼稚園會升上去的那間小學
[00:00:29.000 --> 00:00:33.000]  (主席) 參加了一個直屬小學的聖誕劇
[00:00:33.000 --> 00:00:35.000]  (主席) 是一間基督教學校的背景
[00:00:35.000 --> 00:00:37.000]  (主席) 所以每一年
[00:00:37.000 --> 00:00:39.000]  (主席) 我也不肯定是不是每一年
[00:00:39.000 --> 00:00:41.000]  (主席) 但印象中也試過好幾次
[00:00:41.000 --> 00:00:43.000]  (主席) 聖誕節也有聖誕劇
[00:00:43.000 --> 00:00:45.000]  (主席) 就找一些可愛的小朋友 即是我
[00:00:45.000 --> 00:00:48.000]  (主席) 就去扮演一些很有趣的角色
[00:00:48.000 --> 00:00:51.000]  (主席) 我還記得在我幼稚園高班那一年
[00:00:51.000 --> 00:00:53.000]  (主席) 我那個年代幼稚園只有兩年
[00:00:53.000 --> 00:00:54.000]  (主席) 低班高班
[00:00:54.000 --> 00:00:59.000]  (主席) 就在我高班那年被人cast了 選中了
[00:00:59.000 --> 00:01:01.000]  (主席) 就找我做牧羊人
[00:01:01.000 --> 00:01:04.000]  (主席) 牧羊人在耶穌降生的晚上
[00:01:04.000 --> 00:01:07.000]  (主席) 當然也是其中一個可以用spotlight
[00:01:07.000 --> 00:01:09.000]  (主席) 用射燈射著的角色
[00:01:09.000 --> 00:01:11.000]  (主席) 我還記得那一次
[00:01:11.000 --> 00:01:14.000]  (主席) 老師說我是牧羊人的頭
[00:01:14.000 --> 00:01:17.000]  (主席) 所以我在三個牧羊人裡面
[00:01:17.000 --> 00:01:18.000]  (主席) 我就站在前面一點
[00:01:18.000 --> 00:01:20.000]  (主席) 一個品字形的站立
[00:01:20.000 --> 00:01:21.000]  (主席) 多深印象
[00:01:21.000 --> 00:01:23.000]  (主席) 大家看到這個好的兒童教育多重要
[00:01:23.000 --> 00:01:24.000]  (主席) 到現在都很深印象
[00:01:24.000 --> 00:01:25.000]  (主席) 品字形的站立
[00:01:25.000 --> 00:01:26.000]  (主席) 我就站在前面
[00:01:26.000 --> 00:01:28.000]  (主席) 另外還有兩個同學都是牧羊人
[00:01:28.000 --> 00:01:30.000]  (主席) 穿著近冬的衣服
[00:01:30.000 --> 00:01:32.000]  (主席) 掛著鬍子
[00:01:32.000 --> 00:01:33.000]  (主席) 是毛毛的
[00:01:33.000 --> 00:01:35.000]  (主席) 那些鬍子是黑色的毛毛
[00:01:35.000 --> 00:01:36.000]  (主席) 很深印象
[00:01:36.000 --> 00:01:38.000]  (主席) 我們三個就是做牧羊人
[00:01:38.000 --> 00:01:40.000]  (主席) 有三個更謙卑的同學
[00:01:40.000 --> 00:01:42.000]  (主席) 穿著全身的羊毛
[00:01:42.000 --> 00:01:43.000]  (主席) 手和腳都穿著
[00:01:43.000 --> 00:01:45.000]  (主席) 好像我們中國的北獅一樣
[00:01:45.000 --> 00:01:53.000]  (主席) 穿著全身的羊毛
[00:01:53.000 --> 00:01:55.000]  (主席) 三個牧羊人 三隻羊
[00:01:55.000 --> 00:01:57.000]  (主席) 我們的角色有什麼重點
[00:01:57.000 --> 00:01:59.000]  (主席) 我現在還很記得
[00:01:59.000 --> 00:02:00.000]  (主席) 話說大家還記得
[00:02:00.000 --> 00:02:02.000]  (主席) 盧家科的記載
[00:02:02.000 --> 00:02:04.000]  (主席) 會有天使顯現
[00:02:04.000 --> 00:02:05.000]  (主席) 所以老師就說
[00:02:05.000 --> 00:02:09.000]  (主席) 當你看到天使和主的榮光
[00:02:09.000 --> 00:02:11.000]  (主席) 主的榮光當然是指Spotlight
[00:02:11.000 --> 00:02:12.000]  (主席) 就是射燈
[00:02:12.000 --> 00:02:14.000]  (主席) 當你看到天使和主的榮光的時候
[00:02:14.000 --> 00:02:16.000]  (主席) 我們要表達的情緒是怎樣
[00:02:16.000 --> 00:02:17.000]  (主席) 按照聖經一樣
[00:02:17.000 --> 00:02:20.000]  (主席) 先是要恐懼 懼怕 很害怕
[00:02:20.000 --> 00:02:23.000]  (主席) 聽到那幾位扮天使的
[00:02:23.000 --> 00:02:25.000]  (主席) 比我們更可愛的同學
[00:02:25.000 --> 00:02:27.000]  (主席) 很明顯他們當然更可愛才做到天使
[00:02:27.000 --> 00:02:29.000]  (主席) 那幾位同學就說
[00:02:29.000 --> 00:02:31.000]  (主席) 在至高之處榮耀歸於神
[00:02:31.000 --> 00:02:33.000]  (主席) 在地上平安歸於他所喜悅的人
[00:02:33.000 --> 00:02:35.000]  (主席) 當他讀出這句金句的時候
[00:02:35.000 --> 00:02:36.000]  (主席) 我們就要變了
[00:02:36.000 --> 00:02:38.000]  (主席) 就要變得很開心
[00:02:38.000 --> 00:02:45.000]  (主席) 並且要有一種看著上蒼開心的情緒
