
[00:00:00.000 --> 00:00:06.000]  (主席)早晨,請我們繼續打開我們今天思想的經文,奴家康康第六章。
[00:00:06.000 --> 00:00:15.000]  我們一起來讀一讀第二十七節,是我們今天的金句,二十七節。
[00:00:16.000 --> 00:00:30.000]  "若要為那毀壞的食物操勞,而要為那存到永生的食物操勞,這食物是人子要賜給你們的,因為父神已人正要"。請我們再一次同心,我們同祈禱。
[00:00:30.000 --> 00:00:40.000]  天父,我們再一次感謝祢,讓祢寶貴的華語作為我們生命的指引和挑戰。求祢藉著祢的華語去提醒、勸勉、挑戰、改變我們。
[00:00:41.000 --> 00:00:51.000]  我們的價值觀、我們的人生觀、我們的生命,因著聖靈在我們心中動工,藉著神的華語改變我們。
[00:00:51.000 --> 00:00:55.000]  我們感謝祢,祈禱奉耶穌名求。阿們。
[00:00:55.000 --> 00:01:05.000]  回想過去幾十年,我們曾經舉家環渡太平洋幾次。
[00:01:06.000 --> 00:01:18.000]  印象深刻的是1972年,我和我太太當時只有二十多歲,年輕人毅然離鄉別井,去到陌生的美國攻讀神學。
[00:01:18.000 --> 00:01:26.000]  那時的心情又興奮,又有點害怕,因為我們兩個人拿著的積蓄剛剛夠一年的使用。
[00:01:27.000 --> 00:01:41.000]  一年如果用完了,就算搭順風車由東岸回到西岸也不夠,但當時就夠膽量,拍拍胸口,懷著夢想和熱誠,就去到費城。
[00:01:41.000 --> 00:01:55.000]  現在回想起來,過晚五點鐘就起床,因為沒辦法睡著,收拾行李,匆匆去啟德機場,那種印象歷歷如在目前,就好像昨天發生一樣。
[00:01:56.000 --> 00:02:12.000]  事隔了十五年,我們三十多歲中年人,有兒有女,我們就決定離開香港的家人、事業、教會,舉家移民去到三藩市。
[00:02:13.000 --> 00:02:26.000]  當時兒子只有九歲,女兒只有七歲,拖男帶女,心情顯然和十五年前不同,沒錯,一方面都有點興奮,一個新的改變,新的崗位。
[00:02:27.000 --> 00:02:43.000]  另一方面有點惆悵,身份又細,責任又大,心裡有點擔心和說不出的滋味,沒了二十幾歲的時候拍拍胸口,死就死吧,那種心情。
[00:02:44.000 --> 00:02:59.000]  到了一九九五年,又隔了十年時間,我已經是五十歲的中年人,又再一次舉家橫渡太平洋,孩子長大了,讀大學了。
[00:03:00.000 --> 00:03:15.000]  兩個亦都是初嘗空巢的滋味,心情顯然又很不同,尤其是這次回來,是三十年來我們四兄弟姊妹第一次相聚。
[00:03:16.000 --> 00:03:39.000]  四個,我姐姐從加拿大回來,我從三藩市回來,我弟弟從香港去探望在廣州的妹妹,妹家四個人,一共十六個,首次相聚,悲歡離合,恍如隔世,一談就談了一整天。
[00:03:40.000 --> 00:04:00.000]  我們四兄弟姊妹,當然孩子們不知道我們那些辛酸史,沒辦法了解我們那種分散和聚合的滋味,但這次的聚首就帶給我無限辛酸的回憶。
[00:04:01.000 --> 00:04:12.000]  2000年,這次只有我和我太太橫渡太平洋,我們決定回來香港侍奉,離開子女。
