
[00:00:00.000 --> 00:00:04.160]  今天我們的題目叫"三個媽媽三個恩"
[00:00:04.160 --> 00:00:05.880]  剛纔有人問我們說什麼
[00:00:05.880 --> 00:00:08.400]  三個媽媽當然是三個恩
[00:00:08.400 --> 00:00:10.120]  四個媽媽呢
[00:00:10.120 --> 00:00:12.360]  就有四個恩
[00:00:12.360 --> 00:00:15.960]  我刻意選這幅畫
[00:00:15.960 --> 00:00:19.960]  這幅畫是2012年我女兒送給我的母親節禮物
[00:00:19.960 --> 00:00:22.160]  我記得當年看收到這幅畫
[00:00:22.160 --> 00:00:23.760]  第一個感動是很感動的
[00:00:23.760 --> 00:00:26.800]  因爲你見不見是什麼
[00:00:26.800 --> 00:00:28.640]  你見不見是什麼
[00:00:28.640 --> 00:00:31.560]  你見不見有個人抱着你一個人
[00:00:31.560 --> 00:00:33.120]  即是靠着這樣
[00:00:33.120 --> 00:00:35.440]  這個也是我們小時候很喜歡的樣子
[00:00:35.440 --> 00:00:36.480]  長大之後
[00:00:36.480 --> 00:00:39.560]  現在只能抱着一個瓶子
[00:00:39.560 --> 00:00:43.200]  我相信每一個人在母親節的時候
[00:00:43.200 --> 00:00:46.200]  都會想想自己的媽媽
[00:00:46.200 --> 00:00:48.960]  或者是想想自己的子女
[00:00:48.960 --> 00:00:50.680]  很多時候
[00:00:50.680 --> 00:00:53.040]  特別現在做媽媽的壓力很大
[00:00:53.040 --> 00:00:55.920]  無論你說前途如何
[00:00:55.920 --> 00:00:57.040]  疫情如何
[00:00:57.040 --> 00:00:58.360]  政見如何
[00:00:58.360 --> 00:01:00.720]  兩代的分歧也很大
[00:01:00.720 --> 00:01:03.480]  特別我們對於我們的下一代
[00:01:03.480 --> 00:01:04.440]  越讀得書多
[00:01:04.440 --> 00:01:07.400]  我們就越想他有很多期望
[00:01:07.400 --> 00:01:10.720]  但是兩代之間大家的想法也有不同
[00:01:10.720 --> 00:01:12.760]  所以無論信主好不信主
