
[00:00:00.000 --> 00:00:02.920]  領受神的話語之先,我們先低頭祈禱
[00:00:30.000 --> 00:00:32.600]  祈禱交托,賴奉主得勝的名,阿們
[00:01:00.000 --> 00:01:08.800]  不是因為錢的問題,而是因為我們大家都沒有一個很熱切為教會整體的需要,有一個很熱切禱告的心
[00:01:08.800 --> 00:01:13.400]  我相信當我們一路肯禱告的時候,神就會帶動我們
[00:01:13.400 --> 00:01:17.000]  所以三軍未動,是祈禱先行
[00:01:17.000 --> 00:01:20.800]  我們看看尼西米記裏面一個很重要的感受
[00:01:20.800 --> 00:01:25.800]  尼西米是一個猶太人,國家被擄,滅亡了
[00:01:25.800 --> 00:01:28.200]  他們被擄到外邦之地
[00:01:28.200 --> 00:01:33.600]  但尼西米竟然可以在外邦的王朝裏面做酒證
[00:01:33.600 --> 00:01:38.000]  酒證就不只是倒酒,酒證是一個很重要的人物
[00:01:38.000 --> 00:01:42.600]  因為看著那些飲品,免得有人來下毒
[00:01:42.600 --> 00:01:48.600]  所以尼西米一定是一個非常有敏銳觸覺,一個很厲害的人
[00:01:48.600 --> 00:01:50.600]  但最重要的一個質素是什麼呢?
[00:01:50.600 --> 00:01:54.600]  他一定是一個可以很誠實,值得信任的人
[00:01:54.600 --> 00:02:03.000]  如果不是一個外邦的王,絕對不會用一個亡國奴做這麼重要的工作
[00:02:03.000 --> 00:02:10.200]  所以誠實可靠是我們每一個人都渴望的一個道德操守
[00:02:10.200 --> 00:02:21.000]  尼西米雖然身居高位,在外國裏面有豐厚的人工,居住好的地方
[00:02:21.000 --> 00:02:24.800]  但當他聽到自己的同胞跟他說
[00:02:24.800 --> 00:02:29.800]  我們回到我們自己的故土,但是頹垣敗瓦,被人欺凌
[00:02:29.800 --> 00:02:34.600]  還有就是我們的城牆被毀,城門被焚燒
[00:02:34.600 --> 00:02:38.400]  神的殿都未曾重建
[00:02:38.400 --> 00:02:44.600]  尼西米聽到自己的同胞在苦難裏面的時候,他心裏很難過
[00:02:44.600 --> 00:02:52.000]  聖經就記載他坐下哭泣,悲哀幾日,他禁食禱告仰望神
[00:02:52.000 --> 00:02:55.000]  他愛國愛民又愛神
[00:02:55.000 --> 00:02:59.600]  這是我們今天在香港的基督徒需要有反省
[00:02:59.600 --> 00:03:03.800]  我們對我們的國家盡上多少責任
[00:03:03.800 --> 00:03:07.000]  當我們看到昨天看報紙的時候
[00:03:07.000 --> 00:03:12.800]  有人被一些所謂城管的人打死的時候
[00:03:12.800 --> 00:03:17.400]  警察要搶屍,希望盡快燒掉這條屍
[00:03:17.400 --> 00:03:21.400]  沒有那個痕跡可以被人追查的時候
[00:03:21.400 --> 00:03:25.600]  我不知道大家聽了之後你的感受,看到這些新聞,看了這些圖片
[00:03:25.600 --> 00:03:27.200]  有什麼感覺
[00:03:27.200 --> 00:03:31.800]  我們除了搖頭嘆息之外,我們沒有為這個國家彌帶去禱告
[00:03:31.800 --> 00:03:36.000]  我們上次看到,其實香港在政治的制度底下
[00:03:36.000 --> 00:03:38.400]  司法上都開始有不公平
[00:03:38.400 --> 00:03:43.200]  你看到一些書可以彌帶去沒有問過的原作者
[00:03:43.200 --> 00:03:48.600]  將一些他們認為敏感的題材,彌帶去剪去了
[00:03:48.600 --> 00:03:55.200]  我們其實在資訊上,我們下一代的教育是越來越有問題
[00:03:55.200 --> 00:04:00.600]  我們有沒有為這些事留意,緊張
[00:04:00.600 --> 00:04:03.000]  然後有一些回應
[00:04:03.000 --> 00:04:05.200]  最基本的回應就是禱告
