
[00:00:00.000 --> 00:00:05.000]  讀一段聖經在啟示錄第22章第1到第3節
[00:00:05.000 --> 00:00:06.000]  我來念
[00:00:06.000 --> 00:00:09.000]  天使又指示我在城內街道當中
[00:00:09.000 --> 00:00:12.000]  一道生命水的河明亮如水晶
[00:00:12.000 --> 00:00:15.000]  從神和羔羊的寶座流出來
[00:00:15.000 --> 00:00:18.000]  在河這邊與那邊有生命樹
[00:00:18.000 --> 00:00:21.000]  結十二樣果子每月都結果子
[00:00:21.000 --> 00:00:24.000]  樹上的葉子乃為一字萬名
[00:00:24.000 --> 00:00:26.000]  以後再沒有奏主
[00:00:26.000 --> 00:00:28.000]  在城裡有神和羔羊的寶座
[00:00:28.000 --> 00:00:31.000]  他的僕人都要侍奉他
[00:00:31.000 --> 00:00:33.000]  我們就讀到這裡
[00:00:33.000 --> 00:00:38.000]  在這裡再一次歡迎這次來參加青年特會的每一位弟兄姊妹
[00:00:38.000 --> 00:00:42.000]  再次歡迎你們來
[00:00:42.000 --> 00:00:47.000]  感謝神這次我們青年特會有超過五百位弟兄姊妹
[00:00:47.000 --> 00:00:50.000]  從四十多間的教會來參加
[00:00:50.000 --> 00:00:55.000]  這幾天真的看見他們如此熱情的在敬拜
[00:00:55.000 --> 00:00:58.000]  這麼渴慕的在追求的時候
[00:00:58.000 --> 00:01:00.000]  我在林裡面就真的感覺到
[00:01:00.000 --> 00:01:04.000]  好像有新的一波復興的浪潮
[00:01:04.000 --> 00:01:09.000]  已經從我們中間開始湧流了
[00:01:09.000 --> 00:01:12.000]  我相信這幾天透過講員的訊息
[00:01:12.000 --> 00:01:14.000]  透過精彩的活動
[00:01:14.000 --> 00:01:17.000]  每一位弟兄姊妹都有豐富的得著
[00:01:17.000 --> 00:01:19.000]  我也相信復興的火焰
[00:01:19.000 --> 00:01:24.000]  會從這裡能夠一同帶回到每一個分堂當中
[00:01:24.000 --> 00:01:26.000]  謝謝你們
[00:01:26.000 --> 00:01:29.000]  特別特別要感謝我們教會很多弟兄姊妹
[00:01:29.000 --> 00:01:32.000]  我知道真的是無論是幕前幕後
[00:01:32.000 --> 00:01:38.000]  真的是擺上很多來服侍這次參加特會的弟兄姊妹
[00:01:38.000 --> 00:01:41.000]  我們特別為我們教會這些義工們
[00:01:41.000 --> 00:01:43.000]  我們來感謝他們好不好
[00:01:43.000 --> 00:01:45.000]  謝謝
[00:01:45.000 --> 00:01:48.000]  弟兄姊妹
[00:01:48.000 --> 00:01:51.000]  這些年當我在侍奉的過程當中
[00:01:51.000 --> 00:01:56.000]  我越來越看見建造教會的重要性
[00:01:56.000 --> 00:01:59.000]  教會需要被建造起來
[00:01:59.000 --> 00:02:05.000]  然後每一個信徒在其中才能夠一同被建造
[00:02:05.000 --> 00:02:07.000]  過去在華人教會裡面
[00:02:07.000 --> 00:02:11.000]  我們常常會比較看重個人靈命的成長
[00:02:11.000 --> 00:02:16.000]  我們比較看重我們與神關係的建立
[00:02:16.000 --> 00:02:18.000]  所以我們在教會當中
[00:02:18.000 --> 00:02:22.000]  很少看重在教會的建造這件事情上
[00:02:22.000 --> 00:02:24.000]  所以以至於在華人教會當中
[00:02:24.000 --> 00:02:28.000]  我們常常看到有很多很好的基督徒
[00:02:28.000 --> 00:02:31.000]  非常盡前生活很有見證
[00:02:31.000 --> 00:02:34.000]  但教會卻沒有被建造起來
[00:02:34.000 --> 00:02:38.000]  以至於華人教會常常對這個世界
[00:02:38.000 --> 00:02:42.000]  我們失去了我們應當有的影響力
[00:02:42.000 --> 00:02:44.000]  但事實上今天教會
[00:02:44.000 --> 00:02:46.000]  神的心意在教會當中
[00:02:46.000 --> 00:02:51.000]  不但是要有更多或者更好的基督徒而已
[00:02:51.000 --> 00:02:54.000]  神的心意是要在我們中間
[00:02:54.000 --> 00:03:00.000]  要建立一個有使命的群體來影響世界
[00:03:00.000 --> 00:03:03.000]  這是為什麼這次青年特會的主題
[00:03:03.000 --> 00:03:07.000]  就是要建造神榮耀的教會
[00:03:07.000 --> 00:03:11.000]  教會必須要先被建造起來
[00:03:11.000 --> 00:03:16.000]  然後個別的信徒在其中才能夠被建造
[00:03:16.000 --> 00:03:18.000]  那你說我們要怎麼樣
[00:03:18.000 --> 00:03:21.000]  來一同建造神榮耀的教會呢
[00:03:21.000 --> 00:03:23.000]  在今天我們所讀的經文
[00:03:23.000 --> 00:03:26.000]  啟示錄第二十二章第一節到第三節當中
[00:03:26.000 --> 00:03:28.000]  我們看見在這裡描述了一個
[00:03:28.000 --> 00:03:31.000]  天上教會的一個樣式
[00:03:31.000 --> 00:03:34.000]  在這個天上教會的樣式裡面
[00:03:34.000 --> 00:03:38.000]  我們看見這個圖畫有四件東西在這裡面
[00:03:38.000 --> 00:03:40.000]  第一個看見是神的寶座
[00:03:40.000 --> 00:03:44.000]  第二個看見有江河從寶座流出來
[00:03:44.000 --> 00:03:48.000]  第三看見神的僕人圍繞著寶座
[00:03:48.000 --> 00:03:50.000]  第四看見生命河的旁邊
[00:03:50.000 --> 00:03:54.000]  有生命樹葉子為一致萬民
[00:03:54.000 --> 00:03:56.000]  我們從這些事情上看見
[00:03:56.000 --> 00:04:00.000]  建造教會四個很重要的策略
[00:04:00.000 --> 00:04:03.000]  第一個就是敬拜讚美的侍奉
[00:04:03.000 --> 00:04:08.000]  跟你們說敬拜讚美的侍奉
[00:04:08.000 --> 00:04:13.000]  神的寶座就代表著敬拜讚美的侍奉
[00:04:13.000 --> 00:04:14.000]  為什麼呢
[00:04:14.000 --> 00:04:16.000]  因為有一天當我們來到天上
[00:04:16.000 --> 00:04:19.000]  來到主的寶座面前的時候
[00:04:19.000 --> 00:04:23.000]  請問你要在主的寶座面前做什麼
[00:04:23.000 --> 00:04:26.000]  所有的牧師們我們都失業了不是嗎
[00:04:26.000 --> 00:04:29.000]  不用再講到了 哈利路亞
[00:04:29.000 --> 00:04:31.000]  姐妹們你也不用再做飯了
[00:04:31.000 --> 00:04:32.000]  哈利路亞應該說
