
[00:00:00.000 --> 00:00:02.240]  今天是大除夕
[00:00:02.240 --> 00:00:05.000]  在這裡跟大家拜祭早年
[00:00:05.000 --> 00:00:06.520]  新年進步
[00:00:06.520 --> 00:00:07.440]  新年快樂
[00:00:07.440 --> 00:00:12.760]  希望新的一年我們的靈命步步高升
[00:00:12.760 --> 00:00:14.600]  通常在這些時間
[00:00:14.600 --> 00:00:20.680]  傳媒會做一些回顧、預測
[00:00:20.680 --> 00:00:25.640]  最近英國一份頗受重視的刊物
[00:00:25.640 --> 00:00:28.520]  經濟學人The Economist
[00:00:28.520 --> 00:00:32.000]  亦做了一些預測
[00:00:32.000 --> 00:00:34.000]  其中一項預測是
[00:00:34.000 --> 00:00:39.440]  2024年將會是世界有史以來
[00:00:39.440 --> 00:00:43.000]  最多選舉的一年
[00:00:43.000 --> 00:00:46.280]  將會有七十多場選舉
[00:00:46.280 --> 00:00:48.560]  當然有些比較重要
[00:00:48.560 --> 00:00:49.240]  舉足輕重
[00:00:49.240 --> 00:00:50.440]  有些沒那麼重要
[00:00:50.440 --> 00:00:53.760]  可能是一些小國
[00:00:53.760 --> 00:00:58.000]  這些選舉所覆蓋的人口
[00:00:58.000 --> 00:01:02.040]  有四十二億人
[00:01:02.040 --> 00:01:06.080]  現在全世界有多少人口
[00:01:06.080 --> 00:01:07.600]  過了八十
[00:01:07.600 --> 00:01:08.800]  八十億人
[00:01:08.800 --> 00:01:11.520]  四十二億的人口
[00:01:11.520 --> 00:01:15.520]  在新的一年裡將會參與
[00:01:15.520 --> 00:01:18.440]  這場選舉當中的投票
[00:01:18.440 --> 00:01:19.600]  很厲害
[00:01:19.600 --> 00:01:21.440]  影響頗大
[00:01:21.440 --> 00:01:24.520]  還有一項預測
[00:01:24.520 --> 00:01:27.640]  亦與選舉有關
[00:01:27.640 --> 00:01:35.640]  經濟學人預測美國明年的總統大選
[00:01:35.640 --> 00:01:45.240]  當中特朗普將會有三分一的機會勝出
[00:01:45.240 --> 00:01:47.520]  大家都明白
[00:01:47.520 --> 00:01:51.440]  哪一位入主白宮
[00:01:51.440 --> 00:01:56.520]  都會對整個世界造成很大的影響
[00:01:56.520 --> 00:01:59.640]  而這場選舉的關鍵
[00:01:59.640 --> 00:02:06.360]  應該會在美國幾個搖擺州份的選民的取向
[00:02:06.360 --> 00:02:08.640]  舉足輕重
[00:02:08.640 --> 00:02:09.720]  即是說
[00:02:09.720 --> 00:02:12.160]  少數人的取向
[00:02:12.160 --> 00:02:16.240]  將會決定全世界人的命運
[00:02:16.240 --> 00:02:18.200]  厲不厲害
[00:02:18.200 --> 00:02:20.880]  經濟學人亦有另一項預測
[00:02:20.880 --> 00:02:29.840]  即是說2024年中美兩國將會進入新一輪的冷戰
[00:02:29.840 --> 00:02:32.960]  兩邊都會拉攏其他國家
[00:02:32.960 --> 00:02:35.040]  來支持自己
[00:02:35.040 --> 00:02:38.840]  不同的陣營將會進行角力
[00:02:38.840 --> 00:02:42.440]  另外世界上不同地方醞釀的衝突
[00:02:42.440 --> 00:02:44.600]  亦會逐步升級
[00:02:44.600 --> 00:02:48.240]  結果就是爆發更多的衝突
[00:02:48.240 --> 00:02:52.640]  即是說從這幾項的預測可以看到
[00:02:52.640 --> 00:02:57.400]  2024年我們期望世界和平
[00:02:57.400 --> 00:03:02.040]  可能機會率都比較低
[00:03:02.040 --> 00:03:10.760]  可能這一年世界的局勢依然會有比較動盪不安
[00:03:10.760 --> 00:03:12.760]  作為一個小市民
[00:03:12.760 --> 00:03:15.960]  其實我們難以左右大局
[00:03:15.960 --> 00:03:17.600]  但作為一個基督徒
[00:03:17.600 --> 00:03:19.720]  我們要做光、做焰
[00:03:19.720 --> 00:03:23.480]  我們就要從自己開始來做起
[00:03:23.480 --> 00:03:26.640]  在這個漆黑的世代裏面
[00:03:26.640 --> 00:03:29.360]  希望我們自己能夠成為一點燭光
[00:03:29.360 --> 00:03:33.200]  盼望為所身處的環境帶來一些改變
[00:03:33.200 --> 00:03:35.200]  但講是容易的
[00:03:35.200 --> 00:03:36.920]  怎樣可以做到呢
[00:03:36.920 --> 00:03:40.240]  今天我們看的約書亞的22章
[00:03:40.240 --> 00:03:46.800]  其實可以在當中看到以色列人做了一個挺好的示範
[00:03:46.800 --> 00:03:53.920]  告訴我們原來和平並不是遙不可及的事
[00:03:53.920 --> 00:03:58.720]  首先我想講講這段經文的一些背景
[00:03:58.720 --> 00:04:00.240]  大家還記不記得
[00:04:00.240 --> 00:04:02.680]  其實我們由差不多半年前開始
[00:04:02.680 --> 00:04:06.520]  我們駕務同工是講約書亞的事
