
[00:00:00.000 --> 00:00:03.000]  我們一齊先低頭來祈禱
[00:00:03.000 --> 00:00:05.320]  主耶穌我們在祢面前
[00:00:05.320 --> 00:00:07.240]  真是俯伏去敬拜祢
[00:00:07.240 --> 00:00:08.800]  去尊崇祢
[00:00:08.800 --> 00:00:11.680]  因為祢是天上的大君王
[00:00:11.680 --> 00:00:13.120]  但祢竟然
[00:00:13.120 --> 00:00:14.120]  就是這樣
[00:00:14.120 --> 00:00:16.600]  當我們還作罪人的時候
[00:00:16.600 --> 00:00:19.120]  祢就甘願為我們死
[00:00:19.120 --> 00:00:22.800]  叫我們不單脫離罪的捆綁
[00:00:22.800 --> 00:00:25.920]  而且給我們有一個新的生命
[00:00:25.920 --> 00:00:27.240]  這個新的生命
[00:00:27.240 --> 00:00:31.480]  可以不停地與主結連
[00:00:31.480 --> 00:00:33.160]  所以幫助我們
[00:00:33.160 --> 00:00:35.880]  在我們走這條天路的時候
[00:00:35.880 --> 00:00:38.760]  讓我們上上有上帝的話語
[00:00:38.760 --> 00:00:40.120]  來引導我們
[00:00:40.120 --> 00:00:41.480]  慰養我們
[00:00:41.480 --> 00:00:43.720]  今天我們一齊來參考
[00:00:43.720 --> 00:00:45.760]  提摩太后書的第一章
[00:00:45.760 --> 00:00:48.640]  我們求聖靈在當中引導我們
[00:00:48.640 --> 00:00:50.800]  看看昔日保羅
[00:00:50.800 --> 00:00:54.480]  怎樣提醒提摩太的時候
[00:00:54.480 --> 00:00:58.760]  今天同樣聖靈都是這樣提醒我們
[00:00:58.760 --> 00:01:01.200]  願聖靈引導我們進入真理
[00:01:01.200 --> 00:01:02.320]  明白真理
[00:01:02.320 --> 00:01:04.240]  又能夠實踐真理
[00:01:04.240 --> 00:01:05.520]  聽我們祈禱
[00:01:05.520 --> 00:01:07.520]  奉耶穌基督名求
[00:01:07.520 --> 00:01:10.360]  阿門
[00:01:10.360 --> 00:01:12.480]  今天跟大家來思想
[00:01:12.480 --> 00:01:15.240]  提摩太后書的第一章
[00:01:15.240 --> 00:01:19.400]  三到十四節
[00:01:19.400 --> 00:01:22.000]  這段的中心思想
[00:01:22.000 --> 00:01:27.000]  其實就是保羅告訴提摩太
[00:01:27.000 --> 00:01:29.760]  你是撐得住的
[00:01:29.760 --> 00:01:36.560]  然後就交了兩個很重要的任務給提摩太
[00:01:36.560 --> 00:01:39.600]  所以我們今天一齊來看
[00:01:39.600 --> 00:01:44.920]  保羅為甚麼來告訴提摩太
[00:01:44.920 --> 00:01:46.520]  你是撐得住的
[00:01:46.520 --> 00:01:49.080]  他又給了甚麼任務給提摩太
[00:01:49.080 --> 00:01:52.560]  我們一起翻開提摩太后書第一章
[00:01:52.560 --> 00:01:55.440]  剛才我們所讀的經文
[00:01:55.440 --> 00:02:00.240]  第一章三到十四節
[00:02:00.240 --> 00:02:03.520]  我們未看第三節的時候
[00:02:03.520 --> 00:02:05.200]  我們先了解一下
[00:02:05.200 --> 00:02:10.440]  當時保羅寫這本書的一些背景
[00:02:10.440 --> 00:02:13.880]  原來當保羅寫這本書的時候
[00:02:13.880 --> 00:02:18.880]  他已經將要面對死亡
[00:02:18.880 --> 00:02:19.960]  為甚麼呢
