
[00:00:00.000 --> 00:00:04.460]  有一個做生意的基督徒商人
[00:00:04.460 --> 00:00:08.880]  有一天他特別去教祈禱
[00:00:08.880 --> 00:00:11.620]  當他去教祈禱的時候
[00:00:11.620 --> 00:00:14.460]  發現裏面不是隻有他一個人
[00:00:14.460 --> 00:00:16.220]  還有另外一個人在祈禱
[00:00:16.220 --> 00:00:20.100]  他就跪在這個人的墓碑院的地方
[00:00:20.100 --> 00:00:22.260]  預備向神祈禱
[00:00:22.260 --> 00:00:25.280]  剛剛當他想要祈禱的時候
[00:00:25.780 --> 00:00:30.920]  無意中就聽到一個人向上帝祈求
[00:00:30.920 --> 00:00:33.460]  這個人向上帝祈求什麼呢?
[00:00:33.460 --> 00:00:35.560]  他說天父上帝我現在很需要一百塊錢
[00:00:35.560 --> 00:00:37.940]  因爲我有一筆債
[00:00:37.940 --> 00:00:39.100]  雖然是一點點的
[00:00:39.100 --> 00:00:40.760]  但是我連一百塊錢都負擔不起
[00:00:40.760 --> 00:00:42.460]  我不玩這筆債的時候
[00:00:42.460 --> 00:00:44.440]  我就有麻煩了
[00:00:44.440 --> 00:00:46.380]  他不是很想聽的
[00:00:46.380 --> 00:00:47.420]  不過離他不太遠
[00:00:47.420 --> 00:00:50.480]  聽到他含含沉沉地說這句話
[00:00:50.480 --> 00:00:53.500]  這個基督徒商人聽到之後
[00:00:53.500 --> 00:00:56.040]  就立刻拿着銀包
[00:00:56.040 --> 00:00:58.040]  然後一百塊錢的現鈔
[00:00:58.040 --> 00:01:01.340]  塞在那個還在祈禱的人的手裏
[00:01:01.340 --> 00:01:03.060]  他就在祈禱的時候
[00:01:03.060 --> 00:01:06.220]  他睜開眼睛看到手裏有一百塊錢
[00:01:06.220 --> 00:01:08.260]  當然很開心
[00:01:08.260 --> 00:01:11.100]  看着這個人向上帝聽他的祈禱
[00:01:11.100 --> 00:01:12.600]  連聲多謝
[00:01:12.600 --> 00:01:14.100]  於是他就走了
[00:01:14.100 --> 00:01:18.460]  然後這個基督徒商人就自己跪下
[00:01:18.460 --> 00:01:19.580]  合上雙眼
[00:01:19.580 --> 00:01:21.100]  向上帝祈禱
[00:01:22.020 --> 00:01:23.580]  聽到嗎 上帝
[00:01:23.580 --> 00:01:27.100]  現在你可以專心聽我一個人祈禱
[00:01:27.100 --> 00:01:31.700]  我們祈禱的時候
[00:01:31.700 --> 00:01:33.100]  有時候有沒有這種感覺
[00:01:33.100 --> 00:01:35.460]  到底上帝有沒有聽我祈禱呢
[00:01:35.460 --> 00:01:37.460]  而且全世界那麼多人
[00:01:37.460 --> 00:01:38.820]  那麼多基督徒
[00:01:38.820 --> 00:01:43.020]  只是聽我一個人在這裏祈禱
[00:01:43.020 --> 00:01:44.860]  這幾個星期
[00:01:44.860 --> 00:01:46.020]  其實從上個星期開始
[00:01:46.020 --> 00:01:49.340]  大家都知道我們講祈禱這個功課
[00:01:49.340 --> 00:01:51.460]  其實祈禱對大家來說
[00:01:51.460 --> 00:01:53.460]  應該就不是很陌生
[00:01:53.460 --> 00:01:55.300]  不過這幾個星期
[00:01:55.300 --> 00:01:57.300]  我想大家記住一件事
[00:01:57.300 --> 00:02:01.340]  上帝不一定聽我們的祈禱
[00:02:01.340 --> 00:02:02.140]  應該怎麼說呢
[00:02:02.140 --> 00:02:05.140]  上帝不一定是答應我們的祈禱
[00:02:05.140 --> 00:02:08.380]  上帝不一定是答應我們的祈禱
[00:02:08.380 --> 00:02:10.500]  但最重要的是什麼呢
[00:02:10.500 --> 00:02:14.660]  上帝有沒有隨聽我們的祈禱
[00:02:14.660 --> 00:02:15.460]  上個星期
[00:02:15.460 --> 00:02:16.420]  如果大家記得的時候
[00:02:16.420 --> 00:02:18.860]  我們講誰的祈禱
[00:02:18.860 --> 00:02:20.020]  上個星期
[00:02:20.020 --> 00:02:23.020]  講耶穌在黑西瑪利亞的祈禱
[00:02:23.020 --> 00:02:24.780]  記得嗎
[00:02:24.780 --> 00:02:25.780]  記得嗎
[00:02:25.780 --> 00:02:27.580]  記得
