
[00:00:00.000 --> 00:00:05.080]  前一遍我們看到耶穌基督去登山殿像
[00:00:05.080 --> 00:00:07.440]  我們說有登山前傳
[00:00:07.440 --> 00:00:11.720]  就問你說我是誰呢?
[00:00:11.720 --> 00:00:15.600]  耶穌特別帶我們回到蓋薩利亞菲勒比
[00:00:15.600 --> 00:00:21.040]  這個地方有非常多的拜偶像的廟宇
[00:00:21.040 --> 00:00:22.680]  「危訛高聳」
[00:00:22.680 --> 00:00:26.360]  也有蓋薩的廟宇
[00:00:26.360 --> 00:00:30.080]  去敬拜蓋薩一個很漂亮很大
[00:00:30.080 --> 00:00:33.920]  用大白色的大理石來做的地方
[00:00:33.920 --> 00:00:36.920]  在這個地方 耶穌就問
[00:00:36.920 --> 00:00:39.480]  你說我是誰呢?
[00:00:39.480 --> 00:00:40.880]  問門徒
[00:00:40.880 --> 00:00:43.200]  為什麼耶穌要這樣做呢?
[00:00:43.200 --> 00:00:45.600]  接著耶穌就帶門徒上山
[00:00:45.600 --> 00:00:48.920]  我們就會看看祂上山之前發生什麼事
[00:00:48.920 --> 00:00:51.840]  因為耶穌知道自己快要離開世界
[00:00:51.840 --> 00:00:54.440]  祂要找一個繼承人
[00:00:54.440 --> 00:00:58.200]  要繼承祂天國的使命
[00:00:58.200 --> 00:01:02.880]  你想想一定要對耶穌基督有一個很深切的認識
[00:01:02.880 --> 00:01:07.120]  才可以繼承祂主的使命
[00:01:07.120 --> 00:01:08.760]  所以主耶穌就問
[00:01:08.760 --> 00:01:10.760]  你說我是誰呢?
[00:01:10.760 --> 00:01:18.440]  而當時那幫門徒就引用一些正面對耶穌的看法
[00:01:18.440 --> 00:01:20.520]  記住耶穌在那個時候
[00:01:20.520 --> 00:01:24.920]  祂只是一個普通的病地侍衛 一個老師
[00:01:24.920 --> 00:01:26.920]  不過說話很有能力
[00:01:26.920 --> 00:01:28.920]  也深入淺出
[00:01:28.920 --> 00:01:33.920]  但是耶穌絕對不是一個普通的教師
[00:01:33.920 --> 00:01:35.320]  所以就要問
[00:01:35.320 --> 00:01:38.520]  那些人就說 耶穌你是什麼呢?
[00:01:38.520 --> 00:01:41.320]  你是先知其中一個
[00:01:41.320 --> 00:01:43.720]  你是以利亞
[00:01:43.720 --> 00:01:48.320]  你是耶利米
[00:01:48.320 --> 00:01:51.120]  那是不是真的那麼厲害呢?
[00:01:51.120 --> 00:01:55.120]  其實耶穌是不僅如此的
[00:01:55.120 --> 00:01:57.120]  我曾經用過一個比喻
[00:01:57.120 --> 00:01:59.120]  如果你是一個億萬富豪
[00:01:59.120 --> 00:02:01.720]  人家只稱你為百萬富翁
[00:02:01.720 --> 00:02:04.320]  你也不會滿足於這個答案的
[00:02:04.320 --> 00:02:07.320]  為什麼人們會叫祂是什麼呢?
[00:02:07.320 --> 00:02:10.920]  是耶利米 是施洗約翰
[00:02:10.920 --> 00:02:17.720]  我們可以上網 YouTube 聽聽我上一次的信息
[00:02:17.720 --> 00:02:21.320]  今天我們會來講誤導德福
[00:02:21.320 --> 00:02:25.320]  我會先跟大家分享這個畫面
[00:02:25.320 --> 00:02:27.320]  因為有那個 PowerPoint
[00:02:27.320 --> 00:02:30.320]  跟大家一起去分享
[00:02:30.320 --> 00:02:35.720]  當門徒去回答這些答案的時候
[00:02:35.720 --> 00:02:38.320]  其實這個對耶穌是很尊敬的
[00:02:38.320 --> 00:02:40.320]  視祂為施洗約翰
[00:02:40.320 --> 00:02:43.320]  以利亞和耶利米
[00:02:43.320 --> 00:02:46.720]  但是耶穌並不滿足於這些
[00:02:46.720 --> 00:02:48.720]  名不符實的尊敬
[00:02:48.720 --> 00:02:52.720]  而只有彼得很清楚的指出
[00:02:52.720 --> 00:02:55.720]  《馬大福金》第16章第16節
[00:02:55.720 --> 00:02:57.720]  彼得就說道
[00:02:57.720 --> 00:03:02.720]  「你是基督 是永生神的兒子」
[00:03:02.720 --> 00:03:06.720]  記住 今天主同樣會問我們
[00:03:06.720 --> 00:03:08.720]  你說我是誰呢?
[00:03:08.720 --> 00:03:12.720]  而不是問人家說我是誰
[00:03:12.720 --> 00:03:15.720]  我們要很個人的
[00:03:15.720 --> 00:03:18.720]  對主耶穌有深切的認識
[00:03:18.720 --> 00:03:23.720]  那我才能夠在我們的生命裏面受到影響
[00:03:23.720 --> 00:03:25.720]  而影響別人
[00:03:25.720 --> 00:03:28.720]  英國有一個很出名的報導家
[00:03:28.720 --> 00:03:30.720]  叫做George Whitefield
[00:03:30.720 --> 00:03:32.720]  他曾經問一個信徒
[00:03:32.720 --> 00:03:34.720]  你信的是什麼?
[00:03:34.720 --> 00:03:37.720]  我說 我信是教會所信的
[00:03:37.720 --> 00:03:41.720]  他就問 你教會信的是什麼?
[00:03:41.720 --> 00:03:46.720]  我教會所信的就是我所信的
[00:03:46.720 --> 00:03:47.720]  現在我問你
[00:03:47.720 --> 00:03:50.720]  你和你教會信的是什麼呢?
[00:03:50.720 --> 00:03:53.720]  這個人猶疑了一會
[00:03:53.720 --> 00:03:56.720]  就回答 我相信的都是一樣
[00:03:56.720 --> 00:03:58.720]  明白這個道理嗎?
[00:03:58.720 --> 00:04:01.720]  今天有時候是人云亦云
[00:04:01.720 --> 00:04:06.720]  今天我們不只是聽牧者的宣講
[00:04:06.720 --> 00:04:08.720]  主學的老師的教導
[00:04:08.720 --> 00:04:10.720]  或者其他人的見證
[00:04:10.720 --> 00:04:14.720]  甚至某一些神學家的論述
[00:04:14.720 --> 00:04:16.720]  這些都是二手之了
[00:04:16.720 --> 00:04:20.720]  我絕對不是否定牧者的講道
[00:04:20.720 --> 00:04:23.720]  我每一次講道都要好好的準備
[00:04:23.720 --> 00:04:25.720]  要好好的識經 然後去禱告
[00:04:25.720 --> 00:04:27.720]  然後去表達 是不是?
