
[00:00:00.000 --> 00:00:03.760]  好,我們一起祈禱先,好嗎?
[00:00:03.760 --> 00:00:04.760]  聖日主,我們感謝祢
[00:00:04.760 --> 00:00:10.080]  讓我們今晚帶著喜樂一起去聽祢的說話
[00:00:10.080 --> 00:00:13.340]  祢讓我們好像家人一樣
[00:00:13.340 --> 00:00:16.520]  聽神祢親自去吩咐我們
[00:00:16.520 --> 00:00:17.880]  親自去教導我們
[00:00:17.880 --> 00:00:19.400]  親自去光照我們
[00:00:19.400 --> 00:00:20.760]  讓祢的愛在我們當中
[00:00:20.760 --> 00:00:24.320]  讓我們知道在天父的懷裡
[00:00:24.320 --> 00:00:28.280]  我們個個都是祢所愛的兒女
[00:00:28.280 --> 00:00:30.480]  這個身份沒有任何人可以奪去
[00:00:30.480 --> 00:00:33.480]  讓祢的平安、祢的臨在帶領我們
[00:00:33.480 --> 00:00:34.640]  聽我們的禱告
[00:00:34.640 --> 00:00:38.200]  奉耶穌基督得成的名,Amen
[00:00:38.200 --> 00:00:39.840]  在美國紐約
[00:00:39.840 --> 00:00:43.520]  有一個猶太人走進銀行
[00:00:43.520 --> 00:00:47.680]  跟一個貸款部經理說
[00:00:47.680 --> 00:00:50.160]  他說:我想借錢
[00:00:50.160 --> 00:00:54.280]  貸款部經理說:先生,你想借多少錢?
[00:00:54.280 --> 00:00:57.280]  猶太人說:我要借一元
[00:00:57.280 --> 00:00:58.480]  一元?
[00:00:58.480 --> 00:01:00.800]  是的,借一元
[00:01:00.800 --> 00:01:02.520]  行不行?
[00:01:02.520 --> 00:01:06.760]  貸款部經理說:哦!行!
[00:01:06.760 --> 00:01:07.920]  如果你有抵押
[00:01:07.920 --> 00:01:10.120]  其實多借一點也可以
[00:01:10.120 --> 00:01:12.160]  猶太人就這樣說
[00:01:12.160 --> 00:01:22.400]  他說:我現在就把一千萬美金的票據放在那裡
[00:01:22.400 --> 00:01:27.840]  就借一元
[00:01:27.840 --> 00:01:30.280]  就連息一來
[00:01:30.280 --> 00:01:32.600]  貸款部經理就更加膽怯了
[00:01:32.600 --> 00:01:35.160]  於是他就要問
[00:01:35.160 --> 00:01:39.120]  先生,其實你把一千萬美金的票據放進來
[00:01:39.120 --> 00:01:41.960]  做抵押,借一元
[00:01:41.960 --> 00:01:44.440]  我不是很明白
[00:01:44.440 --> 00:01:46.040]  猶太人就說
[00:01:46.040 --> 00:01:47.440]  你不用擔心
[00:01:47.440 --> 00:01:49.760]  這些票據全部都是真的
[00:01:49.760 --> 00:01:51.400]  我來貴行之前
[00:01:51.400 --> 00:01:56.640]  我走過很多間保險商的金庫
[00:01:56.640 --> 00:01:59.120]  他們的租金實在太貴了
[00:01:59.120 --> 00:02:03.520]  於是我就把一千萬的票據全日來做抵押
[00:02:03.520 --> 00:02:04.520]  借一元
[00:02:04.520 --> 00:02:06.000]  連息一來
[00:02:06.000 --> 00:02:07.200]  一毛錢
[00:02:07.200 --> 00:02:09.680]  你說租金有多抵押呢?
[00:02:09.680 --> 00:02:11.160]  他掃口行不行?
[00:02:11.160 --> 00:02:13.840]  這裡有些精算的
[00:02:13.840 --> 00:02:17.880]  我想他掃口應該都可以的
[00:02:17.880 --> 00:02:20.080]  猶太人真的很聰明
[00:02:20.080 --> 00:02:21.560]  很出色的
[00:02:21.560 --> 00:02:24.280]  我們數上去歷史上
[00:02:24.280 --> 00:02:27.760]  或者近代也有很多很出色的猶太人
[00:02:27.760 --> 00:02:29.240]  譬如什麼呢?
[00:02:29.240 --> 00:02:32.160]  大家聽過《原子之父》
[00:02:32.160 --> 00:02:35.640]  發現相對論的愛因斯坦
[00:02:35.640 --> 00:02:41.000]  甚至發明共產主義的卡爾馬克斯
[00:02:41.000 --> 00:02:42.680]  都是猶太人
[00:02:42.680 --> 00:02:44.480]  還有大家不假
[00:02:44.480 --> 00:02:47.520]  我們化名的不假思索的畢加索
[00:02:47.520 --> 00:02:49.280]  也是猶太人
[00:02:49.280 --> 00:02:52.200]  史蒂芬·羅伯特也是猶太人
[00:02:52.200 --> 00:02:55.080]  你數下去其實有很多很多猶太人
