
[00:00:00.000 --> 00:00:04.640]  今天我們要分享的題目是「耶穌幫到你」
[00:00:04.640 --> 00:00:08.520]  我不知道當聽到「幫到你」這三個字的時候
[00:00:08.520 --> 00:00:09.840]  你會想到甚麼
[00:00:09.840 --> 00:00:12.720]  或者我不知道你有沒有看電視的時候
[00:00:12.720 --> 00:00:17.600]  經常都有一些廣告說有些公司幫到你
[00:00:17.600 --> 00:00:19.360]  那些通常是甚麼公司
[00:00:19.360 --> 00:00:20.480]  財務公司吧
[00:00:20.480 --> 00:00:22.720]  通常都是有一些財務公司
[00:00:22.720 --> 00:00:25.080]  特別是如果你深夜好像我都未睡覺
[00:00:25.080 --> 00:00:26.600]  又想著看電視的時候
[00:00:26.600 --> 00:00:28.560]  深夜有很多廣告
[00:00:28.560 --> 00:00:31.800]  都會說財務公司是幫到你
[00:00:31.800 --> 00:00:35.240]  但其實當我們真的遇到經濟困難的時候
[00:00:35.240 --> 00:00:38.680]  財務公司又是否真的幫到我們呢
[00:00:38.680 --> 00:00:42.240]  很多時其實在我們很多經濟需要的背後
[00:00:42.240 --> 00:00:46.760]  其實可能有更加深層的事是需要處理的
[00:00:46.760 --> 00:00:49.760]  我記得當我在神學院實習的時候
[00:00:49.760 --> 00:00:52.880]  我去了一個戒賭的機構那裡實習
[00:00:52.880 --> 00:00:57.360]  那時跟著牧師去每天見很多不同的個案
[00:00:57.360 --> 00:01:00.640]  每一個個案來找機構幫助的
[00:01:00.640 --> 00:01:03.560]  一定有他財務的需要
[00:01:03.560 --> 00:01:06.960]  但我記得差不多每一次牧師都一定會說
[00:01:06.960 --> 00:01:09.520]  你千萬不要找財務公司
[00:01:09.520 --> 00:01:12.240]  財務公司幫不到你
[00:01:12.240 --> 00:01:12.960]  不單止是這樣
[00:01:12.960 --> 00:01:16.640]  很多時如果受災人和他家人一齊來的時候
[00:01:16.640 --> 00:01:18.200]  牧師會再加一句
[00:01:18.200 --> 00:01:21.040]  家人你千萬不要給錢他
[00:01:21.040 --> 00:01:23.880]  因為這一刻錢都幫不到他
[00:01:23.880 --> 00:01:25.520]  你再幫他還
[00:01:25.520 --> 00:01:28.160]  但他不處理下面問題的時候
[00:01:28.160 --> 00:01:32.400]  你只會令他更加泥足深陷
[00:01:32.400 --> 00:01:35.520]  所以有一些東西可能幫到我們的表面
[00:01:35.520 --> 00:01:39.480]  但不能夠幫到我們內裡深層的需要
[00:01:39.480 --> 00:01:42.360]  另外我不知道你有沒有看過一些廣告
[00:01:42.360 --> 00:01:44.840]  說有一些產品幫到你的
[00:01:44.840 --> 00:01:47.840]  很多時我去上社交媒體的時候
[00:01:47.840 --> 00:01:50.320]  就會見到很多日用品的產品
[00:01:50.320 --> 00:01:52.160]  他都說那些產品幫到你的
[00:01:52.160 --> 00:01:56.600]  其中一件事就是這些洗波鞋的清潔劑
[00:01:56.600 --> 00:01:59.080]  因為我有一雙波鞋
[00:01:59.080 --> 00:02:01.560]  跟我太太是情侶鞋
[00:02:01.560 --> 00:02:04.720]  但不知為何他穿著來穿著去都很潔白
[00:02:04.720 --> 00:02:06.800]  我穿著很快就已經黃金金
[00:02:06.800 --> 00:02:07.720]  於是我就想
[00:02:07.720 --> 00:02:11.360]  我怎樣可以去清潔這雙波鞋呢
[00:02:11.360 --> 00:02:16.240]  我經常上社交媒體看到很多這些產品的廣告
[00:02:16.240 --> 00:02:19.520]  這些產品很多時都說是日本製造的
[00:02:19.520 --> 00:02:22.880]  所以他們都會有一些日文的短片
[00:02:22.880 --> 00:02:26.120]  例如一個洗波鞋的廣告
[00:02:26.120 --> 00:02:27.280]  他們會有一個清潔劑
[00:02:27.280 --> 00:02:30.080]  我是說日文 我不懂日文
[00:02:30.080 --> 00:02:32.560]  然後就這樣穿上去
[00:02:32.560 --> 00:02:34.560]  然後就這樣穿上去
[00:02:34.560 --> 00:02:37.480]  本來是很黃金金的鞋
[00:02:37.480 --> 00:02:40.040]  現在擦上去 嘩 馬上潔白
[00:02:40.040 --> 00:02:42.480]  最後總是會有這種情節
[00:02:42.480 --> 00:02:45.440]  最後就 嘩 叮
[00:02:45.440 --> 00:02:50.000]  然後我就 嘩 這些波鞋的產品幫到我
[00:02:50.000 --> 00:02:54.840]  但其實我又很怕要跟網上的資料去買東西
[00:02:54.840 --> 00:02:57.680]  所以我看完之後我心裡經常記住
[00:02:57.680 --> 00:02:59.360]  但我又沒有特別去買
[00:02:59.360 --> 00:03:01.600]  但大家知道二月的時候
[00:03:01.600 --> 00:03:04.000]  我跟太太去了日本旅行
[00:03:04.000 --> 00:03:07.800]  所以我去那些日用家品公司的時候
[00:03:07.800 --> 00:03:10.520]  我特別去留意這些波鞋清潔劑
[00:03:10.520 --> 00:03:13.000]  即是給我有一次在貨架上看到
[00:03:13.000 --> 00:03:16.760]  但如果大家去日本 貨架通常都是有一個小電視
[00:03:16.760 --> 00:03:18.320]  那個小電視又是播放了一段影片
[00:03:18.320 --> 00:03:19.560]  我找到了那段影片
[00:03:19.560 --> 00:03:25.160]  找到那段影片就是 嘩 嘢嘢嘢 嘢嘩 嘢
[00:03:25.160 --> 00:03:27.000]  然後我就 嘩 正啊
[00:03:27.000 --> 00:03:30.120]  我終於找到我在社交媒體很想買清潔劑了
[00:03:30.120 --> 00:03:31.880]  其實那時候蘇已經提醒我
[00:03:31.880 --> 00:03:33.960]  他說你真的相信的
[00:03:33.960 --> 00:03:36.000]  我說有影片看的
[00:03:36.000 --> 00:03:38.240]  於是我就買了那些清潔劑
[00:03:38.240 --> 00:03:39.760]  還買了那個鞋刷
[00:03:39.760 --> 00:03:41.400]  一次過就拿回香港了
