
[00:00:00.000 --> 00:00:08.000]  所謂有志者是警城
[00:00:08.000 --> 00:00:15.000]  一個人如果可以去納定他人生的志向
[00:00:15.000 --> 00:00:18.000]  不斷的努力
[00:00:18.000 --> 00:00:21.000]  一定可以成功
[00:00:21.000 --> 00:00:27.000]  就算會遭遇有很多的困難
[00:00:27.000 --> 00:00:33.000]  他也會跨過
[00:00:33.000 --> 00:00:36.000]  你一生的志向是什麼呢?
[00:00:36.000 --> 00:00:40.000]  有沒有志向?
[00:00:40.000 --> 00:00:44.000]  在聖經有一個人
[00:00:44.000 --> 00:00:47.000]  他叫保羅
[00:00:47.000 --> 00:00:52.000]  他一生有一個志向
[00:00:52.000 --> 00:01:01.000]  就是要做一個侍奉神的人
[00:01:01.000 --> 00:01:03.000]  他的志向
[00:01:03.000 --> 00:01:06.000]  在哥倫多後書第三章
[00:01:06.000 --> 00:01:13.000]  用了兩個說話表明了出來
[00:01:13.000 --> 00:01:16.000]  就是在第一點的引言
[00:01:16.000 --> 00:01:20.000]  我用了比較現代版的聖經去讀
[00:01:20.000 --> 00:01:23.000]  這個就是他的志向
[00:01:23.000 --> 00:01:27.000]  他說:我們為人處事
[00:01:27.000 --> 00:01:32.000]  既不讓任何人因我們叛島
[00:01:32.000 --> 00:01:40.000]  也不讓任何人在我們的事工上找到過失
[00:01:40.000 --> 00:01:43.000]  以致在我們所做的每一件事情上
[00:01:43.000 --> 00:01:47.000]  都表明我們是真正的神的僕役
[00:01:47.000 --> 00:01:50.000]  這是他一生的志向
[00:01:50.000 --> 00:01:52.000]  他的志向很簡單
[00:01:52.000 --> 00:01:53.000]  第一
[00:01:53.000 --> 00:01:56.000]  我不要讓別人跌倒
[00:01:56.000 --> 00:02:00.000]  我不要讓別人因我而去叛島
[00:02:00.000 --> 00:02:03.000]  這是第一個志向
[00:02:03.000 --> 00:02:05.000]  沒有人說
[00:02:05.000 --> 00:02:07.000]  我不會去教會
[00:02:07.000 --> 00:02:08.000]  我不相信耶穌
[00:02:08.000 --> 00:02:10.000]  因為你講了這句說話
