
[00:00:00.000 --> 00:00:03.000]  給大家看一幅圖畫
[00:00:03.000 --> 00:00:05.000]  四甲漫畫
[00:00:05.000 --> 00:00:07.000]  不知道大家猜不猜得到
[00:00:07.000 --> 00:00:11.000]  一句豔語或者一句成語呢
[00:00:11.000 --> 00:00:13.000]  很快就聽到了
[00:00:13.000 --> 00:00:16.000]  國家自述門前說
[00:00:16.000 --> 00:00:19.000]  下一句是什麼
[00:00:19.000 --> 00:00:20.000]  很多種說法
[00:00:20.000 --> 00:00:22.000]  哪管他人瓦尚霜
[00:00:22.000 --> 00:00:25.000]  或者休管他人瓦尚霜
[00:00:25.000 --> 00:00:28.000]  莫管他人瓦尚霜
[00:00:28.000 --> 00:00:30.000]  比如人顧好自己的事
[00:00:30.000 --> 00:00:32.000]  不要多管閒事
[00:00:32.000 --> 00:00:36.000]  或者諷刺一些人太過明哲保身
[00:00:36.000 --> 00:00:39.000]  只顧自己不顧他人
[00:00:39.000 --> 00:00:41.000]  自己的事當然要自己顧
[00:00:41.000 --> 00:00:45.000]  等於別人的事我們應不應該管
[00:00:45.000 --> 00:00:48.000]  今天香港社會人與人之間的關係
[00:00:48.000 --> 00:00:49.000]  越來越疏離
[00:00:49.000 --> 00:00:52.000]  甚至可以說越來越冷漠
[00:00:52.000 --> 00:00:54.000]  其實教會也是
[00:00:54.000 --> 00:00:56.000]  有時我們好心關心
[00:00:56.000 --> 00:00:57.000]  好言相勸
[00:00:57.000 --> 00:00:59.000]  換來一句說話是什麼
[00:00:59.000 --> 00:01:02.000]  你好多事
[00:01:02.000 --> 00:01:04.000]  上次講道的時候
[00:01:04.000 --> 00:01:06.000]  向大家介紹一對夫婦
[00:01:06.000 --> 00:01:09.000]  他們是在保羅宣教的工作上
[00:01:09.000 --> 00:01:11.000]  高兩位很重要的童工
[00:01:11.000 --> 00:01:13.000]  阿基拉和伯基拉
[00:01:13.000 --> 00:01:17.000]  這對夫婦容讓別人干擾他們
[00:01:17.000 --> 00:01:19.000]  他們爲了支持保羅
[00:01:19.000 --> 00:01:21.000]  不單單願意生活被打擾
[00:01:21.000 --> 00:01:24.000]  工作和生意被打擾
[00:01:24.000 --> 00:01:27.000]  甚至他們的人生的計劃都願意改變
[00:01:27.000 --> 00:01:29.000]  今天要繼續講這對夫婦
[00:01:29.000 --> 00:01:32.000]  但不是講他們與保羅的相處
[00:01:32.000 --> 00:01:35.000]  是講他們與另外一個聖經裏面
[00:01:35.000 --> 00:01:38.000]  很重要的人物叫阿波羅的相處
[00:01:38.000 --> 00:01:40.000]  他們爲了幫助阿波羅
[00:01:40.000 --> 00:01:42.000]  是願意幹涉他的生命
[00:01:42.000 --> 00:01:44.000]  但干涉他不是八卦
[00:01:44.000 --> 00:01:46.000]  不是拆毀
[00:01:46.000 --> 00:01:49.000]  而是洗阿波羅對神的話語
[00:01:49.000 --> 00:01:50.000]  有更多的認識
[00:01:50.000 --> 00:01:52.000]  洗阿波羅的侍奉
[00:01:52.000 --> 00:01:54.000]  有更完整的裝備
[00:01:54.000 --> 00:01:58.000]  以致他可以蒙主大大使用
[00:01:58.000 --> 00:02:02.000]  重溫一下保羅在第二次宣教旅程的行程
[00:02:02.000 --> 00:02:05.000]  他在特洛亞見到馬其頓異象之後
[00:02:05.000 --> 00:02:07.000]  就轉去歐洲全都
[00:02:07.000 --> 00:02:09.000]  先後經過幾個地方
[00:02:09.000 --> 00:02:13.000]  就是菲律賓、貼撒羅爾加、比利亞和雅典這些城市
[00:02:13.000 --> 00:02:16.000]  之後就去到哥林多
[00:02:16.000 --> 00:02:20.000]  投靠了阿基拉、伯基拉這對夫婦
[00:02:20.000 --> 00:02:22.000]  記不記得住了多久在那裏
[00:02:22.000 --> 00:02:24.000]  一年半
[00:02:24.000 --> 00:02:25.000]  十八個月
[00:02:25.000 --> 00:02:27.000]  十八節就告訴我們
[00:02:27.000 --> 00:02:31.000]  保羅在哥林多住了一段日子
[00:02:31.000 --> 00:02:33.000]  就辭別了弟兄
[00:02:33.000 --> 00:02:35.000]  去到哪裏呢
[00:02:35.000 --> 00:02:36.000]  就去到敘利亞
[00:02:36.000 --> 00:02:38.000]  敘利亞再交代
[00:02:38.000 --> 00:02:39.000]  那是哪裏呢
[00:02:39.000 --> 00:02:42.000]  就短短的時間逗留在堅格里
[00:02:42.000 --> 00:02:46.000]  然後就去到以弗所
[00:02:46.000 --> 00:02:47.000]  就在以弗所的地方
[00:02:47.000 --> 00:02:50.000]  連阿基拉、伯基拉都和他們一起去
[00:02:50.000 --> 00:02:53.000]  不過之後保羅就繼續自己的行程
[00:02:53.000 --> 00:02:57.000]  阿基拉、伯基拉這對夫婦留在以弗所
[00:02:57.000 --> 00:02:59.000]  二十節至二十三節我不詳細讀
[00:02:59.000 --> 00:03:02.000]  但就交代保羅如何離別他們
[00:03:02.000 --> 00:03:05.000]  然後就繼續他的行程
[00:03:05.000 --> 00:03:09.000]  我們看那幅圖就知道保羅繼續去哪裏呢
[00:03:09.000 --> 00:03:11.000]  你繼續看到他在以弗所的地方
[00:03:11.000 --> 00:03:12.000]  然後去敘利亞
[00:03:12.000 --> 00:03:13.000]  又去耶路撒冷
[00:03:13.000 --> 00:03:14.000]  去阿提阿
[00:03:14.000 --> 00:03:15.000]  然後去加拉泰
[00:03:15.000 --> 00:03:17.000]  再去弗里加
[00:03:17.000 --> 00:03:19.000]  這是保羅的行程
[00:03:19.000 --> 00:03:22.000]  第三次保羅的行程就由以弗所開始
[00:03:22.000 --> 00:03:24.000]  一會兒我們會講的
[00:03:24.000 --> 00:03:27.000]  那個鏡頭本來就講保羅的行程
[00:03:27.000 --> 00:03:29.000]  來到二十四節
[00:03:29.000 --> 00:03:30.000]  好像拍戲一樣
[00:03:30.000 --> 00:03:33.000]  就回來講在以弗所
[00:03:33.000 --> 00:03:35.000]  講另一個人物
[00:03:35.000 --> 00:03:36.000]  第二十四節
[00:03:36.000 --> 00:03:39.000]  有一個猶太人名叫阿波羅
[00:03:39.000 --> 00:03:42.000]  他來到以弗所
[00:03:42.000 --> 00:03:46.000]  所以要介紹給大家的就是阿波羅這個人物
[00:03:46.000 --> 00:03:49.000]  阿波羅這個人物有什麼特別呢
[00:03:49.000 --> 00:03:52.000]  在二十四節下半節就告訴我們
[00:03:52.000 --> 00:03:54.000]  他有一些特徵
[00:03:54.000 --> 00:03:55.000]  當然繼續講
[00:03:55.000 --> 00:03:58.000]  就講他總共四個特徵
[00:03:58.000 --> 00:04:01.000]  他生在亞歷山泰
[00:04:01.000 --> 00:04:03.000]  是有學問
[00:04:03.000 --> 00:04:06.000]  並且是最能夠講解聖經的
[00:04:06.000 --> 00:04:09.000]  他第一個特徵是提到他的出生
[00:04:09.000 --> 00:04:11.000]  和他的專長
[00:04:11.000 --> 00:04:14.000]  亞歷山泰或亞歷山大
[00:04:14.000 --> 00:04:16.000]  在羅馬的地方
[00:04:16.000 --> 00:04:19.000]  是第二個大城市
[00:04:19.000 --> 00:04:24.000]  很多猶太人聚居聚集的城市
[00:04:24.000 --> 00:04:26.000]  又是學術的中心
[00:04:26.000 --> 00:04:30.000]  希羅哲學研究的中心
[00:04:30.000 --> 00:04:32.000]  很出名的就是出那些
