
[00:00:00.000 --> 00:00:02.800]  各位電視姐妹 各位來賓 早晨
[00:00:02.800 --> 00:00:05.520]  剛剛過了里約的奧運
[00:00:05.520 --> 00:00:09.400]  現在是里約的殘奧運也在進行中
[00:00:09.400 --> 00:00:11.720]  我想問大家一個問題
[00:00:11.720 --> 00:00:15.920]  奧運的選手有什麼任務呢
[00:00:15.920 --> 00:00:19.480]  奧運的選手去到
[00:00:19.480 --> 00:00:22.560]  奧運的比賽裏面
[00:00:22.560 --> 00:00:24.280]  他們有什麼任務
[00:00:24.280 --> 00:00:27.480]  有什麼任務
[00:00:27.480 --> 00:00:29.840]  拿獎牌
[00:00:31.000 --> 00:00:33.400]  這是很理所當然的想法
[00:00:33.400 --> 00:00:35.360]  大家想想
[00:00:35.360 --> 00:00:40.000]  有多少個運動員真的拿到獎牌回家
[00:00:40.000 --> 00:00:43.040]  一個比賽裏面只有三個人
[00:00:43.040 --> 00:00:46.640]  冠 繼 軍可以拿到獎牌
[00:00:46.640 --> 00:00:49.760]  其他人都是空手而回
[00:00:49.760 --> 00:00:52.000]  如果這樣
[00:00:52.000 --> 00:00:53.920]  譬如我們香港隊
[00:00:53.920 --> 00:00:56.600]  今屆我印象中好像沒有拿到任何獎牌
[00:00:56.600 --> 00:00:57.720]  我有沒有記錯
[00:00:58.880 --> 00:01:02.440]  香港隊是否每個人都沒有完成任務就回香港
[00:01:02.440 --> 00:01:09.240]  究竟奧運選手的任務是否只拿獎牌
[00:01:09.240 --> 00:01:11.480]  我自己的看法
[00:01:11.480 --> 00:01:15.440]  透過今天我想和大家說的英文
[00:01:15.440 --> 00:01:17.720]  我覺得不一定是
[00:01:17.720 --> 00:01:19.200]  是什麼呢
[00:01:19.200 --> 00:01:21.800]  先賣個關子 吊吓你人
[00:01:21.800 --> 00:01:23.520]  我最後才解答你
[00:01:23.520 --> 00:01:25.960]  所以大家不要睡覺
[00:01:25.960 --> 00:01:28.120]  不要中途走出去
[00:01:28.120 --> 00:01:31.200]  有些事情沒有留意
[00:01:31.200 --> 00:01:34.280]  如果一個不小心錯過了
[00:01:34.280 --> 00:01:36.520]  就聽不到我所說的答案
[00:01:36.520 --> 00:01:38.120]  但無論如何
[00:01:38.120 --> 00:01:39.440]  去到奧運的人
[00:01:39.440 --> 00:01:43.320]  參加比賽一般都是想拿獎的
[00:01:43.320 --> 00:01:48.080]  人很想能夠得到榮譽
[00:01:48.080 --> 00:01:51.200]  有人的認同和讚賞是很正常
[00:01:51.200 --> 00:01:55.280]  不過我想人都不想出來個個當你透明
[00:01:55.280 --> 00:01:59.080]  甚至說你不出色 沒用
[00:01:59.080 --> 00:02:05.360]  我想人都很想被其他人認同
[00:02:05.360 --> 00:02:08.160]  甚至在別人面前有尊榮
[00:02:08.160 --> 00:02:10.280]  又或者用現代字眼
[00:02:10.280 --> 00:02:13.400]  都想被別人讚賞
[00:02:13.400 --> 00:02:17.400]  但如果我們過份追求被人讚賞
[00:02:17.400 --> 00:02:19.440]  過份追求自己的榮譽
[00:02:19.440 --> 00:02:23.440]  就可能會被別人討厭
[00:02:23.440 --> 00:02:30.440]  就可能會有相反的後果
[00:02:30.440 --> 00:02:35.240]  所以我今天的主題叫「博麗陷慾望」
[00:02:35.240 --> 00:02:38.040]  如果以一個運動員
[00:02:38.040 --> 00:02:40.920]  他抱著一個任務去到運動場
[00:02:40.920 --> 00:02:43.880]  當然他得到榮譽的方法
[00:02:43.880 --> 00:02:45.880]  就是要完成他的任務
[00:02:45.880 --> 00:02:51.160]  其實在我們作地上的任何角色
[00:02:51.160 --> 00:02:53.160]  都會有一個任務給我們
[00:02:53.160 --> 00:02:56.480]  如果我們要別人認同我們的時候
[00:02:56.480 --> 00:02:58.160]  得到榮譽的時候
[00:02:58.160 --> 00:03:02.360]  我相信我們需要去完成我們的任務
[00:03:02.360 --> 00:03:07.240]  僕人要完成任務才真正得到榮譽
[00:03:07.240 --> 00:03:12.560]  有人說現在這個世代是一個自戀的世代
[00:03:12.560 --> 00:03:16.360]  不單止因為互聯網的普及
[00:03:16.360 --> 00:03:18.360]  原來我看一些資料
[00:03:18.360 --> 00:03:20.040]  不知道大家記不記得
[00:03:20.040 --> 00:03:26.800]  原來十年前2006年美國紐約的一本雜誌
[00:03:26.800 --> 00:03:28.800]  Times Magazine 時代雜誌
[00:03:28.800 --> 00:03:31.520]  每年選一個風雲人物
[00:03:31.520 --> 00:03:33.120]  Person of the Year
[00:03:33.120 --> 00:03:36.120]  2006年的風雲人物是什麼人呢
[00:03:36.120 --> 00:03:37.840]  不知道大家有沒有印象
[00:03:37.840 --> 00:03:40.440]  就是You 就是你了
[00:03:40.440 --> 00:03:41.640]  你和我
[00:03:41.640 --> 00:03:45.360]  雜誌封面是一個電腦螢光幕
[00:03:45.360 --> 00:03:48.640]  上面只寫著You 你這個字
[00:03:48.640 --> 00:03:51.080]  背後就是銀色的反光紙
[00:03:51.080 --> 00:03:52.720]  你一拿起雜誌一看
[00:03:52.720 --> 00:03:53.920]  就看到自己的樣子
[00:03:53.920 --> 00:03:57.920]  然後寫著You 你就是那個風雲人物
[00:03:57.920 --> 00:03:58.840]  為什麼
[00:03:58.840 --> 00:04:01.720]  因為當時是反映YouTube
[00:04:01.720 --> 00:04:03.680]  再加上其他當然
[00:04:03.680 --> 00:04:05.360]  Facebook Twitter
[00:04:05.360 --> 00:04:07.760]  再有些什麼Blog
[00:04:07.760 --> 00:04:09.760]  這些電腦程式
[00:04:09.760 --> 00:04:12.400]  是讓我們能夠將自己
[00:04:12.400 --> 00:04:15.120]  去表達給全世界知道
[00:04:15.120 --> 00:04:17.040]  無論你透過Facebook 透過Blog
[00:04:17.040 --> 00:04:18.760]  你寫自己一些感想
[00:04:18.760 --> 00:04:20.440]  上載一些圖片
[00:04:20.440 --> 00:04:23.400]  或者更加你拍下一些自己的影片
[00:04:23.400 --> 00:04:24.560]  放上YouTube
[00:04:24.560 --> 00:04:26.400]  全世界人就認識你了
[00:04:26.400 --> 00:04:29.760]  你不再需要像以前沒有互聯網那樣
[00:04:29.760 --> 00:04:31.840]  這個世界只有很少人
[00:04:31.840 --> 00:04:33.760]  一些所謂有權勢出名
[00:04:33.760 --> 00:04:35.520]  Powerful and Famous People
[00:04:35.520 --> 00:04:38.120]  我都可以成為有名出名
[00:04:38.120 --> 00:04:39.360]  甚至影響世界的人
[00:04:39.360 --> 00:04:41.240]  只要我放上互聯網的東西
[00:04:41.240 --> 00:04:42.880]  多人看多人Like
[00:04:42.880 --> 00:04:45.160]  這樣就可以了
[00:04:45.160 --> 00:04:47.800]  甚至人不止今天
[00:04:47.800 --> 00:04:49.560]  你可以透過互聯網做一件事
[00:04:49.560 --> 00:04:51.560]  我發覺很多電視節目
[00:04:51.560 --> 00:04:53.840]  其實一直都在鼓吹人
[00:04:53.840 --> 00:04:56.160]  要發表自己 發揮自己
[00:04:56.160 --> 00:04:58.800]  美國和英國已經很多年
[00:04:58.800 --> 00:05:00.480]  有個節目叫
[00:05:00.480 --> 00:05:03.440]  Britain's Got Talent
[00:05:03.440 --> 00:05:05.760]  或者America's Got Talent
[00:05:05.760 --> 00:05:09.160]  香港也曾經有個類似節目
[00:05:09.160 --> 00:05:11.760]  什麼《傳一丁》
[00:05:11.760 --> 00:05:13.560]  是《傳一丁》
[00:05:13.560 --> 00:05:16.000]  什麼《傳美一丁》
[00:05:16.000 --> 00:05:17.080]  《傳英一丁》
[00:05:17.080 --> 00:05:18.960]  總之我可以表現
[00:05:18.960 --> 00:05:20.400]  你沒有表現不要緊
