
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹 主持人:平安!
[00:00:03.000 --> 00:00:10.000]  眨眼間來到司徒幸轉系列講道第九講
[00:00:10.000 --> 00:00:16.000]  上星期歐本院傳道跟我們講了「我信聖靈」
[00:00:16.000 --> 00:00:20.000]  今天的講道繼續是「我信聖兒宮之教會」
[00:00:20.000 --> 00:00:24.000]  「我信聖徒相通」的講題
[00:00:24.000 --> 00:00:28.000]  就是「高揚之妻 聖兒宮之教會」
[00:00:28.000 --> 00:00:35.000]  九次的講道 不知道大家司徒信經熟悉了沒有
[00:00:35.000 --> 00:00:39.000]  有沒有人倒轉都會背
[00:00:39.000 --> 00:00:45.000]  有時我們會陷入一種毛病是不自知的
[00:00:45.000 --> 00:00:48.000]  當我們背得越熟 或者看得越多的時候
[00:00:48.000 --> 00:00:54.000]  起初有一些疑問 我們很快就會忘記了
[00:00:54.000 --> 00:00:56.000]  就不再去看了
[00:00:56.000 --> 00:00:59.000]  我記得我第一次接觸司徒信經
[00:00:59.000 --> 00:01:02.000]  大概是信主之後三、四年
[00:01:02.000 --> 00:01:05.000]  回來香港探親的時候
[00:01:05.000 --> 00:01:07.000]  去一間教會 我沒有去過那間教會
[00:01:07.000 --> 00:01:10.000]  因為他背司徒信經 我第一次背
[00:01:10.000 --> 00:01:15.000]  背司徒信經
[00:01:15.000 --> 00:01:20.000]  我信上帝 我信主耶穌基督
[00:01:20.000 --> 00:01:22.000]  上帝獨生的子 我信聖靈
[00:01:22.000 --> 00:01:25.000]  完全沒有問題 是三位一體的信仰
[00:01:25.000 --> 00:01:28.000]  不過 接著我就停了一段時間
[00:01:28.000 --> 00:01:30.000]  我不知道讀好不讀好
[00:01:30.000 --> 00:01:33.000]  我信聖兒宮之教會 我信聖徒相通
[00:01:33.000 --> 00:01:36.000]  我信聚德赦免 我信身體復活 我信永生
[00:01:36.000 --> 00:01:40.000]  雖然信主不是很長時間
[00:01:40.000 --> 00:01:43.000]  不過想一想 我就是教會的一份子
[00:01:43.000 --> 00:01:46.000]  我有什麼資料 我有什麼背景
[00:01:46.000 --> 00:01:48.000]  我的心思意念是怎樣
[00:01:48.000 --> 00:01:53.000]  怎麼可能跟聖父 聖子 聖靈相提並論呢
[00:01:53.000 --> 00:01:55.000]  所以當時我很尷尬
[00:01:55.000 --> 00:01:59.000]  幸好一起讀 我不出聲都沒有人知道
[00:01:59.000 --> 00:02:01.000]  不過我心裡真的有掙扎
[00:02:01.000 --> 00:02:06.000]  教會裡面 當然我們都知道教會不是一座大廈
[00:02:06.000 --> 00:02:11.000]  是一群恩信稱義 蒙恩得救
[00:02:11.000 --> 00:02:13.000]  不過是一群蒙恩的罪人
[00:02:13.000 --> 00:02:16.000]  在分別為聖 在成聖的路上
[00:02:16.000 --> 00:02:19.000]  我們跌跌撞撞 有時候一跌一跌 趴在那裡
[00:02:20.000 --> 00:02:24.000]  怎麼可以跟三位一體的神並排呢
[00:02:24.000 --> 00:02:31.000]  聖徒相通 通不通 禱告通不通都明明的
[00:02:31.000 --> 00:02:34.000]  聖而公之教會 大哥說什麼
[00:02:34.000 --> 00:02:37.000]  聖公會我聽過 但是
[00:02:37.000 --> 00:02:42.000]  二三世紀聖公會還沒出現
[00:02:42.000 --> 00:02:45.000]  究竟聖而公教會又說什麼呢
[00:02:45.000 --> 00:02:48.000]  所以我會先跟大家探索一下
[00:02:48.000 --> 00:02:53.000]  我信聖靈後面這五個「我信」是什麼意思
[00:02:53.000 --> 00:02:55.000]  然後我們會再去處理
