
[00:00:00.000 --> 00:00:04.560]  今天我想跟大家一起看《撒母二記》上第四章
[00:00:04.560 --> 00:00:08.320]  有些以色列人打敗仗,去出絕招
[00:00:08.320 --> 00:00:09.640]  絕招是什麼?
[00:00:09.640 --> 00:00:11.760]  拿出一個藥櫃
[00:00:11.760 --> 00:00:15.160]  事件是否因為這個絕招而扭轉呢?
[00:00:15.160 --> 00:00:17.960]  我們今天一起去看這段經文
[00:00:17.960 --> 00:00:19.160]  所以大家可以嗎?
[00:00:19.160 --> 00:00:21.600]  我們一起有個禱告開始
[00:00:21.600 --> 00:00:25.640]  親愛的主,多謝你給我們一起崇拜的時間
[00:00:25.640 --> 00:00:29.560]  願你的話語親自成為我們祝福、幫助
[00:00:29.560 --> 00:00:33.040]  引領我們,並且神的聲音對我們說話
[00:00:33.040 --> 00:00:35.680]  叫我們明白、聽到、行到
[00:00:35.680 --> 00:00:38.280]  在我們生活、應用上去實踐
[00:00:38.280 --> 00:00:40.720]  聽我們簡討告、奉主名求
[00:00:40.720 --> 00:00:41.560]  阿們
[00:00:41.560 --> 00:00:44.960]  好,來頁,我們去回顧上一次
[00:00:44.960 --> 00:00:48.680]  如果你有印象,我上次是說《撒母二記》上第三章
[00:00:48.680 --> 00:00:49.640]  有印象嗎?
[00:00:49.640 --> 00:00:53.600]  就是說神去呼喚撒母二一個孩子
[00:00:53.600 --> 00:00:55.840]  那個印象大概就是他媽媽
[00:00:55.840 --> 00:00:59.720]  她是一個很大都生不了孩子,很憂愁
[00:00:59.720 --> 00:01:01.160]  之後她又呼求神
[00:01:01.160 --> 00:01:05.120]  同樣當時以色列都經歷著一些很大事情
[00:01:05.120 --> 00:01:06.840]  有個內憂外患
[00:01:06.840 --> 00:01:09.080]  有沒有印象是關於甚麼的?
[00:01:09.080 --> 00:01:11.720]  外患是有哪些人打他們?
[00:01:11.720 --> 00:01:15.680]  有菲律師人去打他們,去入侵他們的國土
[00:01:15.680 --> 00:01:18.080]  他們的群族的範圍
[00:01:18.080 --> 00:01:20.680]  之後內患,內憂,內憂是甚麼呢?
[00:01:20.680 --> 00:01:23.400]  就是他們祭司家族,即是以利祭司
[00:01:23.400 --> 00:01:25.920]  他們不知所謂,很腐敗
[00:01:25.920 --> 00:01:28.640]  以利的兩個兒子是一些惡人
[00:01:28.640 --> 00:01:30.480]  你的聖經形容是惡人
[00:01:30.480 --> 00:01:34.640]  他們會跟在聖殿侍奉的人去發生關係
[00:01:34.640 --> 00:01:37.560]  一些很想像不到的邪惡
[00:01:37.560 --> 00:01:41.520]  整個祭司家族,甚至整個宗教制度系統
[00:01:41.520 --> 00:01:43.080]  都在腐敗裏面
