
[00:00:00.000 --> 00:00:02.500]  這就是為什麼你們信主了
[00:00:02.500 --> 00:00:05.000]  神也知道說這世上不完美
[00:00:05.000 --> 00:00:06.700]  我為你預備一個永恆的家鄉
[00:00:06.700 --> 00:00:08.200]  是非常美的地方
[00:00:08.200 --> 00:00:11.200]  比現今你活的這個世界更精彩
[00:00:11.200 --> 00:00:12.200]  更豐盛
[00:00:12.200 --> 00:00:14.200]  可是暫時先不接你們走
[00:00:14.200 --> 00:00:14.800]  為什麼
[00:00:14.800 --> 00:00:16.200]  還有使命沒有完成
[00:00:16.200 --> 00:00:17.000]  什麼使命
[00:00:17.000 --> 00:00:19.000]  就是在水生活的當中
[00:00:19.000 --> 00:00:21.800]  你能夠怎麼樣用你有限的一生
[00:00:21.800 --> 00:00:24.600]  能夠活出更有價值的一些的影響力
[00:00:24.600 --> 00:00:26.600]  所以這是基督徒給我們的
[00:00:26.600 --> 00:00:28.600]  作為基督徒應該有的一個立場
[00:00:28.600 --> 00:00:31.200]  不是隨波逐流也不是獨善其身
[00:00:31.200 --> 00:00:32.200]  我躲起來就好了
[00:00:32.200 --> 00:00:34.700]  而是活在這個水生活當中
[00:00:34.700 --> 00:00:37.700]  如何去影響這麼一個世代
[00:00:37.700 --> 00:00:40.200]  這就是為什麼我們在這個系列裡面
[00:00:40.200 --> 00:00:43.200]  我們會選看一個舊約的人物
[00:00:43.200 --> 00:00:45.200]  上禮拜我們看了大衛
[00:00:45.200 --> 00:00:47.700]  那這禮拜我們會開始
[00:00:47.700 --> 00:00:49.700]  連續幾個禮拜看同一個人物
[00:00:49.700 --> 00:00:51.200]  那就是但依里
[00:00:51.200 --> 00:00:53.200]  他是舊約的一個先知
[00:00:53.200 --> 00:00:56.200]  那麼為什麼選他是因為有幾個原因
[00:00:56.200 --> 00:00:57.200]  他有幾個特點
[00:00:57.200 --> 00:00:59.200]  第一個特點是
[00:00:59.200 --> 00:01:01.200]  你知道聖經記載人物的時候
[00:01:01.200 --> 00:01:03.200]  通常還滿中肯的
[00:01:03.200 --> 00:01:05.200]  意思是說他記載一個人的好
