
[00:00:00.000 --> 00:00:03.240]  好 我們今天還是繼續來看那個傳道書
[00:00:03.240 --> 00:00:11.440]  那個傳道書我從前幾次看到是從傳道書的第四章看到第五章
[00:00:11.440 --> 00:00:14.600]  這個今天我大概會把它完成了
[00:00:14.600 --> 00:00:18.440]  這個大家都可以暫時離開那個傳道書
[00:00:18.440 --> 00:00:23.840]  那個我把今天所以我是最後的那個第五章的十八到二十節
[00:00:23.840 --> 00:00:28.680]  但這個其實是我還是要交代一下那個上次講到傳道書
[00:00:28.680 --> 00:00:30.720]  第五章的部分還沒有講完
[00:00:30.720 --> 00:00:39.160]  所以我會先跟各位來講一下那個傳道書上次還沒講完的那部分
[00:00:39.160 --> 00:00:48.480]  這個是我前兩次大概從第四章開始就是講到虛空人生當中的一個真實的狀況是怎麼樣
[00:00:48.480 --> 00:00:52.240]  它是在我們現在所處的那個人生當中
[00:00:52.240 --> 00:00:54.360]  我們都有不同的欺壓
[00:00:54.360 --> 00:00:56.640]  我們有不同的貪婪
[00:00:56.640 --> 00:01:00.040]  有孤獨也有當中的沉空
[00:01:00.040 --> 00:01:04.880]  但我們以爲可以在虛空的世界裏面可以找到出路
[00:01:04.880 --> 00:01:08.480]  這些就是我們上期有講到的
[00:01:08.480 --> 00:01:12.760]  但人以爲可以找到的出路是一條什麼路了
[00:01:12.760 --> 00:01:13.880]  是一條歪路
[00:01:13.880 --> 00:01:15.040]  是走錯
[00:01:15.040 --> 00:01:17.240]  它是一條錯誤的道路
[00:01:17.240 --> 00:01:18.320]  找到的出路
[00:01:18.320 --> 00:01:20.200]  找到的方法是錯誤的
[00:01:20.200 --> 00:01:23.440]  這是第五章一到七節裏面所提到的
[00:01:23.440 --> 00:01:29.680]  所以真正能夠找到的出路是在今天我們要講的五章十八到二十節
[00:01:29.680 --> 00:01:34.760]  怎樣在我們的虛空人生裏面我們可以有真正的滿足了
[00:01:34.760 --> 00:01:38.720]  我們記得上期我們有提到就是虛空就是一種假象
[00:01:38.720 --> 00:01:41.280]  就是我們以爲是很好的東西
[00:01:41.280 --> 00:01:44.360]  但虛空就像一個我們說那個翅炮
[00:01:44.360 --> 00:01:49.480]  那個肥皂那個泡泡那個翅炮那個一吹出來好像很漂亮
[00:01:49.480 --> 00:01:55.200]  結果就是我們一觸摸一點把它出塌的時候它就破了
[00:01:55.200 --> 00:01:56.920]  所以這只是一個假象
[00:01:56.920 --> 00:02:00.360]  我們以爲在我們的人生當中我們可以所追求的
[00:02:00.360 --> 00:02:01.760]  但都是虛空的
[00:02:01.760 --> 00:02:04.400]  都不能夠真正滿足人心
[00:02:04.400 --> 00:02:09.120]  所以我們爲什麼在傳道書裏面所形容就是用虛空這個字
[00:02:09.120 --> 00:02:13.720]  就是告訴我們說我們要看清楚看透這個世界
