
[00:00:00.000 --> 00:00:02.000]  律師:請諮問好 同心:弟兄姊妹好
[00:00:02.000 --> 00:00:05.000]  律師:預備我們心同心的去聆聽主義的道理
[00:00:05.000 --> 00:00:08.000]  同心:預備我們的心同心的聆聽主義的道理
[00:00:08.000 --> 00:00:12.000]  律師:一齊以禱告打開今天講道的時間
[00:00:12.000 --> 00:00:15.000]  同心:以禱告來打開今天講道的時間
[00:00:15.000 --> 00:00:17.000]  律師:同心低頭一齊去禱告
[00:00:17.000 --> 00:00:20.000]  同心:我們同心低頭一起禱告
[00:00:20.000 --> 00:00:22.000]  律師:慈悲的天父多謝你
[00:00:22.000 --> 00:00:26.000]  律師:讓我們能夠再次回來在教會當中
[00:00:26.000 --> 00:00:28.000]  律師:去同心的學習主義的道理
[00:00:28.000 --> 00:00:30.000]  律師:我們再次將這段時間
[00:00:30.000 --> 00:00:32.000]  律師:求聖靈與我們同在
[00:00:32.000 --> 00:00:33.000]  律師:打開我們的心思
[00:00:33.000 --> 00:00:36.000]  律師:讓你的道理能夠進入到我們生命當中
[00:00:36.000 --> 00:00:38.000]  律師:將原本很多
[00:00:38.000 --> 00:00:42.000]  律師:本以人為中心的思想行為
[00:00:42.000 --> 00:00:44.000]  律師:將它被主理的教訓
[00:00:44.000 --> 00:00:48.000]  律師:教導和將它一一的平除
[00:00:48.000 --> 00:00:53.000]  律師:求主你真是說話成為我們腳前的燈路上的光
[00:00:53.000 --> 00:00:55.000]  律師:我們懇求聖靈與我們同在
[00:00:55.000 --> 00:00:58.000]  律師:將一份學道的心藏在我們裏面
[00:00:58.000 --> 00:01:01.000]  律師:一直直至到行道的時間
[00:01:01.000 --> 00:01:02.000]  律師:我們禱告感恩
[00:01:02.000 --> 00:01:04.000]  律師:奉主耶穌基督得聖的名字而求
[00:01:04.000 --> 00:01:05.000]  律師:阿們
[00:01:05.000 --> 00:01:11.000]  律師:近年很喜歡討論一個題目叫做「欺凌」
[00:01:11.000 --> 00:01:21.000]  律師:甚至上個星期才英國的王子
[00:01:21.000 --> 00:01:26.000]  律師:去到在倫敦的一間很有名的網上公司
[00:01:26.000 --> 00:01:29.000]  律師:去談論到欺凌的事件是非常嚴重
[00:01:29.000 --> 00:01:39.000]  律師:欺凌英文叫做Bullying
[00:01:39.000 --> 00:01:43.000]  律師:其實已經是廣泛滲透在不同的層次層面當中
[00:01:43.000 --> 00:01:49.000]  律師:譬如在學校裏面
[00:01:51.000 --> 00:01:53.000]  律師:兒女經常被人改化名
[00:01:53.000 --> 00:01:55.000]  律師:被欺凌
[00:01:55.000 --> 00:02:04.000]  律師:在工作的層面也有很多欺凌的事件
[00:02:04.000 --> 00:02:09.000]  律師:同事之間
[00:02:09.000 --> 00:02:12.000]  律師:大家為了很多事情彼此設陷阱
[00:02:12.000 --> 00:02:14.000]  律師:大家希望對方踩下去
[00:02:21.000 --> 00:02:25.000]  梁:你說牧師年紀老了應該沒有欺凌吧
[00:02:25.000 --> 00:02:32.000]  梁:原來年紀大了更多人被欺凌
[00:02:32.000 --> 00:02:37.000]  梁:有次我看新聞
[00:02:37.000 --> 00:02:39.000]  梁:有間養老院在香港
[00:02:39.000 --> 00:02:42.000]  梁:那些老人家全部脫光衣服
