
[00:00:00.000 --> 00:00:04.660]  今天我們要講的是做門徒的代價
[00:00:04.660 --> 00:00:06.660]  你說這麼奇怪
[00:00:06.660 --> 00:00:10.240]  講到第四講你纔講做門徒的代價
[00:00:10.240 --> 00:00:13.200]  是不是應該第一講就開始講
[00:00:13.200 --> 00:00:18.140]  但我相信如果我們是第四講纔講門徒的代價時
[00:00:18.140 --> 00:00:23.160]  我們對於如何背起自己的十字架來跟隨耶穌基督
[00:00:23.160 --> 00:00:25.160]  是有一個更深的認識
[00:00:25.160 --> 00:00:29.440]  以至我們能夠更明白有什麼代價
[00:00:29.440 --> 00:00:36.720]  其實 門徒這個字在新約出現了262次
[00:00:36.720 --> 00:00:41.420]  這個字原本的希臘文是Matthus
[00:00:41.420 --> 00:00:43.720]  是一個學習者
[00:00:43.720 --> 00:00:48.640]  這個字和我們所熟悉的英文字Disciple
[00:00:48.640 --> 00:00:52.680]  Disciple是由拉丁文演變而來
[00:00:52.680 --> 00:00:55.280]  拉丁文的Discipio這個字
[00:00:55.280 --> 00:00:58.200]  都是解釋一個學習者的意思
[00:00:58.200 --> 00:01:00.200]  如果你查字典的話
[00:01:00.200 --> 00:01:02.200]  字典可能告訴你
[00:01:02.200 --> 00:01:04.680]  是一個人是透過學習
[00:01:04.680 --> 00:01:08.920]  是和另外一個人有很親切很親密的關係
[00:01:08.920 --> 00:01:11.200]  這個是門徒
[00:01:11.200 --> 00:01:13.700]  但是在聖經裏面告訴我們
[00:01:13.700 --> 00:01:18.600]  門徒的意義是遠遠超過了一個學習者
[00:01:18.600 --> 00:01:21.680]  是遠遠超過了一個與神
[00:01:21.680 --> 00:01:25.960]  與主人有一個親密關係的一個人
[00:01:25.960 --> 00:01:27.960]  聖經裏面告訴我們
[00:01:27.960 --> 00:01:30.520]  一個門徒的意思
[00:01:30.520 --> 00:01:32.520]  就是一個跟隨者
[00:01:32.520 --> 00:01:36.240]  在《路加福音》9章23節
[00:01:36.240 --> 00:01:38.960]  耶穌說「若有人要跟從我
[00:01:38.960 --> 00:01:43.640]  就當捨己天天背起他的十字架來跟從我」
[00:01:43.640 --> 00:01:46.400]  所以第一點是一個跟從者
[00:01:46.400 --> 00:01:51.160]  第二點他必須是遵守他主人的指示
[00:01:51.160 --> 00:01:55.640]  指引他主人的律例殿像
[00:01:55.640 --> 00:02:00.360]  這是《約翰福音》8章31至32節
[00:02:00.360 --> 00:02:03.520]  耶穌基督說「常常遵守我的道
[00:02:03.520 --> 00:02:05.960]  就真是我的門徒了」
[00:02:05.960 --> 00:02:09.280]  所以不單止一個門徒是跟隨他主人
[00:02:09.280 --> 00:02:12.640]  他還是要遵循他主人的旨意
[00:02:12.640 --> 00:02:16.000]  第三點是他會毫無保留地
[00:02:16.000 --> 00:02:20.440]  將自己和他的主人聯繫在一起
[00:02:20.440 --> 00:02:24.440]  耶穌基督在《約翰福音》15章4節說
[00:02:24.440 --> 00:02:27.440]  「我是葡萄柱,你們是枝子
[00:02:27.440 --> 00:02:29.680]  你們要常常在我的裏面
[00:02:29.680 --> 00:02:32.520]  我也常在你們的裏面
[00:02:32.520 --> 00:02:36.760]  若不常在我的裏面,就不能結出果子」
[00:02:36.760 --> 00:02:38.520]  耶穌基督也說
[00:02:38.520 --> 00:02:42.960]  「離開了我,你們不能做什麼」
[00:02:42.960 --> 00:02:47.160]  一個門徒就是跟隨他主人
[00:02:47.160 --> 00:02:49.120]  服從他主人的旨意
[00:02:49.120 --> 00:02:51.920]  和和他主人聯繫在一起
[00:02:51.920 --> 00:02:54.880]  甚至爲主人寫命
[00:02:54.880 --> 00:02:57.840]  在《約翰福音》13章36節
[00:02:57.840 --> 00:03:01.200]  15章13節都是這樣說
[00:03:01.200 --> 00:03:02.280]  我們看到
[00:03:02.280 --> 00:03:07.480]  其實做門徒還有更高的要求
[00:03:07.480 --> 00:03:08.480]  就是什麼?
[00:03:08.480 --> 00:03:13.080]  《馬太福音》10章32至39節
[00:03:13.080 --> 00:03:15.440]  我們也說過這些經文
[00:03:15.440 --> 00:03:19.800]  一個門徒要在人的面前認他主人
[00:03:19.800 --> 00:03:22.480]  耶穌基督說「凡在人面前認我的
[00:03:22.480 --> 00:03:25.600]  我在我天上的父面前也認他
[00:03:25.600 --> 00:03:27.440]  凡在人面前不認我的
[00:03:27.440 --> 00:03:32.000]  我在我天上的父面前也必不認他」
[00:03:32.000 --> 00:03:33.280]  在我們來說
[00:03:33.280 --> 00:03:36.040]  要認耶穌基督是很簡單的事
[00:03:36.040 --> 00:03:41.440]  美國是一個很自由信仰的國家
[00:03:41.440 --> 00:03:44.280]  但是如果你在回教的國家
[00:03:44.280 --> 00:03:48.120]  或者你在信仰不太自由的國家裏
[00:03:48.120 --> 00:03:50.840]  當你承認耶穌基督的時候
[00:03:50.840 --> 00:03:54.640]  有可能你就真的有生命的危險
[00:03:54.640 --> 00:03:56.480]  所以耶穌基督說
[00:03:56.480 --> 00:03:59.560]  我來不是叫地上有太平
[00:03:59.560 --> 00:04:02.600]  我是叫地上動刀兵
[00:04:02.600 --> 00:04:05.040]  如果甚至有家庭的人
[00:04:05.040 --> 00:04:08.400]  其他成員不信耶穌基督的話
[00:04:08.400 --> 00:04:11.720]  說不定連家庭裏也會有糾紛
[00:04:11.720 --> 00:04:12.760]  耶穌基督說
[00:04:12.760 --> 00:04:16.160]  我要叫兒子和父親伸縮
[00:04:16.160 --> 00:04:18.760]  叫女兒和母親伸縮
[00:04:18.760 --> 00:04:22.880]  叫媳婦和婆婆伸縮
[00:04:22.880 --> 00:04:23.760]  耶穌基督說
[00:04:23.760 --> 00:04:24.880]  你不愛我
[00:04:24.880 --> 00:04:29.000]  是多過愛你自己的父母或者是兒女
[00:04:29.000 --> 00:04:31.040]  你不配做我的門徒
[00:04:31.040 --> 00:04:32.000]  耶穌基督說
[00:04:32.000 --> 00:04:35.120]  你不背起自己的十字架來跟從我
[00:04:35.120 --> 00:04:37.720]  你也不配做我的門徒
[00:04:37.720 --> 00:04:40.720]  甚至你要爲我寫命
[00:04:40.720 --> 00:04:41.760]  耶穌基督說
[00:04:41.760 --> 00:04:44.520]  得着生命的就要失喪生命
[00:04:44.520 --> 00:04:48.320]  爲我失喪生命的就得着生命
[00:04:48.320 --> 00:04:50.120]  我們見到做一個門徒
[00:04:50.120 --> 00:04:53.240]  是遠遠超過只不過一個學習者
[00:04:53.240 --> 00:04:57.640]  是遠遠超過只不過跟主人有個親密的關係
[00:04:57.640 --> 00:05:02.600]  還是要放下一切來寫命
[00:05:02.600 --> 00:05:04.560]  爲了這個主人
[00:05:04.560 --> 00:05:07.240]  在很多宗教不自由的地方
[00:05:07.240 --> 00:05:08.360]  真的
[00:05:08.360 --> 00:05:11.000]  當你承認自己是耶穌基督的門徒
[00:05:11.000 --> 00:05:12.720]  你可能就被監禁
[00:05:12.720 --> 00:05:15.680]  可能立刻就要殉道
[00:05:15.680 --> 00:05:17.600]  我也相信這是原因
[00:05:17.600 --> 00:05:21.840]  爲什麼耶穌基督三次跟彼得說
[00:05:21.840 --> 00:05:25.080]  你愛我比這些更深
[00:05:25.080 --> 00:05:26.680]  問完三次之後
[00:05:26.680 --> 00:05:28.280]  耶穌基督跟彼得說
[00:05:28.280 --> 00:05:30.200]  你來跟從我
[00:05:30.200 --> 00:05:32.520]  意思其實這裏是一個預言
[00:05:32.520 --> 00:05:35.400]  說彼得將會像耶穌基督一樣
[00:05:35.400 --> 00:05:37.360]  耶穌基督釘十字架
[00:05:37.360 --> 00:05:40.920]  他一樣也會釘十字架
[00:05:40.920 --> 00:05:43.640]  如果我們留心的話
[00:05:43.640 --> 00:05:47.800]  其實耶穌基督在世上唯一做的事
[00:05:47.800 --> 00:05:50.000]  就是門徒訓練
[00:05:50.000 --> 00:05:54.000]  唯一做的事就是門徒訓練
[00:05:54.000 --> 00:05:58.160]  我們剛纔說一個門徒是要跟從他的主人
[00:05:58.160 --> 00:06:00.400]  這個跟從就是服從的意思
