
[00:00:00.000 --> 00:00:01.920]  那面對這個新的一年
[00:00:01.920 --> 00:00:05.920]  我們怎麼樣預備我們自己承接神心的恩典呢
[00:00:05.920 --> 00:00:10.080]  我就想到初代教會他們成長的動力
[00:00:10.080 --> 00:00:12.960]  的確是我們的一個很好的榜樣
[00:00:12.960 --> 00:00:15.200]  所以今天早上從三方面來講
[00:00:15.200 --> 00:00:17.600]  初代教會成長的動力
[00:00:17.600 --> 00:00:18.800]  三個事情
[00:00:18.800 --> 00:00:19.600]  第一個
[00:00:19.600 --> 00:00:22.000]  看見是一個意象的動力
[00:00:22.000 --> 00:00:24.320]  跟女朋友說意象的動力
[00:00:24.320 --> 00:00:27.760]  意象太重要了
[00:00:27.760 --> 00:00:30.800]  真言二十九章第十八節
[00:00:30.800 --> 00:00:32.000]  我們看這句聖經說
[00:00:32.000 --> 00:00:34.560]  沒有意象民就放逝
[00:00:34.560 --> 00:00:37.680]  唯遵守律法便為有福
[00:00:37.680 --> 00:00:39.280]  在有些聖經裡面講了
[00:00:39.280 --> 00:00:43.120]  沒有意象民就滅亡這個詞
[00:00:43.120 --> 00:00:45.360]  可見意象太重要了
[00:00:45.360 --> 00:00:48.400]  意象才能夠帶來方向
[00:00:48.400 --> 00:00:51.520]  有了方向才會有動力
[00:00:51.520 --> 00:00:54.000]  今天如果我看見一個教會
[00:00:54.000 --> 00:00:56.800]  好像一直停滯不前
[00:00:56.800 --> 00:00:58.800]  我相信最重要一個原因
[00:00:58.800 --> 00:01:02.640]  就是因為它失去了起初的意象
[00:01:02.640 --> 00:01:04.800]  就像一艘船一樣
[00:01:04.800 --> 00:01:08.640]  在船裡面人可以相親相愛好得不得了
[00:01:08.640 --> 00:01:12.160]  可如果這個船失去了方向
[00:01:12.160 --> 00:01:15.600]  就算裡面人再相親相愛也沒有用
[00:01:15.600 --> 00:01:17.600]  因為船不知道往哪裡去
[00:01:17.600 --> 00:01:19.920]  只能在原地打轉
[00:01:19.920 --> 00:01:24.320]  所以唯有意象能夠帶給我們清楚的方向
[00:01:24.320 --> 00:01:28.160]  而且能夠在狂風暴雨當中
[00:01:28.160 --> 00:01:31.840]  讓我們能夠繼續勇敢向前
[00:01:31.840 --> 00:01:33.680]  我們看見在新約時代
[00:01:33.680 --> 00:01:36.000]  保羅的侍工就是如此
[00:01:36.000 --> 00:01:38.400]  每次當我們讀到保羅的侍工的時候
[00:01:38.400 --> 00:01:40.160]  你真的看見保羅
[00:01:40.160 --> 00:01:41.040]  有時候我們想
[00:01:41.040 --> 00:01:42.640]  真的保羅常常高高在上
[00:01:42.640 --> 00:01:43.840]  其實錯了
[00:01:43.840 --> 00:01:45.680]  你看見保羅在船浮游的時候
[00:01:45.680 --> 00:01:48.160]  經過多少的危險
[00:01:48.160 --> 00:01:50.160]  被抓過多少次
[00:01:50.160 --> 00:01:52.560]  被鞭打過多少次
[00:01:52.560 --> 00:01:55.120]  下過多少次監獄
[00:01:55.120 --> 00:01:58.560]  還要在法庭當中為自己申訴
[00:01:58.560 --> 00:01:59.600]  有時候換了我們
[00:01:59.600 --> 00:02:03.280]  恐怕我們覺得我們沒辦法支撐下去的
[00:02:03.280 --> 00:02:06.400]  但你看見保羅為什麼能夠在
[00:02:06.400 --> 00:02:09.680]  這樣多的患難這麼多的艱難當中
[00:02:09.680 --> 00:02:11.440]  他能夠站立得穩
[00:02:11.440 --> 00:02:13.040]  而且繼續向前
