
[00:00:00.000 --> 00:00:02.040]  講這些故事是很開心的
[00:00:02.040 --> 00:00:05.520]  昨天講了藥室的採醫與發夢
[00:00:05.520 --> 00:00:09.640]  今天的聖經人聖經士生命說書網絡為大家預備的
[00:00:09.640 --> 00:00:12.440]  就是上主的手在帶領
[00:00:12.440 --> 00:00:16.200]  我們看聖經的人或聖經的事最重要是看到
[00:00:16.200 --> 00:00:19.840]  背後上帝的手在做什麼
[00:00:19.840 --> 00:00:24.520]  昨天藥室又有採醫又發夢
[00:00:24.520 --> 00:00:26.760]  上帝的手你看到什麼?
[00:00:26.760 --> 00:00:29.480]  上帝的手是帶領藥室
[00:00:29.480 --> 00:00:36.560]  他有一個出生的困境是什麼呢?
[00:00:36.560 --> 00:00:40.160]  小兒子而且爸爸疼愛有件採醫
[00:00:40.160 --> 00:00:41.640]  這樣害死他了
[00:00:41.640 --> 00:00:44.840]  他又不懂做不懂死
[00:00:44.840 --> 00:00:46.960]  不斷講哥哥的壞話
[00:00:46.960 --> 00:00:51.880]  還有一點點直和高傲
[00:00:51.880 --> 00:00:54.280]  向我下拜
[00:00:54.280 --> 00:00:55.880]  父母都向我下拜
[00:00:55.880 --> 00:00:57.320]  我的夢是這樣的
[00:00:57.320 --> 00:00:58.560]  你們要拜我的
[00:00:58.560 --> 00:01:02.200]  你不是說排第幾
[00:01:02.200 --> 00:01:05.480]  以兄弟來說你排第十一
[00:01:05.480 --> 00:01:07.080]  不要以為你很厲害
[00:01:07.080 --> 00:01:09.400]  不是一是十一
[00:01:09.400 --> 00:01:11.720]  所以哥哥不喜歡他
[00:01:11.720 --> 00:01:20.680]  不過上帝的手一直帶著藥室在他身上發生很多事
[00:01:20.680 --> 00:01:25.120]  我們看看上帝的手在藥室身上做什麼
[00:01:25.120 --> 00:01:30.880]  創世紀37章繼續講創世紀12節
[00:01:30.880 --> 00:01:35.440]  藥室的哥哥往事劍去放他父親的羊
[00:01:35.440 --> 00:01:39.720]  以色列即是雅各對藥室說
[00:01:39.720 --> 00:01:43.520]  你哥哥們不是在事劍放羊嗎?
[00:01:43.520 --> 00:01:44.560]  你來
[00:01:44.560 --> 00:01:47.000]  我要打發你往他們那裡去
[00:01:47.000 --> 00:01:48.400]  藥室說我在這裡
[00:01:48.400 --> 00:01:50.440]  藥室都很乖
[00:01:50.440 --> 00:01:53.240]  爸爸說藥室你來
[00:01:53.240 --> 00:01:55.240]  藥室就說我來我在這裡
[00:01:55.240 --> 00:01:56.800]  挺有趣的
[00:01:56.800 --> 00:02:01.240]  藥室的哥哥去了事劍放父親的羊
[00:02:01.240 --> 00:02:02.920]  藥室有沒有去呢?
[00:02:02.920 --> 00:02:04.000]  沒有
[00:02:04.000 --> 00:02:05.920]  藥室不用去
