
[00:00:00.000 --> 00:00:02.000]  頂兄姊妹平安
[00:00:02.000 --> 00:00:03.600]  線上的頂兄姊妹
[00:00:03.600 --> 00:00:05.600]  海外的頂兄姊妹平安
[00:00:05.600 --> 00:00:07.100]  新一年的開始
[00:00:07.100 --> 00:00:09.100]  我不知道大家帶著什麼心情
[00:00:09.100 --> 00:00:12.300]  去迎接新的一年呢
[00:00:12.300 --> 00:00:14.000]  如果我問大家
[00:00:14.000 --> 00:00:16.200]  你帶著什麼期望
[00:00:16.200 --> 00:00:18.000]  來到2022年
[00:00:18.000 --> 00:00:19.800]  你會怎樣回答我呢
[00:00:19.800 --> 00:00:22.200]  我相信很多頂兄姊妹都會說
[00:00:22.200 --> 00:00:23.800]  很想疫情快點過去
[00:00:23.800 --> 00:00:26.200]  過一個自由的生活
[00:00:26.200 --> 00:00:27.700]  到幾年的時間
[00:00:27.700 --> 00:00:28.800]  我不知道頂兄姊妹呢
[00:00:28.800 --> 00:00:31.000]  有沒有想著很想快點去旅行的
[00:00:31.000 --> 00:00:32.200]  有沒有揮揮手
[00:00:32.200 --> 00:00:34.000]  那邊的年輕人
[00:00:34.000 --> 00:00:36.000]  後面的英巨手
[00:00:36.000 --> 00:00:37.900]  我也是很想回鄉下
[00:00:37.900 --> 00:00:40.100]  你知道我鄉下在哪裡嗎
[00:00:40.100 --> 00:00:43.600]  我鄉下在日本
[00:00:43.600 --> 00:00:44.800]  很想去日本
[00:00:44.800 --> 00:00:46.100]  什麼時候可以飛
[00:00:46.100 --> 00:00:49.800]  不過當我們一起進入1月份的時候
[00:00:49.800 --> 00:00:52.600]  很快就Omicron爆發
[00:00:52.600 --> 00:00:54.600]  社區的爆發
[00:00:54.600 --> 00:00:57.700]  有隱形的傳播鏈
[00:00:57.700 --> 00:01:00.400]  晚上我們禁堂食
[00:01:00.400 --> 00:01:02.400]  表利處所要關門
[00:01:02.400 --> 00:01:04.800]  很快前幾天又告訴我們
[00:01:04.800 --> 00:01:07.700]  所有面授課堂要轉成什麼
