
[00:00:00.000 --> 00:00:03.360]  剛才主席讀出的一段經文
[00:00:03.360 --> 00:00:06.240]  是提摩太后書的結束部分
[00:00:06.240 --> 00:00:12.120]  可以這麼說也是普羅的臨別贈言
[00:00:12.120 --> 00:00:15.320]  她將要離開這個世界了
[00:00:15.320 --> 00:00:20.160]  她在這裡叮囑提摩太太
[00:00:20.160 --> 00:00:23.840]  怎樣來到牧羊教會
[00:00:23.840 --> 00:00:25.320]  這個段落第四章
[00:00:25.320 --> 00:00:29.760]  其實都是承接著第三章開始
[00:00:29.760 --> 00:00:33.960]  關於整個末世時刻的來臨的一個講論
[00:00:33.960 --> 00:00:39.400]  其實這個段落為前面這個末世的艱難時刻
[00:00:39.400 --> 00:00:41.360]  指出一個方向
[00:00:41.360 --> 00:00:46.400]  帶來一個很重要的目標
[00:00:46.400 --> 00:00:48.160]  怎樣突破這個艱難的境況
[00:00:48.160 --> 00:00:50.720]  靠的不是我們的智慧能力
[00:00:50.720 --> 00:00:52.640]  而是上帝的審判
[00:00:52.640 --> 00:00:57.320]  成為我們最終生命的一個力量
[00:00:57.320 --> 00:01:01.120]  上帝的審判為這個時候的教會
[00:01:01.120 --> 00:01:06.000]  信徒的信心上的困惑帶來方向
[00:01:06.000 --> 00:01:10.600]  而昔日教會在羅馬皇帝尼祿的敵視下
[00:01:10.600 --> 00:01:13.120]  被宣佈為一個非法的組織
[00:01:13.120 --> 00:01:19.480]  而且再加上猶太教對教會對基督徒的壓迫
[00:01:19.480 --> 00:01:24.160]  還有就是人性裏面的驕傲自我
[00:01:24.160 --> 00:01:29.720]  整個教會群體就在一種外憂內患的境況裏面
[00:01:29.720 --> 00:01:33.920]  來到去成長起來
[00:01:33.920 --> 00:01:37.600]  我們可以想像到當時教會的牧者
[00:01:37.600 --> 00:01:40.200]  他們和那些傳道童工
[00:01:40.200 --> 00:01:43.680]  他們怎樣來到去面對這個挑戰
[00:01:43.680 --> 00:01:46.200]  一個很艱鉅的挑戰
[00:01:46.200 --> 00:01:48.640]  以不所教會就是這樣來到去
[00:01:48.640 --> 00:01:52.800]  在整個抗拒福音對福音敵視的情況之下
[00:01:52.800 --> 00:01:54.840]  對真理不友善的情況之下
[00:01:54.840 --> 00:01:57.200]  一步一步地成長起來
[00:01:57.200 --> 00:01:59.560]  而我們可以更加看到以弗所教會
[00:01:59.560 --> 00:02:02.800]  在初代教會裏面有一個美好的見證
[00:02:02.800 --> 00:02:05.560]  小徒約翰在啟示錄裏面來到去有一個記載
[00:02:05.560 --> 00:02:09.800]  就說主耶穌對以弗所教會的評價是讚賞的
[00:02:09.800 --> 00:02:12.080]  他們有很強的屬靈教導
[00:02:12.080 --> 00:02:15.000]  他們有很好的侍奉的心智
[00:02:15.000 --> 00:02:17.400]  不過差一點點
[00:02:17.400 --> 00:02:20.400]  差的就是那份起初的愛心
[00:02:20.400 --> 00:02:25.000]  那個是對上帝的愛心 對人的愛心
[00:02:25.000 --> 00:02:26.960]  今天我們同樣再次來到去
[00:02:26.960 --> 00:02:30.760]  在保羅的書信裏面
[00:02:30.760 --> 00:02:33.120]  再次看看作為一個牧者
[00:02:33.120 --> 00:02:35.440]  侍奉者 一個傳道者
[00:02:35.440 --> 00:02:39.520]  他怎樣來到去面對這個職責使然之外
[00:02:39.520 --> 00:02:42.320]  更加需要具備的一個甚麼生命素質
[00:02:42.320 --> 00:02:44.880]  來到去見證耶穌基督呢
[00:02:44.880 --> 00:02:48.160]  讓我們一起同心吐告
[00:02:48.160 --> 00:02:51.840]  再次求祢的聖靈來到去臨到我們當中
[00:02:51.840 --> 00:02:55.120]  讓我們來到好好去持守真理
[00:02:55.120 --> 00:02:59.400]  又讓我們能夠在這個很多的困惑
[00:02:59.400 --> 00:03:02.560]  混亂 充滿了謊言的世代
[00:03:02.560 --> 00:03:04.840]  充滿了歪理的日子當中
[00:03:04.840 --> 00:03:07.200]  我們來到堅持謹慎
[00:03:07.200 --> 00:03:10.960]  我們又能夠去聆聽冷靜的心
[00:03:10.960 --> 00:03:14.920]  來到去判斷是非 辨識世情
[00:03:14.920 --> 00:03:18.160]  又讓我們帶著聖靈給我們的啟發
[00:03:18.160 --> 00:03:20.720]  更好的來到去明白真理
[00:03:20.720 --> 00:03:24.320]  以致我們能夠在這個混亂的世代當中
[00:03:24.320 --> 00:03:28.040]  有我們的立場 有我們的原則
[00:03:28.040 --> 00:03:31.400]  為主作美好的見證 求主幫助我們
[00:03:31.400 --> 00:03:34.640]  祈禱奉耶穌基督 聖名祈求 阿門
[00:03:44.920 --> 00:03:47.960]  的確不是今天的難題
[00:03:47.960 --> 00:03:52.320]  是發生了兩千多年的難題
[00:03:52.320 --> 00:03:58.360]  見證基督是教會的一個很重要的使命
[00:03:58.360 --> 00:04:04.640]  而見證基督就需要去持守著神的說話和吩咐
[00:04:04.640 --> 00:04:11.240]  持守上帝的吩咐就必須要認定了自己的身份
[00:04:11.240 --> 00:04:16.920]  作為牧者 保羅在當中提醒提摩泰
[00:04:16.920 --> 00:04:21.600]  來見證基督 持守祂的職份
[00:04:21.600 --> 00:04:25.000]  在這段保羅臨別的叮嚀裏面
[00:04:25.000 --> 00:04:29.000]  我想用四個詞來引導大家
[00:04:29.000 --> 00:04:31.960]  鑽入保羅的心思意念
[00:04:31.960 --> 00:04:40.120]  這四個字就是「時候」、「忍耐」、「道」和「審判」
[00:04:40.120 --> 00:04:48.120]  「時候」或「時機」出現在第三節 第六節 第二節
[00:04:48.120 --> 00:04:52.240]  「忍耐」出現在第二節 第五節
[00:04:52.240 --> 00:04:55.320]  當然有一個我們不是很明顯的翻譯
[00:04:55.320 --> 00:05:01.880]  就是第三節當中的厭煩 即是不忍耐
[00:05:01.880 --> 00:05:06.200]  另外就是「道」這個字 即是真理
[00:05:06.200 --> 00:05:10.480]  第二節 第三節 第四節 第七節
[00:05:10.480 --> 00:05:12.320]  都有這個「道」的意思
[00:05:12.320 --> 00:05:15.040]  第三節是講的是健全的教導
[00:05:15.040 --> 00:05:19.880]  講的是教訓而已 不是直接用「道」這個字
[00:05:19.880 --> 00:05:27.080]  而最重要的一個字就是第八節裏面的「審判」
[00:05:27.080 --> 00:05:32.480]  作為一個牧者 提摩泰接受了托福
[00:05:32.480 --> 00:05:41.080]  他是一個很不容易去服侍 不容易傳福音的世代
