
[00:00:00.000 --> 00:00:04.220]  在俄國的民間流傳著一個這樣的故事
[00:00:04.220 --> 00:00:07.180]  話說一個星期日的早上
[00:00:07.180 --> 00:00:10.260]  天使在一個禮拜堂的門口
[00:00:10.260 --> 00:00:12.260]  見到魔鬼
[00:00:12.260 --> 00:00:14.960]  於是天使就問魔鬼
[00:00:14.960 --> 00:00:19.080]  「魔鬼,你不知道今天是星期日嗎?」
[00:00:19.080 --> 00:00:22.840]  「個個都是來這裡敬拜神的,你來這裡做甚麼?」
[00:00:22.840 --> 00:00:25.340]  魔鬼就說
[00:00:25.340 --> 00:00:28.280]  「我知道,我知道今天是星期日」
[00:00:28.280 --> 00:00:32.720]  「但你看看這些人,他們是來敬拜神的嗎?」
[00:00:32.720 --> 00:00:36.080]  天使就很怒氣地說
[00:00:36.080 --> 00:00:38.080]  「你說甚麼?魔鬼」
[00:00:38.080 --> 00:00:43.120]  「他們來禮拜堂不是來敬拜神,是來做甚麼?」
[00:00:43.120 --> 00:00:44.780]  魔鬼就說
[00:00:44.780 --> 00:00:46.780]  「不要這麼生氣」
[00:00:46.780 --> 00:00:51.360]  「我們平心靜氣坐在禮拜堂門口看看」
[00:00:51.360 --> 00:00:54.400]  「我和你做一個打賭」
[00:00:54.400 --> 00:00:56.800]  「你一本簿,我一本簿仔」
[00:00:56.800 --> 00:01:02.320]  「你看見誰來禮拜堂誠心實意地去敬拜神」
[00:01:02.320 --> 00:01:06.260]  「你就把他的名字放在你的簿內」
[00:01:06.260 --> 00:01:07.640]  「我呢?」
[00:01:07.640 --> 00:01:10.780]  「如果看見誰不知道是來做甚麼的」
[00:01:10.780 --> 00:01:15.360]  「是來打發時間的,或是為敬拜而敬拜,不知道做甚麼的」
[00:01:15.360 --> 00:01:18.860]  「我就把他的名字放在我的簿內」
[00:01:18.860 --> 00:01:25.800]  「崇拜完了,看看你那本簿的人名多還是我那本簿的人名多」
[00:01:25.800 --> 00:01:30.080]  天使接受了這個挑戰
[00:01:30.080 --> 00:01:35.140]  於是天使和魔鬼坐在禮拜堂門口看著
[00:01:35.140 --> 00:01:42.500]  天使沒多久就看見一個很虔誠地來敬拜
[00:01:42.500 --> 00:01:44.500]  於是寫下他的名字
[00:01:44.500 --> 00:01:49.060]  但她等了很久才看見第二個
[00:01:49.060 --> 00:01:52.640]  再等了很久才看見第三個
[00:01:52.640 --> 00:01:58.400]  崇拜完了,她的簿只寫下了幾個名字
[00:01:58.400 --> 00:02:01.480]  但那隻魔鬼不停地寫
[00:02:01.480 --> 00:02:06.880]  寫到崇拜完了還繼續寫
[00:02:06.880 --> 00:02:13.200]  很明顯在這場比試裏魔鬼贏了
[00:02:13.200 --> 00:02:16.860]  我不知道我們禮拜堂門口有沒有天使魔鬼
[00:02:16.860 --> 00:02:18.640]  他們有誰勝誰負
[00:02:18.640 --> 00:02:25.640]  不過我聽完這個故事後,我就要立志更加好好的講好這堂道
[00:02:25.640 --> 00:02:27.800]  不過我很有信心
[00:02:27.800 --> 00:02:32.560]  如果有天使的話,我們禮拜堂門口的天使是會贏的
[00:02:32.560 --> 00:02:35.040]  大家跟我合作吧
[00:02:35.040 --> 00:02:37.800]  今天是聖樂主日
[00:02:37.800 --> 00:02:43.640]  其實聖樂和崇拜是很有密切的關係
[00:02:43.640 --> 00:02:47.260]  我們每一次崇拜都會唱不少的詩歌
[00:02:47.260 --> 00:02:50.360]  但為什麼崇拜時一定要唱詩歌呢?
[00:02:50.360 --> 00:02:52.520]  是否不能不唱呢?
[00:02:52.520 --> 00:02:54.520]  我們一起來看看聖經
[00:02:54.520 --> 00:02:57.520]  其實《新舊約》聖經也有提到
[00:02:57.520 --> 00:03:00.360]  我們要去唱詩
[00:03:00.360 --> 00:03:03.820]  可不可以幫幫我呢?
[00:03:03.820 --> 00:03:06.060]  在舊約的詩篇第150篇
[00:03:06.060 --> 00:03:09.400]  大家看看這段經文
[00:03:09.400 --> 00:03:13.780]  詩人提到要用幾種樂器去敬拜神
[00:03:13.780 --> 00:03:21.560]  有角聲、鼓瑟、彈琴、擊鼓和跳舞
[00:03:21.560 --> 00:03:28.260]  詩言樂器、笑、大響的琵琶、高聲的琵琶
[00:03:28.260 --> 00:03:30.060]  我們不單要唱
[00:03:30.060 --> 00:03:33.960]  還要用很多不同的樂器去讚美神
[00:03:33.960 --> 00:03:35.560]  還要跳舞
[00:03:35.560 --> 00:03:39.260]  還有凡有氣息的都要讚美神
[00:03:39.260 --> 00:03:40.760]  你有氣息嗎?
[00:03:40.760 --> 00:03:43.060]  那你就要來敬拜神
[00:03:43.060 --> 00:03:44.360]  這是舊約的
[00:03:44.360 --> 00:03:47.060]  新約怎麼說呢?
[00:03:47.060 --> 00:03:48.260]  新約二筆所書
[00:03:48.260 --> 00:03:50.560]  當用詩章頌詞靈歌
[00:03:50.560 --> 00:03:53.960]  彼此對說口唱心和的讚美主
