
[00:00:00.000 --> 00:00:04.980]  家庭節目你們好,我們剛剛聽完主信實無變
[00:00:04.980 --> 00:00:07.660]  我想這首歌大家都非常熟悉
[00:00:07.660 --> 00:00:09.740]  亦都經常去唱
[00:00:09.740 --> 00:00:15.140]  但我們有沒有細微當中歌詞的內容
[00:00:15.140 --> 00:00:19.140]  是給我們一個很大的體會和提醒
[00:00:19.140 --> 00:00:22.560]  好了,我們聽到主信實無變
[00:00:22.560 --> 00:00:25.600]  很肯定我們今天查經的是什麼呢?
[00:00:25.600 --> 00:00:28.160]  就是講到信實
[00:00:28.160 --> 00:00:31.040]  聖靈所結出來的果子
[00:00:31.040 --> 00:00:33.040]  我已經再講很多次了
[00:00:33.040 --> 00:00:36.920]  不是一個,不是九個,是一個而已
[00:00:36.920 --> 00:00:39.400]  裡面包含了很多的特質
[00:00:39.400 --> 00:00:44.840]  包括人愛、喜樂、和平、忍耐、恩慈
[00:00:44.840 --> 00:00:47.160]  我們已經看了五個的果子了
[00:00:47.160 --> 00:00:49.560]  現在我們就會看信實
[00:00:49.560 --> 00:00:52.600]  不過我們看完信實之後就會暫停
[00:00:52.600 --> 00:00:56.560]  因為都用了十幾個星期去看
[00:00:56.560 --> 00:01:01.120]  所以我會再用經卷式跟大家去查經
[00:01:01.120 --> 00:01:03.120]  就是查彼得前書
[00:01:03.120 --> 00:01:05.120]  所以我才跟大家解釋
[00:01:05.120 --> 00:01:08.120]  為什麼會選彼得前書
[00:01:08.120 --> 00:01:10.120]  我們今天查信實
[00:01:10.120 --> 00:01:13.120]  神的信實是非常重要的
[00:01:13.120 --> 00:01:18.120]  整本聖經至少有六十處以上
[00:01:18.120 --> 00:01:20.520]  可以講到神的信實
[00:01:20.520 --> 00:01:22.520]  然而這些經文
[00:01:22.520 --> 00:01:25.520]  我們縱使研究了這六十處經文
[00:01:25.520 --> 00:01:30.520]  都不足以去反映神的信實
[00:01:30.520 --> 00:01:32.520]  是並不足夠的
[00:01:32.520 --> 00:01:34.520]  但是如果我們來看
[00:01:34.520 --> 00:01:37.520]  其實整本聖經論述的東西
[00:01:37.520 --> 00:01:39.520]  就是講到神的信實
[00:01:39.520 --> 00:01:43.520]  好,我們先看一看畫面
[00:01:43.520 --> 00:01:45.520]  我們會看到
[00:01:45.520 --> 00:01:50.520]  一定神所講的是言出必行的
[00:01:50.520 --> 00:01:52.520]  信實是什麼意思呢?
[00:01:52.520 --> 00:01:58.520]  信實就是代表了要堅定、可信靠的
[00:01:58.520 --> 00:02:00.520]  字典,用來查字典
[00:02:00.520 --> 00:02:02.520]  定義是什麼呢?
[00:02:02.520 --> 00:02:05.520]  堅守諾言
[00:02:05.520 --> 00:02:08.520]  就是盡忠職守
[00:02:08.520 --> 00:02:10.520]  同義詞是什麼呢?
[00:02:10.520 --> 00:02:12.520]  就是可依靠的
[00:02:12.520 --> 00:02:14.520]  可信賴的
[00:02:14.520 --> 00:02:17.520]  值得信任,是忠誠的
[00:02:17.520 --> 00:02:21.520]  我想我們選一個人
[00:02:21.520 --> 00:02:23.520]  將一個很重要的責任交給他
