
[00:00:00.000 --> 00:00:02.920]  今天很想跟大家分享的訊息
[00:00:02.920 --> 00:00:08.080]  內容是一個非常有挑戰性的題目
[00:00:08.080 --> 00:00:11.080]  我都預備了一段時間
[00:00:11.080 --> 00:00:14.720]  這個系列是講天國演義
[00:00:14.720 --> 00:00:18.320]  是講關於社會公義的東西
[00:00:18.320 --> 00:00:19.640]  我先問你一個問題
[00:00:19.640 --> 00:00:20.840]  不知道你知不知道
[00:00:20.840 --> 00:00:22.440]  在成文裏面
[00:00:22.440 --> 00:00:28.480]  現時找得到最古老的法典是哪一個
[00:00:28.480 --> 00:00:31.880]  即是現時找得到的
[00:00:31.880 --> 00:00:38.880]  不考慮了
[00:00:38.880 --> 00:00:41.480]  如果我這樣講其實都不懂
[00:00:41.480 --> 00:00:42.960]  分別是兩個
[00:00:42.960 --> 00:00:44.640]  一個是最古老的
[00:00:44.640 --> 00:00:50.800]  是蘇美人或者叫蘇默人的《烏納木法典》
[00:00:50.800 --> 00:00:55.600]  是公元前2100年的一個成文法典
[00:00:55.600 --> 00:00:57.600]  它不算是最完整
[00:00:57.600 --> 00:00:59.880]  但現時找到最古老的
[00:00:59.880 --> 00:01:04.520]  這個法典寫下來的核心
[00:01:04.520 --> 00:01:08.560]  很重要的核心就是公義
[00:01:08.560 --> 00:01:10.760]  而另外一個比較多人認識的
[00:01:10.760 --> 00:01:13.480]  就是古代的古巴比倫
[00:01:13.480 --> 00:01:17.360]  的《莫罕拉比法典》
[00:01:17.360 --> 00:01:21.480]  這是比較古代裏最完整的法典
[00:01:21.480 --> 00:01:25.040]  而它裏面的核心同樣是講公義
[00:01:25.040 --> 00:01:30.320]  是一個很重要在這個法典裏面的內容
[00:01:30.320 --> 00:01:33.480]  而它裏面其中有一段是這樣說的
[00:01:33.480 --> 00:01:34.600]  我沒有打出來
[00:01:34.600 --> 00:01:48.120]  (英文翻譯)
[00:01:48.120 --> 00:02:01.400]  (英文翻譯)
[00:02:01.400 --> 00:02:02.440]  所以在古代的時候
[00:02:02.440 --> 00:02:07.720]  其實這些法典是講公義是一個很重要的主題
[00:02:07.720 --> 00:02:09.440]  其實如果你有讀過舊約聖經的話
[00:02:09.440 --> 00:02:14.360]  舊約聖經很重要的都是講公義是社會的根基
[00:02:14.360 --> 00:02:19.040]  而這個律法不單止塑造了古以色列的歷代猶太群體
[00:02:19.040 --> 00:02:21.960]  亦都展示了一個健康的社會
[00:02:21.960 --> 00:02:24.600]  一個核心的價值所在
[00:02:24.600 --> 00:02:29.280]  而且聖經上的法律的條文
[00:02:29.280 --> 00:02:30.480]  或者法律的基礎
[00:02:30.480 --> 00:02:34.120]  成為了今天不少西方國家的法律基礎
[00:02:34.120 --> 00:02:36.640]  如果你知道的話
[00:02:36.640 --> 00:02:39.640]  這幾年我想香港都有不少的動盪
[00:02:39.640 --> 00:02:42.880]  去年在YS崇拜了一個研究
[00:02:42.880 --> 00:02:46.600]  想在訊息的分享裡面有什麼課題呢
[00:02:46.600 --> 00:02:49.560]  其中一個就是講社會公義
[00:02:49.560 --> 00:02:52.640]  十分十分多謝Yanis
[00:02:52.640 --> 00:02:54.520]  說真的
[00:02:54.520 --> 00:02:55.400]  為什麼呢
[00:02:55.400 --> 00:02:56.920]  因為呢
[00:02:56.920 --> 00:02:58.760]  你不明白為什麼嗎
[00:02:58.760 --> 00:03:01.360]  我講到這裡
[00:03:01.360 --> 00:03:02.440]  因為呢
[00:03:02.440 --> 00:03:03.760]  她幫忙呢
[00:03:03.760 --> 00:03:05.400]  下個星期
[00:03:05.400 --> 00:03:09.160]  我們有高明軒牧師在我們中間
[00:03:09.160 --> 00:03:12.400]  去分享社會公義
[00:03:12.400 --> 00:03:13.880]  哈哈哈
[00:03:13.880 --> 00:03:17.360]  我也是上帝藉著你來讓這件事發生的
[00:03:17.360 --> 00:03:22.680]  我覺得這個課題是相當有意思的
[00:03:22.680 --> 00:03:24.640]  聖經裡面其實有很多地方寫
[00:03:24.640 --> 00:03:26.160]  但怎樣可以處理得好
[00:03:26.160 --> 00:03:27.960]  又在聖經裡面
[00:03:27.960 --> 00:03:29.400]  有高sir來幫我們
[00:03:29.400 --> 00:03:30.760]  其實是一個很重要
[00:03:30.760 --> 00:03:32.400]  是非常好的榮幸
[00:03:32.400 --> 00:03:33.960]  所以多謝Yanis
[00:03:33.960 --> 00:03:38.440]  好像金像獎那些頒獎禮
[00:03:38.440 --> 00:03:42.280]  當我自己再去嘗試認識多一點這個課題
[00:03:42.280 --> 00:03:44.640]  我自己不太認識得多
[00:03:44.640 --> 00:03:47.480]  就發覺其實社會公義
[00:03:47.480 --> 00:03:50.600]  原來有很多不同的人有不同的說法
[00:03:50.600 --> 00:03:53.440]  簡單來說就是我們身處在一個社會裡面
[00:03:53.440 --> 00:03:56.080]  在我們生活的不同的範疇
