
[00:00:00.000 --> 00:00:02.720]  今日的題目是很想大家思想
[00:00:02.720 --> 00:00:07.520]  我們如何預備去迎見我們的神
[00:00:07.520 --> 00:00:10.080]  2012年很快過去了
[00:00:10.080 --> 00:00:12.000]  2013年一定會來
[00:00:12.000 --> 00:00:14.720]  我們看看今年發生過的事
[00:00:14.720 --> 00:00:17.440]  其中一樣在12月21日
[00:00:17.440 --> 00:00:20.720]  風靡了全球差不多兩年的時間
[00:00:20.720 --> 00:00:23.040]  這個所謂馬雅人的預言
[00:00:23.040 --> 00:00:28.320]  其實歷史裡的紀錄多了一個虛假的末日預言
[00:00:28.320 --> 00:00:31.840]  其實每個世代都有這件事情
[00:00:31.840 --> 00:00:35.280]  但我記得去年這一年的年初
[00:00:35.280 --> 00:00:37.440]  我在別的一個教會講到
[00:00:37.440 --> 00:00:40.000]  還有今年的暑假的時候
[00:00:40.000 --> 00:00:43.040]  在另外一個教會講下令會的時候
[00:00:43.040 --> 00:00:47.200]  我都有提到聖經是很清楚講
[00:00:47.200 --> 00:00:49.360]  主耶穌親口講
[00:00:49.360 --> 00:00:51.680]  祂說在《馬特福音》二十四章三十六節
[00:00:51.680 --> 00:00:54.560]  祂說「那日子那時辰是沒有人知的
[00:00:54.560 --> 00:01:00.560]  連天上的使者也不知道 子也不知道 唯獨父知道」
[00:01:00.560 --> 00:01:02.320]  耶穌是神的兒子
[00:01:02.320 --> 00:01:05.680]  祂在這裡以一個人子的身份去講
[00:01:05.680 --> 00:01:08.240]  所以祂要告訴我們
[00:01:08.240 --> 00:01:11.520]  我們不需要去計算或者推測
[00:01:11.520 --> 00:01:13.280]  主耶穌第二次再回來
[00:01:13.280 --> 00:01:14.480]  是某年某月某日
[00:01:14.480 --> 00:01:15.520]  你不需要的
[00:01:15.520 --> 00:01:16.960]  你聽到這樣的事情的時候
[00:01:16.960 --> 00:01:20.720]  你會知道肯定那個有問題
[00:01:20.720 --> 00:01:25.360]  我們反而應該怎樣去面對我們今天的生活呢
[00:01:25.360 --> 00:01:27.360]  我們回顧一下2012年
[00:01:27.360 --> 00:01:29.920]  究竟有沒有一些事情令你很沮喪
[00:01:29.920 --> 00:01:32.000]  或者不快樂的有沒有呢
[00:01:32.000 --> 00:01:36.880]  或者有人會覺得近日美國一連串的新聞
[00:01:36.880 --> 00:01:39.920]  有人拿著槍走到校園
[00:01:39.920 --> 00:01:42.400]  濫殺很多無辜的學生
[00:01:42.400 --> 00:01:45.360]  你看完這些新聞你真的覺得很不舒服
[00:01:45.360 --> 00:01:48.960]  最近也有一個人誘騙消防員
[00:01:48.960 --> 00:01:52.320]  你要救火的時候他就槍殺其中有幾個消防員
[00:01:52.320 --> 00:01:56.880]  你覺得這個世界是不是瘋了 瘋了
[00:01:56.880 --> 00:02:00.640]  為什麼人可以變成這樣呢
[00:02:00.640 --> 00:02:05.280]  毫無憐憫別人的心
[00:02:05.280 --> 00:02:10.000]  當然我希望你不是看2012年只有沮喪不快
