
[00:00:00.000 --> 00:00:03.040]  今天我們踏入到九月的時間
[00:00:03.040 --> 00:00:05.520]  今天已經踏入了九月份
[00:00:05.520 --> 00:00:09.000]  亦都是新生學子的新學期的開始
[00:00:09.000 --> 00:00:11.520]  新學期的開始
[00:00:11.520 --> 00:00:15.280]  說到新學期就不其然地要說到讀書這個問題
[00:00:15.280 --> 00:00:17.960]  講到新學期就要講到讀書
[00:00:17.960 --> 00:00:23.400]  我自己其實在學校讀書可以這樣說
[00:00:23.400 --> 00:00:26.400]  由幼稚園開始到現在
[00:00:26.400 --> 00:00:30.400]  我真的接近在學校的環境都已經三十多年了
[00:00:30.400 --> 00:00:33.000]  我自己從幼稚園一開始讀書
[00:00:33.000 --> 00:00:35.800]  在學校的校園環境裏有三十多年
[00:00:35.800 --> 00:00:37.200]  我很喜歡讀書
[00:00:37.200 --> 00:00:40.800]  因為其中一個我很喜歡的就是校園的那種風氣
[00:00:40.800 --> 00:00:43.600]  我喜歡讀書是特別喜歡校園那種風氣
[00:00:43.600 --> 00:00:45.320]  不過談論到讀書的時候
[00:00:45.320 --> 00:00:47.000]  我讀這麼多年書
[00:00:47.000 --> 00:00:50.600]  都經常有一個問題在我腦海裏浮現出來的
[00:00:50.600 --> 00:00:51.800]  因為這麼多年的書
[00:00:51.800 --> 00:00:54.200]  就有一個問題在我腦海裏出現
[00:00:54.200 --> 00:00:57.400]  就是不知道為什麼有些人他們讀書
[00:00:57.400 --> 00:01:01.200]  往往對某一個課題或者某一個學科
[00:01:01.200 --> 00:01:03.600]  他一讀就很快上手
[00:01:03.600 --> 00:01:06.200]  有些人對某一課程或某一學科
[00:01:06.200 --> 00:01:08.000]  很快就馬上上手
[00:01:08.000 --> 00:01:10.200]  尤其是因為在我自己身邊
[00:01:10.200 --> 00:01:12.600]  很多的同學或者朋友
[00:01:12.600 --> 00:01:14.400]  他們都是很厲害的人
[00:01:14.400 --> 00:01:16.600]  在我身邊有很多朋友或同學
[00:01:16.600 --> 00:01:18.200]  他都是很能幹的人
[00:01:18.200 --> 00:01:21.600]  現在來到大家出來社會做事的時候
[00:01:21.600 --> 00:01:24.400]  我發覺他們很多都很有成功
[00:01:24.400 --> 00:01:25.600]  就是很成功
[00:01:25.600 --> 00:01:27.600]  在社會上做事都很成功
[00:01:27.600 --> 00:01:28.600]  讀書的時候
[00:01:28.600 --> 00:01:32.200]  我又覺得他們特別比我聰敏和有睿智
[00:01:32.200 --> 00:01:33.400]  在讀書的時候
[00:01:33.400 --> 00:01:36.000]  我覺得他們特別比我聰明還有睿智
[00:01:36.000 --> 00:01:37.400]  我就經常問自己
[00:01:37.400 --> 00:01:38.600]  經常問自己
